variant,margin_m,band_m,cohort,scene,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
static,0,200-250,vehicles,scene_28_18,38,10,1,32,16,11,21,5,1,84.21052631578947,42.10526315789473,42.10526315789473,204.41397427391732,249.60712874363585,81.57894736842105,76.31578947368422,5.75,17.0,28.5,34.300000000000004,55.00000000000001,13.157894736842104,10.526315789473683,0.0,0.0,1.0,4.6000000000000085,73.48484848484848
static,0,200-250,passenger_cars,scene_28_1,22,5,1,15,7,7,8,0,7,68.18181818181817,31.818181818181817,36.36363636363636,201.91332212775274,249.9157658332935,63.63636363636363,50.0,0.0,4.5,8.0,10.0,50.38461538461539,4.545454545454546,0.0,0.0,0.0,1.0,2.0,19.230769230769234
static,0,200-250,passenger_cars,scene_28_6,1,1,1,0,1,0,0,1,0,0.0,100.0,-100.0,214.64145831489262,214.64145831489262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0
static,0,200-250,passenger_cars,scene_28_18,26,4,1,22,8,4,18,4,0,84.61538461538461,30.76923076923077,53.84615384615385,210.85990809166134,249.60712874363585,84.61538461538461,84.61538461538461,12.75,21.0,28.5,37.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,79.54545454545455
static,0,200-250,forward_vehicles,scene_28_1,41,6,1,27,24,19,8,5,9,65.85365853658537,58.536585365853654,7.317073170731714,201.06925163807026,247.83329383700854,58.536585365853654,51.21951219512195,0.0,5.0,26.0,47.0,68.77289377289378,17.073170731707318,0.0,0.0,1.0,2.0,3.0,57.6923076923077
static,0,200-250,forward_vehicles,scene_28_6,19,12,1,15,18,14,1,4,0,78.94736842105263,94.73684210526315,-15.78947368421052,201.68972383528677,242.53808521002244,73.68421052631578,73.68421052631578,3.0,8.0,18.0,31.4,79.16666666666666,42.10526315789473,21.052631578947366,1.5,2.0,3.0,5.199999999999999,95.83333333333334
static,0,200-250,forward_vehicles,scene_28_12,35,12,1,31,31,28,3,3,1,88.57142857142857,88.57142857142857,0.0,200.0481951240057,249.7046674149109,85.71428571428571,82.85714285714286,6.0,13.0,41.0,129.60000000000002,88.19444444444446,42.857142857142854,28.57142857142857,1.0,2.0,5.5,9.200000000000003,87.5
static,0,200-250,forward_vehicles,scene_28_18,33,8,1,28,15,10,18,5,0,84.84848484848484,45.45454545454545,39.3939393939394,204.41397427391732,249.60712874363585,81.81818181818183,81.81818181818183,10.0,18.0,27.0,34.400000000000006,50.0,12.121212121212121,12.121212121212121,0.0,0.0,1.0,5.200000000000003,89.77272727272727
static,0,200-250,all,scene_28_1,152,40,1,52,24,19,33,5,95,34.21052631578947,15.789473684210526,18.42105263157895,200.0625118208934,249.9157658332935,23.026315789473685,17.105263157894736,0.0,0.0,2.0,8.0,27.98855311355311,4.605263157894736,0.0,0.0,0.0,0.0,1.9000000000000057,8.653846153846153
static,0,200-250,all,scene_28_6,40,16,1,27,23,19,8,4,9,67.5,57.49999999999999,10.000000000000009,201.54258863542225,249.2167268956506,62.5,62.5,0.0,6.5,21.25,33.60000000000001,67.41071428571428,20.0,10.0,0.0,1.0,2.0,3.200000000000003,66.51785714285714
static,0,200-250,all,scene_28_12,143,41,1,56,39,36,20,3,84,39.16083916083916,27.27272727272727,11.88811188811189,200.0481951240057,249.7046674149109,32.86713286713287,30.069930069930066,0.0,0.0,7.5,37.599999999999994,45.87688734030198,13.286713286713287,6.993006993006993,0.0,0.0,1.0,3.0,30.48780487804878
static,0,200-250,all,scene_28_18,49,14,1,33,16,11,22,5,11,67.3469387755102,32.6530612244898,34.69387755102041,204.41397427391732,249.60712874363585,63.26530612244898,59.183673469387756,0.0,12.0,23.0,32.400000000000006,41.666666666666664,10.204081632653061,8.16326530612245,0.0,0.0,1.0,2.4000000000000057,52.489177489177486
static,0,200-250,all,scene_28_24,3,1,1,0,0,0,0,0,3,0.0,0.0,0.0,228.18726066419157,232.18225850084806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,250-300,vehicles,scene_28_1,50,4,1,40,17,17,23,0,10,80.0,34.0,46.0,250.60822551614362,299.5495255467652,76.0,72.0,3.0,7.0,11.75,19.0,66.9858870967742,2.0,0.0,0.0,0.0,1.0,1.0,32.96370967741936
static,0,250-300,vehicles,scene_28_6,29,12,1,20,11,7,13,4,5,68.96551724137932,37.93103448275862,31.034482758620697,251.5283332034967,299.80861071369907,68.96551724137932,55.172413793103445,0.0,6.0,32.0,50.8,54.86111111111111,6.896551724137931,3.4482758620689653,0.0,0.0,1.0,2.0,36.80555555555555
static,0,250-300,vehicles,scene_28_12,56,18,1,50,19,17,33,2,4,89.28571428571429,33.92857142857143,55.35714285714286,250.0497157484766,297.8225789709488,83.92857142857143,76.78571428571429,5.0,9.0,14.5,26.5,83.88888888888889,10.714285714285714,7.142857142857142,0.0,0.0,1.0,2.5,37.5
static,0,250-300,vehicles,scene_28_18,31,10,1,28,19,17,11,2,1,90.32258064516128,61.29032258064516,29.032258064516125,251.00468974964278,296.62011809559124,90.32258064516128,83.87096774193549,6.0,15.0,24.5,29.0,85.0,3.225806451612903,3.225806451612903,0.0,1.0,1.0,2.0,68.95833333333333
static,0,250-300,passenger_cars,scene_28_1,46,3,1,36,16,16,20,0,10,78.26086956521739,34.78260869565217,43.47826086956522,250.60822551614362,297.1208104465116,76.08695652173914,71.73913043478261,3.0,8.0,12.0,19.0,55.387931034482754,2.1739130434782608,0.0,0.0,0.0,1.0,1.0,27.729885057471265
static,0,250-300,passenger_cars,scene_28_12,15,1,1,14,0,0,14,0,1,93.33333333333333,0.0,93.33333333333333,250.6783571335975,297.8225789709488,86.66666666666667,80.0,5.5,9.0,16.5,23.0,93.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,250-300,passenger_cars,scene_28_18,21,4,1,18,12,10,8,2,1,85.71428571428571,57.14285714285714,28.57142857142857,251.00468974964278,288.0912174576963,85.71428571428571,76.19047619047619,5.0,17.0,25.0,28.0,62.5,0.0,0.0,0.0,1.0,1.0,2.0,64.0625
static,0,250-300,forward_vehicles,scene_28_1,17,2,1,15,10,10,5,0,2,88.23529411764706,58.82352941176471,29.411764705882348,250.60822551614362,297.1208104465116,88.23529411764706,88.23529411764706,11.0,18.0,19.0,26.0,46.875,5.88235294117647,0.0,0.0,1.0,1.0,1.0,31.25
static,0,250-300,forward_vehicles,scene_28_6,18,10,1,10,11,7,3,4,4,55.55555555555556,61.111111111111114,-5.555555555555558,254.2479486873591,299.80861071369907,55.55555555555556,44.44444444444444,0.0,4.0,14.75,37.5,50.0,11.11111111111111,5.555555555555555,0.0,1.0,1.75,2.6000000000000014,60.0
static,0,250-300,forward_vehicles,scene_28_12,46,13,1,40,18,16,24,2,4,86.95652173913044,39.130434782608695,47.826086956521735,250.0497157484766,297.8225789709488,80.43478260869566,73.91304347826086,4.25,9.0,14.0,23.5,77.6923076923077,13.043478260869565,8.695652173913043,0.0,0.0,1.0,3.5,51.92307692307693
static,0,250-300,forward_vehicles,scene_28_18,28,8,1,25,18,16,9,2,1,89.28571428571429,64.28571428571429,25.0,251.00468974964278,296.62011809559124,89.28571428571429,82.14285714285714,5.75,16.0,25.25,29.6,81.25,3.571428571428571,3.571428571428571,0.0,1.0,1.25,2.0,75.78125
static,0,250-300,all,scene_28_1,111,24,1,46,17,17,29,0,65,41.44144144144144,15.315315315315313,26.126126126126124,250.2288925344351,299.5495255467652,36.93693693693694,32.432432432432435,0.0,0.0,6.0,12.0,19.150425627240143,0.9009009009009009,0.0,0.0,0.0,0.0,1.0,5.493951612903226
static,0,250-300,all,scene_28_6,29,12,1,20,11,7,13,4,5,68.96551724137932,37.93103448275862,31.034482758620697,251.5283332034967,299.80861071369907,68.96551724137932,55.172413793103445,0.0,6.0,32.0,50.8,54.86111111111111,6.896551724137931,3.4482758620689653,0.0,0.0,1.0,2.0,36.80555555555555
static,0,250-300,all,scene_28_12,127,41,1,60,19,17,43,2,65,47.24409448818898,14.960629921259844,32.28346456692913,250.0497157484766,299.7593048037392,37.79527559055118,33.85826771653544,0.0,0.0,8.0,16.400000000000006,45.77235772357724,4.724409448818897,3.149606299212598,0.0,0.0,0.0,1.0,16.463414634146343
static,0,250-300,all,scene_28_18,45,15,1,28,19,17,11,2,15,62.22222222222222,42.22222222222222,20.0,251.00468974964278,299.3158594442666,62.22222222222222,57.77777777777777,0.0,6.0,22.0,28.0,56.666666666666664,2.2222222222222223,2.2222222222222223,0.0,0.0,1.0,2.0,45.97222222222222
static,0,250-300,all,scene_28_24,13,1,1,0,0,0,0,0,13,0.0,0.0,0.0,260.95070734153353,283.9308657869292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,300-400,vehicles,scene_28_1,17,3,1,12,4,3,9,1,4,70.58823529411765,23.52941176470588,47.05882352941177,305.3321725206024,360.39229981232,58.82352941176471,58.82352941176471,0.0,6.0,21.0,45.2,28.57142857142857,0.0,0.0,0.0,0.0,0.0,1.0,9.523809523809524
static,0,300-400,vehicles,scene_28_6,18,8,1,15,4,3,12,1,2,83.33333333333334,22.22222222222222,61.111111111111114,305.0532371864494,381.0022030069285,72.22222222222221,66.66666666666666,2.5,5.5,11.0,23.200000000000003,85.41666666666666,11.11111111111111,5.555555555555555,0.0,0.0,0.0,2.3000000000000007,29.166666666666664
static,0,300-400,vehicles,scene_28_12,113,14,1,96,8,8,88,0,17,84.95575221238938,7.079646017699115,77.87610619469027,301.1243306220302,397.6820703976072,78.76106194690266,70.79646017699115,4.0,9.0,30.0,47.8,76.13871635610766,3.5398230088495577,1.7699115044247788,0.0,0.0,0.0,0.0,12.074829931972788
static,0,300-400,vehicles,scene_28_18,17,8,1,9,5,2,7,3,5,52.94117647058824,29.411764705882355,23.52941176470588,306.9027708238251,378.5509058889894,47.05882352941176,35.294117647058826,0.0,1.0,6.0,11.4,45.83333333333333,0.0,0.0,0.0,0.0,1.0,1.4000000000000004,33.33333333333333
static,0,300-400,passenger_cars,scene_28_1,1,1,1,0,0,0,0,0,1,0.0,0.0,0.0,305.3321725206024,305.3321725206024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,300-400,passenger_cars,scene_28_12,23,1,1,19,0,0,19,0,4,82.6086956521739,0.0,82.6086956521739,301.1243306220302,381.10379670133005,60.86956521739131,47.82608695652174,1.5,4.0,8.0,9.8,82.6086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,300-400,passenger_cars,scene_28_18,6,3,1,1,2,0,1,2,3,16.666666666666664,33.33333333333333,-16.666666666666664,307.1789605302702,348.83265659385177,16.666666666666664,0.0,0.0,0.0,0.0,1.5,16.666666666666664,0.0,0.0,0.0,0.0,0.75,1.5,33.33333333333333
static,0,300-400,forward_vehicles,scene_28_1,15,2,1,12,4,3,9,1,2,80.0,26.666666666666668,53.33333333333334,305.3321725206024,334.8785602315927,66.66666666666666,66.66666666666666,1.5,7.0,25.5,46.8,42.857142857142854,0.0,0.0,0.0,0.0,0.5,1.0,14.285714285714285
static,0,300-400,forward_vehicles,scene_28_6,11,6,1,8,4,3,5,1,2,72.72727272727273,36.36363636363637,36.36363636363637,314.0898380980915,381.0022030069285,54.54545454545454,54.54545454545454,1.0,5.0,5.5,7.0,80.55555555555554,18.181818181818183,9.090909090909092,0.0,0.0,1.5,3.0,41.66666666666667
static,0,300-400,forward_vehicles,scene_28_12,108,12,1,91,8,8,83,0,17,84.25925925925925,7.4074074074074066,76.85185185185185,301.1243306220302,397.6820703976072,77.77777777777779,69.44444444444444,4.0,8.0,30.0,48.3,72.16183574879227,3.7037037037037033,1.8518518518518516,0.0,0.0,0.0,0.0,15.476190476190474
static,0,300-400,forward_vehicles,scene_28_18,14,7,1,6,4,1,5,3,5,42.857142857142854,28.57142857142857,14.285714285714285,307.1789605302702,378.5509058889894,35.714285714285715,21.428571428571427,0.0,0.0,3.75,6.0,38.095238095238095,0.0,0.0,0.0,0.0,0.75,1.700000000000001,33.33333333333333
static,0,300-400,all,scene_28_1,59,16,1,14,4,3,11,1,44,23.728813559322035,6.779661016949152,16.94915254237288,304.53595916952185,395.366842163772,20.33898305084746,16.94915254237288,0.0,0.0,0.0,10.000000000000014,9.523809523809526,0.0,0.0,0.0,0.0,0.0,0.0,1.7857142857142856
static,0,300-400,all,scene_28_6,18,8,1,15,4,3,12,1,2,83.33333333333334,22.22222222222222,61.111111111111114,305.0532371864494,381.0022030069285,72.22222222222221,66.66666666666666,2.5,5.5,11.0,23.200000000000003,85.41666666666666,11.11111111111111,5.555555555555555,0.0,0.0,0.0,2.3000000000000007,29.166666666666664
static,0,300-400,all,scene_28_12,185,32,1,101,8,8,93,0,84,54.59459459459459,4.324324324324325,50.27027027027027,301.1243306220302,397.6820703976072,48.10810810810811,43.24324324324324,0.0,2.0,13.0,36.0,35.914855072463766,2.1621621621621623,1.0810810810810811,0.0,0.0,0.0,0.0,5.282738095238095
static,0,300-400,all,scene_28_18,62,17,1,9,5,2,7,3,50,14.516129032258066,8.064516129032258,6.451612903225808,304.54778036463625,396.194511461061,12.903225806451612,9.67741935483871,0.0,0.0,0.0,3.8999999999999986,21.56862745098039,0.0,0.0,0.0,0.0,0.0,0.0,15.686274509803921
static,0,300-400,all,scene_28_24,7,2,1,0,0,0,0,0,7,0.0,0.0,0.0,301.03319480211303,318.0585202283685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-400,vehicles,scene_28_1,115,10,1,84,45,39,45,6,25,73.04347826086956,39.130434782608695,33.91304347826087,201.06925163807026,360.39229981232,66.08695652173913,60.86956521739131,0.0,6.0,13.5,32.20000000000002,62.35878489326765,6.956521739130435,0.0,0.0,0.0,1.0,2.0,41.75533661740558
static,0,200-400,vehicles,scene_28_6,86,16,1,62,38,29,33,9,15,72.09302325581395,44.18604651162791,27.90697674418604,201.54258863542225,381.0022030069285,67.44186046511628,61.627906976744185,0.0,6.0,21.75,37.5,61.50297619047619,13.953488372093023,6.976744186046512,0.0,0.0,2.0,3.0,50.44642857142857
static,0,200-400,vehicles,scene_28_12,217,19,1,190,66,61,129,5,22,87.55760368663594,30.414746543778804,57.14285714285714,200.0481951240057,397.6820703976072,82.48847926267281,76.036866359447,5.0,10.0,29.0,57.400000000000006,85.81220257120535,13.36405529953917,7.373271889400922,0.0,0.0,1.0,3.0,37.888310519889465
static,0,200-400,vehicles,scene_28_18,86,10,1,69,40,30,39,10,7,80.23255813953489,46.51162790697674,33.72093023255814,204.41397427391732,378.5509058889894,77.90697674418605,70.93023255813954,3.25,12.0,23.75,31.5,65.16666666666666,6.976744186046512,5.813953488372093,0.0,0.0,1.0,2.0,53.50438596491228
static,0,200-400,passenger_cars,scene_28_1,69,5,1,51,23,23,28,0,18,73.91304347826086,33.33333333333333,40.57971014492753,201.91332212775274,305.3321725206024,71.01449275362319,63.76811594202898,0.0,6.0,11.0,18.200000000000003,46.78683385579937,2.898550724637681,0.0,0.0,0.0,1.0,2.0,24.670846394984327
static,0,200-400,passenger_cars,scene_28_6,1,1,1,0,1,0,0,1,0,0.0,100.0,-100.0,214.64145831489262,214.64145831489262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0
static,0,200-400,passenger_cars,scene_28_12,38,1,1,33,0,0,33,0,5,86.8421052631579,0.0,86.8421052631579,250.6783571335975,381.10379670133005,71.05263157894737,60.526315789473685,2.0,6.0,9.0,16.300000000000004,86.8421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-400,passenger_cars,scene_28_18,53,4,1,41,22,14,27,8,4,77.35849056603774,41.509433962264154,35.84905660377359,210.85990809166134,348.83265659385177,77.35849056603774,71.69811320754717,3.0,17.0,26.0,30.800000000000004,40.0,0.0,0.0,0.0,0.0,1.0,2.0,53.55263157894736
