variant,margin_m,band_m,category,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
static,0,100-150,Vehicle-Trailer,16,4,4,16,14,14,2,0,0,100.0,87.5,12.5,103.27842576703888,148.2364399300797,100.0,100.0,48.25,95.5,137.0,183.5,100.0,75.0,62.5,3.25,31.0,36.25,38.5,68.75
static,0,150-200,RoadObstruction,30,11,2,6,0,0,6,0,24,20.0,0.0,20.0,150.12315334501665,199.34786625091186,6.666666666666667,0.0,0.0,0.0,0.0,2.0,21.21212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,150-200,RoadObstruction-Barrel,99,29,2,14,1,0,14,1,84,14.14141414141414,1.0101010101010102,13.13131313131313,150.18881488316208,199.9384513570718,5.05050505050505,1.0101010101010102,0.0,0.0,0.0,1.0,13.230706075533663,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653
static,0,150-200,TrafficSign,139,34,4,13,0,0,13,0,126,9.352517985611511,0.0,9.352517985611511,150.3231986970195,199.70237418425347,2.158273381294964,2.158273381294964,0.0,0.0,0.0,0.0,10.661764705882351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,150-200,Vehicle,31,5,3,23,23,17,6,6,2,74.19354838709677,74.19354838709677,0.0,150.80024684336743,197.38795765737675,70.96774193548387,64.51612903225806,0.5,13.0,21.5,101.0,53.846153846153854,29.03225806451613,0.0,0.5,1.0,3.0,3.0,70.76923076923076
static,0,150-200,Vehicle-Bus,1,1,1,0,1,0,0,1,0,0.0,100.0,-100.0,177.87542309528652,177.87542309528652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,20.0,20.0,20.0,20.0,100.0
static,0,150-200,Vehicle-Equipment,2,1,1,2,0,0,2,0,0,100.0,0.0,100.0,163.3873574148229,176.7192198830252,100.0,50.0,4.25,5.5,6.75,7.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,150-200,Vehicle-Other,2,1,1,2,2,2,0,0,0,100.0,100.0,0.0,158.35541605971324,186.78623020504358,100.0,100.0,13.75,16.5,19.25,20.9,100.0,50.0,50.0,3.25,4.5,5.75,6.5,100.0
static,0,150-200,Vehicle-Passenger,64,16,4,51,28,21,30,7,6,79.6875,43.75,35.9375,150.5748978242395,199.87630076942094,64.0625,54.6875,1.0,6.5,14.0,23.700000000000003,74.62797619047619,4.6875,0.0,0.0,0.0,2.0,2.0,44.60565476190476
static,0,150-200,Vehicle-RV,2,1,1,2,0,0,2,0,0,100.0,0.0,100.0,161.29842305569787,194.50344195811496,50.0,50.0,4.0,7.0,10.0,11.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,150-200,Vehicle-SemiTruck-Cab,70,16,4,50,49,37,13,12,8,71.42857142857143,70.0,1.4285714285714346,150.28445056882035,199.9727196236663,64.28571428571429,62.857142857142854,0.0,6.0,16.75,46.2,91.14583333333333,51.42857142857142,34.285714285714285,0.0,3.0,6.0,8.0,60.88541666666667
static,0,150-200,Vehicle-SemiTruck-Trailer,97,23,4,94,83,81,13,2,1,96.90721649484536,85.56701030927834,11.340206185567014,150.2692484722888,199.71118933728965,92.78350515463917,89.69072164948454,16.0,41.0,71.0,109.00000000000003,97.57033248081841,52.57731958762887,42.2680412371134,1.0,3.0,8.0,17.0,78.11728810517342
static,0,150-200,Vehicle-SingleUnitTruck,1,1,1,0,1,0,0,1,0,0.0,100.0,-100.0,180.04087629525,180.04087629525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0
static,0,150-200,Vehicle-Trailer,13,4,4,13,9,9,4,0,0,100.0,69.23076923076923,30.76923076923077,153.51073085354014,196.30757620340373,92.3076923076923,92.3076923076923,44.0,79.0,131.0,209.60000000000005,100.0,69.23076923076923,53.84615384615385,0.0,11.0,20.0,27.8,58.333333333333336
static,0,200-250,RoadObstruction,33,11,2,8,0,0,8,0,25,24.242424242424242,0.0,24.242424242424242,200.63495369006688,249.01143860608167,12.121212121212121,3.0303030303030303,0.0,0.0,0.0,2.8000000000000007,21.96969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-250,RoadObstruction-Barrel,60,20,2,8,0,0,8,0,52,13.333333333333334,0.0,13.333333333333334,200.0625118208934,249.88406295481,3.3333333333333335,1.6666666666666667,0.0,0.0,0.0,1.1000000000000014,12.083333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-250,TrafficSign,121,34,5,17,0,0,17,0,104,14.049586776859504,0.0,14.049586776859504,200.46007809898492,249.66868557030105,4.132231404958678,0.8264462809917356,0.0,0.0,0.0,1.0,13.655462184873949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-250,Vehicle,13,4,2,7,3,2,5,1,5,53.84615384615385,23.076923076923077,30.769230769230766,200.92372660649855,245.64094980450042,46.15384615384615,38.46153846153847,0.0,1.0,7.0,9.600000000000001,75.89285714285714,7.6923076923076925,0.0,0.0,0.0,0.0,2.0,16.07142857142857
static,0,200-250,Vehicle-Bus,2,1,1,2,2,2,0,0,0,100.0,100.0,0.0,208.79788513686086,239.83276001749218,50.0,50.0,3.75,6.5,9.25,10.9,100.0,100.0,100.0,7.5,8.0,8.5,8.8,100.0
static,0,200-250,Vehicle-Other,1,1,1,1,1,1,0,0,0,100.0,100.0,0.0,216.1487068441776,216.1487068441776,100.0,100.0,8.0,8.0,8.0,8.0,100.0,100.0,100.0,6.0,6.0,6.0,6.0,100.0
static,0,200-250,Vehicle-Passenger,49,10,3,37,16,11,26,5,7,75.51020408163265,32.6530612244898,42.857142857142854,201.91332212775274,249.9157658332935,73.46938775510205,67.3469387755102,1.0,10.0,21.0,30.200000000000003,35.192307692307686,2.0408163265306123,0.0,0.0,0.0,1.0,2.0,51.43356643356643
static,0,200-250,Vehicle-SemiTruck-Cab,38,13,4,25,24,17,8,7,6,65.78947368421053,63.1578947368421,2.6315789473684292,201.06925163807026,249.6109946061744,57.89473684210527,52.63157894736842,0.0,5.0,11.5,30.0,75.82417582417584,21.052631578947366,0.0,0.0,1.0,2.0,3.0,75.0
static,0,200-250,Vehicle-SemiTruck-Trailer,59,22,4,53,48,44,9,4,2,89.83050847457628,81.35593220338984,8.47457627118644,200.0481951240057,249.7046674149109,86.4406779661017,86.4406779661017,9.0,30.0,43.5,74.20000000000005,87.87878787878789,38.983050847457626,23.728813559322035,1.0,2.0,4.0,7.200000000000003,71.5909090909091
static,0,200-250,Vehicle-Trailer,11,3,3,10,8,8,2,0,1,90.9090909090909,72.72727272727273,18.181818181818176,203.3998259724022,245.33512423621337,90.9090909090909,81.81818181818183,9.0,24.0,59.5,114.0,83.33333333333334,27.27272727272727,9.090909090909092,0.5,1.0,2.5,4.0,55.55555555555555
static,0,250-300,RoadObstruction,8,4,2,0,0,0,0,0,8,0.0,0.0,0.0,250.2288925344351,290.93512442165746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,250-300,RoadObstruction-Barrel,40,13,1,4,0,0,4,0,36,10.0,0.0,10.0,250.28325197553792,296.9769879253048,7.5,0.0,0.0,0.0,0.0,0.10000000000000142,10.256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,250-300,TrafficSign,111,32,4,12,0,0,12,0,99,10.81081081081081,0.0,10.81081081081081,250.22779380742782,299.7593048037392,0.9009009009009009,0.0,0.0,0.0,0.0,1.0,13.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,250-300,Vehicle,5,2,2,4,0,0,4,0,1,80.0,0.0,80.0,259.8010621796808,288.67764207435283,60.0,40.0,2.0,4.0,7.0,7.6,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,250-300,Vehicle-Bus,1,1,1,1,1,1,0,0,0,100.0,100.0,0.0,272.29802314717256,272.29802314717256,100.0,100.0,5.0,5.0,5.0,5.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0,100.0
static,0,250-300,Vehicle-Passenger,82,8,3,68,28,26,42,2,12,82.92682926829268,34.146341463414636,48.78048780487804,250.60822551614362,297.8225789709488,80.48780487804879,74.39024390243902,4.25,8.5,18.0,25.0,63.687140804597696,1.2195121951219512,0.0,0.0,0.0,1.0,1.0,42.42995689655172
static,0,250-300,Vehicle-SemiTruck-Cab,21,12,3,13,9,6,7,3,5,61.904761904761905,42.857142857142854,19.04761904761905,254.2479486873591,294.38766159557423,61.904761904761905,57.14285714285714,0.0,6.0,8.0,14.0,56.94444444444444,0.0,0.0,0.0,0.0,1.0,1.0,38.888888888888886
static,0,250-300,Vehicle-SemiTruck-Trailer,49,20,4,46,27,24,22,3,0,93.87755102040816,55.10204081632652,38.77551020408164,250.0497157484766,299.80861071369907,89.79591836734694,79.59183673469387,6.0,11.0,23.0,54.2,92.5,16.3265306122449,10.204081632653061,0.0,1.0,2.0,4.200000000000003,50.83333333333333
static,0,250-300,Vehicle-Trailer,8,3,3,6,1,1,5,0,2,75.0,12.5,62.5,251.11907169379526,293.82702857255254,75.0,75.0,6.0,18.0,24.5,36.199999999999996,58.333333333333336,0.0,0.0,0.0,0.0,0.0,0.2999999999999998,11.11111111111111
static,0,300-400,RoadObstruction,1,1,1,0,0,0,0,0,1,0.0,0.0,0.0,305.19339503640856,305.19339503640856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,300-400,RoadObstruction-Barrel,39,10,1,2,0,0,2,0,37,5.128205128205128,0.0,5.128205128205128,304.53595916952185,395.366842163772,5.128205128205128,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,300-400,TrafficSign,126,31,4,5,0,0,5,0,121,3.968253968253968,0.0,3.968253968253968,301.03319480211303,396.194511461061,0.0,0.0,0.0,0.0,0.0,0.0,2.6881720430107525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,300-400,Vehicle,9,3,2,3,0,0,3,0,6,33.33333333333333,0.0,33.33333333333333,303.45178706196964,397.6820703976072,11.11111111111111,11.11111111111111,0.0,0.0,1.0,2.200000000000001,41.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,300-400,Vehicle-Bus,1,1,1,0,1,0,0,1,0,0.0,100.0,-100.0,311.72504000404615,311.72504000404615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0
static,0,300-400,Vehicle-Passenger,30,5,3,20,2,0,20,2,8,66.66666666666666,6.666666666666667,60.0,301.1243306220302,381.10379670133005,50.0,36.666666666666664,0.0,2.5,7.5,9.100000000000001,26.521739130434785,0.0,0.0,0.0,0.0,0.0,0.0,20.0
static,0,300-400,Vehicle-SemiTruck-Cab,17,8,3,11,5,4,7,1,5,64.70588235294117,29.411764705882355,35.294117647058826,301.16614732259706,381.0022030069285,52.94117647058824,47.05882352941176,0.0,4.0,6.0,11.8,72.91666666666666,11.76470588235294,11.76470588235294,0.0,0.0,1.0,3.200000000000001,35.416666666666664
static,0,300-400,Vehicle-SemiTruck-Trailer,94,16,4,86,9,9,77,0,8,91.48936170212765,9.574468085106384,81.91489361702128,301.3877330693006,397.2940439717045,90.42553191489363,82.97872340425532,6.0,14.5,31.75,51.80000000000001,83.92857142857143,4.25531914893617,1.0638297872340425,0.0,0.0,0.0,0.0,12.797619047619047
static,0,300-400,Vehicle-SingleUnitTruck,12,1,1,10,4,3,7,1,1,83.33333333333334,33.33333333333333,50.0,320.40407644957935,334.0879888175012,75.0,75.0,4.25,11.5,33.0,49.2,83.33333333333334,0.0,0.0,0.0,0.0,1.0,1.0,33.33333333333333
static,0,300-400,Vehicle-Trailer,2,1,1,2,0,0,2,0,0,100.0,0.0,100.0,323.84286928183565,353.2660326621931,50.0,50.0,4.5,8.0,11.5,13.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-400,RoadObstruction,42,11,2,8,0,0,8,0,34,19.047619047619047,0.0,19.047619047619047,200.63495369006688,305.19339503640856,9.523809523809524,2.380952380952381,0.0,0.0,0.0,2.0,19.62121212121212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-400,RoadObstruction-Barrel,139,20,2,14,0,0,14,0,125,10.071942446043165,0.0,10.071942446043165,200.0625118208934,395.366842163772,5.0359712230215825,0.7194244604316548,0.0,0.0,0.0,0.20000000000000284,10.987970362970364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-400,TrafficSign,358,45,5,34,0,0,34,0,324,9.497206703910614,0.0,9.497206703910614,200.46007809898492,396.194511461061,1.675977653631285,0.27932960893854747,0.0,0.0,0.0,0.0,7.912020078686746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,0,200-400,Vehicle,27,7,3,14,3,2,12,1,12,51.85185185185185,11.11111111111111,40.74074074074074,200.92372660649855,397.6820703976072,37.03703703703704,29.629629629629626,0.0,1.0,6.5,8.0,71.93877551020408,3.7037037037037033,0.0,0.0,0.0,0.0,0.8000000000000043,4.8979591836734695
static,0,200-400,Vehicle-Bus,4,1,1,3,4,3,0,1,0,75.0,100.0,-25.0,208.79788513686086,311.72504000404615,50.0,50.0,0.75,3.0,6.75,9.900000000000002,75.0,75.0,75.0,4.0,6.0,7.5,8.4,100.0
static,0,200-400,Vehicle-Other,1,1,1,1,1,1,0,0,0,100.0,100.0,0.0,216.1487068441776,216.1487068441776,100.0,100.0,8.0,8.0,8.0,8.0,100.0,100.0,100.0,6.0,6.0,6.0,6.0,100.0
static,0,200-400,Vehicle-Passenger,161,11,4,125,46,37,88,9,27,77.63975155279503,28.57142857142857,49.068322981366464,201.91332212775274,381.10379670133005,72.67080745341616,65.21739130434783,2.0,8.0,17.0,26.0,43.7069340492868,1.2422360248447204,0.0,0.0,0.0,1.0,1.0,39.77861439006464
static,0,200-400,Vehicle-SemiTruck-Cab,76,14,4,49,38,27,22,11,16,64.47368421052632,50.0,14.473684210526317,201.06925163807026,381.0022030069285,57.89473684210527,52.63157894736842,0.0,5.0,9.0,19.5,65.40816326530611,13.157894736842104,2.631578947368421,0.0,0.5,2.0,3.0,48.392857142857146
static,0,200-400,Vehicle-SemiTruck-Trailer,202,23,4,185,84,77,108,7,10,91.58415841584159,41.584158415841586,50.0,200.0481951240057,397.2940439717045,89.10891089108911,83.16831683168317,6.0,15.5,35.0,58.0,87.10144927536231,17.326732673267326,9.900990099009901,0.0,0.0,2.0,4.0,46.03519668737061
static,0,200-400,Vehicle-SingleUnitTruck,12,1,1,10,4,3,7,1,1,83.33333333333334,33.33333333333333,50.0,320.40407644957935,334.0879888175012,75.0,75.0,4.25,11.5,33.0,49.2,83.33333333333334,0.0,0.0,0.0,0.0,1.0,1.0,33.33333333333333
static,0,200-400,Vehicle-Trailer,21,3,3,18,9,9,9,0,3,85.71428571428571,42.857142857142854,42.857142857142854,203.3998259724022,353.2660326621931,80.95238095238095,76.19047619047619,6.0,16.0,32.0,78.0,74.44444444444444,14.285714285714285,4.761904761904762,0.0,0.0,1.0,3.0,32.5
static,0.5,100-150,RoadObstruction,4,3,2,4,1,1,3,0,0,100.0,25.0,75.0,124.0458251007249,145.2940934507138,75.0,75.0,5.0,7.0,8.75,10.100000000000001,100.0,0.0,0.0,0.0,0.0,0.25,0.7000000000000002,33.33333333333333
static,0.5,100-150,RoadObstruction-Barrel,170,33,2,164,86,83,81,3,3,96.47058823529412,50.588235294117645,45.88235294117647,100.01457537159469,149.85105342932135,94.70588235294117,90.58823529411765,9.0,21.0,35.75,55.0,96.48629148629149,0.0,0.0,0.0,1.0,1.0,1.0,47.139249639249634
static,0.5,100-150,TrafficSign,153,28,3,101,26,12,89,14,38,66.01307189542483,16.99346405228758,49.01960784313725,100.07915340275993,149.8043785510788,49.673202614379086,39.869281045751634,0.0,2.0,13.0,35.80000000000001,69.04336734693877,0.6535947712418301,0.0,0.0,0.0,0.0,1.0,16.322278911564624
static,0.5,100-150,Vehicle,30,3,2,30,30,30,0,0,0,100.0,100.0,0.0,104.37622497689988,148.91381342419794,100.0,100.0,59.0,89.5,124.25,141.60000000000002,100.0,96.66666666666667,76.66666666666667,5.0,7.0,8.75,10.0,100.0
static,0.5,100-150,Vehicle-Other,1,1,1,1,1,1,0,0,0,100.0,100.0,0.0,130.3234563016597,130.3234563016597,0.0,0.0,2.0,2.0,2.0,2.0,100.0,100.0,100.0,11.0,11.0,11.0,11.0,100.0
static,0.5,100-150,Vehicle-Passenger,74,22,3,66,58,55,11,3,5,89.1891891891892,78.37837837837837,10.81081081081081,100.380581386362,149.6341155859118,77.02702702702703,70.27027027027027,4.0,14.0,50.5,85.0,82.95454545454545,62.16216216216216,37.83783783783784,1.25,3.0,5.75,8.0,59.09090909090908
static,0.5,100-150,Vehicle-RV,2,1,1,2,2,2,0,0,0,100.0,100.0,0.0,106.64524990446951,133.66667790333872,100.0,100.0,17.0,18.0,19.0,19.6,100.0,100.0,100.0,8.5,11.0,13.5,15.0,100.0
static,0.5,100-150,Vehicle-SemiTruck-Cab,87,18,4,82,85,81,1,4,1,94.25287356321839,97.70114942528735,-3.4482758620689724,100.63822132308648,147.84398735180793,91.95402298850574,87.35632183908046,13.0,58.0,176.0,260.6,93.81613756613757,93.10344827586206,80.45977011494253,6.0,7.0,9.0,13.0,94.04761904761905
static,0.5,100-150,Vehicle-SemiTruck-Trailer,79,18,4,79,79,79,0,0,0,100.0,100.0,0.0,100.26475808240477,149.72193380985757,100.0,98.73417721518987,39.5,124.0,397.0,662.8000000000001,100.0,98.73417721518987,92.40506329113924,12.0,20.0,32.5,41.2,100.0
static,0.5,100-150,Vehicle-SingleUnitTruck,20,2,1,20,20,20,0,0,0,100.0,100.0,0.0,107.89679924334742,143.5236124185936,100.0,100.0,138.5,223.0,296.25,340.50000000000006,100.0,95.0,90.0,7.0,9.0,9.25,13.400000000000006,100.0
static,0.5,100-150,Vehicle-Trailer,16,4,4,16,16,16,0,0,0,100.0,100.0,0.0,103.27842576703888,148.2364399300797,100.0,100.0,72.25,395.5,733.5,1034.5,100.0,81.25,81.25,6.0,43.5,48.5,52.0,100.0
static,0.5,150-200,RoadObstruction,30,11,2,27,4,4,23,0,3,90.0,13.333333333333334,76.66666666666667,150.12315334501665,199.34786625091186,80.0,60.0,4.0,6.0,9.75,14.0,89.39393939393938,3.3333333333333335,0.0,0.0,0.0,0.0,1.0,17.424242424242422
static,0.5,150-200,RoadObstruction-Barrel,99,29,2,91,21,20,71,1,7,91.91919191919192,21.21212121212121,70.70707070707071,150.18881488316208,199.9384513570718,82.82828282828282,76.76767676767676,5.0,11.0,19.0,31.60000000000001,91.37931034482759,0.0,0.0,0.0,0.0,0.0,1.0,23.60016420361248
static,0.5,150-200,TrafficSign,139,34,4,93,17,14,79,3,43,66.90647482014388,12.23021582733813,54.67625899280575,150.3231986970195,199.70237418425347,46.76258992805755,41.007194244604314,0.0,2.0,10.0,23.200000000000003,68.10224089635855,0.0,0.0,0.0,0.0,0.0,1.0,12.81862745098039
static,0.5,150-200,Vehicle,31,5,3,26,28,23,3,5,0,83.87096774193549,90.32258064516128,-6.451612903225801,150.80024684336743,197.38795765737675,83.87096774193549,74.19354838709677,5.5,16.0,24.5,102.0,83.84615384615385,48.38709677419355,19.35483870967742,1.0,2.0,3.5,5.0,86.92307692307693
static,0.5,150-200,Vehicle-Bus,1,1,1,0,1,0,0,1,0,0.0,100.0,-100.0,177.87542309528652,177.87542309528652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,22.0,22.0,22.0,22.0,100.0
static,0.5,150-200,Vehicle-Equipment,2,1,1,2,2,2,0,0,0,100.0,100.0,0.0,163.3873574148229,176.7192198830252,100.0,50.0,4.25,5.5,6.75,7.5,100.0,0.0,0.0,1.25,1.5,1.75,1.9,100.0
static,0.5,150-200,Vehicle-Other,2,1,1,2,2,2,0,0,0,100.0,100.0,0.0,158.35541605971324,186.78623020504358,100.0,100.0,23.75,26.5,29.25,30.9,100.0,100.0,100.0,14.5,15.0,15.5,15.8,100.0
static,0.5,150-200,Vehicle-Passenger,64,16,4,56,44,40,16,4,4,87.5,68.75,18.75,150.5748978242395,199.87630076942094,75.0,68.75,3.5,10.0,28.25,38.10000000000001,85.9375,26.5625,3.125,0.0,1.0,3.0,3.0,62.425595238095234
static,0.5,150-200,Vehicle-RV,2,1,1,2,2,2,0,0,0,100.0,100.0,0.0,161.29842305569787,194.50344195811496,50.0,50.0,6.25,11.5,16.75,19.9,100.0,50.0,50.0,2.25,3.5,4.75,5.5,100.0
static,0.5,150-200,Vehicle-SemiTruck-Cab,70,16,4,54,61,51,3,10,6,77.14285714285715,87.14285714285714,-9.999999999999998,150.28445056882035,199.9727196236663,70.0,65.71428571428571,1.0,8.5,20.75,56.2,92.5,65.71428571428571,55.714285714285715,1.0,6.0,9.0,11.0,88.02083333333333
static,0.5,150-200,Vehicle-SemiTruck-Trailer,97,23,4,95,93,91,4,2,0,97.9381443298969,95.87628865979381,2.0618556701030855,150.2692484722888,199.71118933728965,95.87628865979381,95.87628865979381,29.0,87.0,354.0,518.0000000000003,97.69820971867007,83.50515463917526,73.19587628865979,4.0,7.0,14.0,22.80000000000001,91.17647058823529
static,0.5,150-200,Vehicle-SingleUnitTruck,1,1,1,0,1,0,0,1,0,0.0,100.0,-100.0,180.04087629525,180.04087629525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,100.0
static,0.5,150-200,Vehicle-Trailer,13,4,4,13,11,11,2,0,0,100.0,84.61538461538461,15.384615384615385,153.51073085354014,196.30757620340373,92.3076923076923,92.3076923076923,61.0,263.0,381.0,532.2,100.0,69.23076923076923,61.53846153846154,1.0,13.0,27.0,37.2,75.0
static,0.5,200-250,RoadObstruction,33,11,2,23,2,2,21,0,10,69.6969696969697,6.0606060606060606,63.63636363636365,200.63495369006688,249.01143860608167,60.60606060606061,36.36363636363637,0.0,3.0,6.0,8.0,72.72727272727272,0.0,0.0,0.0,0.0,0.0,0.0,6.8181818181818175
static,0.5,200-250,RoadObstruction-Barrel,60,20,2,48,16,13,35,3,9,80.0,26.666666666666668,53.33333333333334,200.0625118208934,249.88406295481,73.33333333333333,68.33333333333333,2.0,9.5,19.5,24.300000000000004,78.74999999999999,0.0,0.0,0.0,0.0,1.0,1.0,22.08333333333333
static,0.5,200-250,TrafficSign,121,34,5,79,8,7,72,1,41,65.28925619834712,6.6115702479338845,58.67768595041323,200.46007809898492,249.66868557030105,47.107438016528924,38.01652892561984,0.0,2.0,8.0,18.0,62.95868347338934,0.0,0.0,0.0,0.0,0.0,0.0,6.61764705882353
static,0.5,200-250,Vehicle,13,4,2,8,8,4,4,4,1,61.53846153846154,61.53846153846154,0.0,200.92372660649855,245.64094980450042,53.84615384615385,53.84615384615385,0.0,8.0,12.0,14.8,82.14285714285714,15.384615384615385,0.0,0.0,1.0,2.0,2.8000000000000007,33.92857142857143
static,0.5,200-250,Vehicle-Bus,2,1,1,2,2,2,0,0,0,100.0,100.0,0.0,208.79788513686086,239.83276001749218,50.0,50.0,3.75,6.5,9.25,10.9,100.0,100.0,100.0,10.0,11.0,12.0,12.6,100.0
static,0.5,200-250,Vehicle-Other,1,1,1,1,1,1,0,0,0,100.0,100.0,0.0,216.1487068441776,216.1487068441776,100.0,100.0,8.0,8.0,8.0,8.0,100.0,100.0,100.0,15.0,15.0,15.0,15.0,100.0
static,0.5,200-250,Vehicle-Passenger,49,10,3,43,34,31,12,3,3,87.75510204081633,69.38775510204081,18.36734693877551,201.91332212775274,249.9157658332935,85.71428571428571,85.71428571428571,12.0,27.0,43.0,61.2,62.5,16.3265306122449,0.0,0.0,2.0,2.0,3.0,62.60489510489511
static,0.5,200-250,Vehicle-SemiTruck-Cab,38,13,4,29,30,24,5,6,3,76.31578947368422,78.94736842105263,-2.631578947368418,201.06925163807026,249.6109946061744,63.1578947368421,57.89473684210527,1.0,5.0,16.5,33.10000000000003,85.16483516483517,34.21052631578947,15.789473684210526,1.0,2.0,3.0,5.0,86.26373626373626
