variant,margin_m,band_m,cohort,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m
static,0,150-200,forward_vehicles,1,46,46,4,36,42,34,2,8,2,78.26086956521739,91.30434782608695,-13.043478260869556,151.8283587278215,199.9727196236663
static,0,150-200,forward_vehicles,3,46,46,4,34,25,20,14,5,7,73.91304347826086,54.347826086956516,19.565217391304344,151.8283587278215,199.9727196236663
static,0,150-200,forward_vehicles,5,46,46,4,32,20,16,16,4,10,69.56521739130434,43.47826086956522,26.08695652173913,151.8283587278215,199.9727196236663
static,0,150-200,all,1,130,130,5,65,48,38,27,10,55,50.0,36.92307692307693,13.076923076923075,150.12315334501665,199.9727196236663
static,0,150-200,all,3,130,130,5,51,23,17,34,6,73,39.23076923076923,17.692307692307693,21.538461538461537,150.12315334501665,199.9727196236663
static,0,150-200,all,5,130,130,5,45,16,12,33,4,81,34.61538461538461,12.307692307692308,22.307692307692307,150.12315334501665,199.9727196236663
static,0,200-250,vehicles,1,51,51,4,37,34,26,11,8,6,72.54901960784314,66.66666666666666,5.882352941176472,201.06925163807026,249.7046674149109
static,0,200-250,vehicles,3,51,51,4,35,11,9,26,2,14,68.62745098039215,21.568627450980394,47.05882352941176,201.06925163807026,249.7046674149109
static,0,200-250,vehicles,5,51,51,4,33,6,5,28,1,17,64.70588235294117,11.76470588235294,52.94117647058824,201.06925163807026,249.7046674149109
static,0,200-250,passenger_cars,1,10,10,3,4,5,1,3,4,2,40.0,50.0,-9.999999999999998,214.64145831489262,246.81883024879065
static,0,200-250,passenger_cars,3,10,10,3,4,0,0,4,0,6,40.0,0.0,40.0,214.64145831489262,246.81883024879065
static,0,200-250,passenger_cars,5,10,10,3,4,0,0,4,0,6,40.0,0.0,40.0,214.64145831489262,246.81883024879065
static,0,200-250,forward_vehicles,1,38,38,4,27,33,24,3,9,2,71.05263157894737,86.8421052631579,-15.789473684210531,201.06925163807026,249.7046674149109
static,0,200-250,forward_vehicles,3,38,38,4,25,9,7,18,2,11,65.78947368421053,23.684210526315788,42.10526315789475,201.06925163807026,249.7046674149109
static,0,200-250,forward_vehicles,5,38,38,4,24,7,6,18,1,13,63.1578947368421,18.421052631578945,44.73684210526315,201.06925163807026,249.7046674149109
static,0,200-250,all,1,112,112,5,45,34,26,19,8,59,40.17857142857143,30.357142857142854,9.821428571428575,200.0625118208934,249.7046674149109
static,0,200-250,all,3,112,112,5,38,11,9,29,2,72,33.92857142857143,9.821428571428571,24.10714285714286,200.0625118208934,249.7046674149109
static,0,200-250,all,5,112,112,5,34,6,5,29,1,77,30.357142857142854,5.357142857142857,24.999999999999996,200.0625118208934,249.7046674149109
static,0,250-300,vehicles,1,44,44,4,34,16,13,21,3,7,77.27272727272727,36.36363636363637,40.90909090909091,251.00468974964278,296.62011809559124
static,0,250-300,vehicles,3,44,44,4,33,3,3,30,0,11,75.0,6.8181818181818175,68.18181818181819,251.00468974964278,296.62011809559124
static,0,250-300,vehicles,5,44,44,4,29,2,2,27,0,15,65.9090909090909,4.545454545454546,61.36363636363637,251.00468974964278,296.62011809559124
static,0,250-300,passenger_cars,1,8,8,3,5,1,1,4,0,3,62.5,12.5,50.0,251.00468974964278,293.9600729212375
static,0,250-300,passenger_cars,3,8,8,3,5,0,0,5,0,3,62.5,0.0,62.5,251.00468974964278,293.9600729212375
static,0,250-300,passenger_cars,5,8,8,3,4,0,0,4,0,4,50.0,0.0,50.0,251.00468974964278,293.9600729212375
static,0,250-300,forward_vehicles,1,33,33,4,23,18,13,10,5,5,69.6969696969697,54.54545454545454,15.15151515151516,251.00468974964278,299.80861071369907
static,0,250-300,forward_vehicles,3,33,33,4,22,3,3,19,0,11,66.66666666666666,9.090909090909092,57.57575757575757,251.00468974964278,299.80861071369907
static,0,250-300,forward_vehicles,5,33,33,4,19,2,2,17,0,14,57.57575757575758,6.0606060606060606,51.515151515151516,251.00468974964278,299.80861071369907
static,0,250-300,all,1,93,93,5,40,16,13,27,3,50,43.01075268817204,17.20430107526882,25.806451612903224,250.22779380742782,299.3158594442666
static,0,250-300,all,3,93,93,5,35,3,3,32,0,58,37.634408602150536,3.225806451612903,34.40860215053764,250.22779380742782,299.3158594442666
static,0,250-300,all,5,93,93,5,29,2,2,27,0,64,31.182795698924732,2.1505376344086025,29.03225806451613,250.22779380742782,299.3158594442666
static,0,300-400,vehicles,1,33,33,4,21,4,3,18,1,11,63.63636363636363,12.121212121212121,51.515151515151516,301.1243306220302,397.6820703976072
static,0,300-400,vehicles,3,33,33,4,18,2,1,17,1,14,54.54545454545454,6.0606060606060606,48.48484848484848,301.1243306220302,397.6820703976072
static,0,300-400,vehicles,5,33,33,4,15,2,1,14,1,17,45.45454545454545,6.0606060606060606,39.39393939393939,301.1243306220302,397.6820703976072
static,0,300-400,passenger_cars,1,5,5,3,2,0,0,2,0,3,40.0,0.0,40.0,301.1243306220302,348.83265659385177
static,0,300-400,passenger_cars,3,5,5,3,2,0,0,2,0,3,40.0,0.0,40.0,301.1243306220302,348.83265659385177
static,0,300-400,passenger_cars,5,5,5,3,0,0,0,0,0,5,0.0,0.0,0.0,301.1243306220302,348.83265659385177
static,0,300-400,forward_vehicles,1,27,27,4,16,3,2,14,1,10,59.25925925925925,11.11111111111111,48.148148148148145,301.1243306220302,397.6820703976072
static,0,300-400,forward_vehicles,3,27,27,4,13,2,1,12,1,13,48.148148148148145,7.4074074074074066,40.74074074074074,301.1243306220302,397.6820703976072
static,0,300-400,forward_vehicles,5,27,27,4,10,2,1,9,1,16,37.03703703703704,7.4074074074074066,29.629629629629626,301.1243306220302,397.6820703976072
static,0,300-400,all,1,75,75,5,22,4,3,19,1,52,29.333333333333332,5.333333333333334,24.0,301.1243306220302,397.6820703976072
static,0,300-400,all,3,75,75,5,18,2,1,17,1,56,24.0,2.666666666666667,21.333333333333332,301.1243306220302,397.6820703976072
static,0,300-400,all,5,75,75,5,15,2,1,14,1,59,20.0,2.666666666666667,17.333333333333336,301.1243306220302,397.6820703976072
static,0,200-400,vehicles,1,55,55,4,34,16,12,22,4,17,61.81818181818181,29.09090909090909,32.72727272727273,201.06925163807026,397.6820703976072
static,0,200-400,vehicles,3,55,55,4,31,6,5,26,1,23,56.36363636363636,10.909090909090908,45.45454545454545,201.06925163807026,397.6820703976072
static,0,200-400,vehicles,5,55,55,4,28,3,2,26,1,26,50.90909090909091,5.454545454545454,45.454545454545446,201.06925163807026,397.6820703976072
static,0,200-400,passenger_cars,1,11,11,4,5,1,0,5,1,5,45.45454545454545,9.090909090909092,36.36363636363637,214.64145831489262,348.83265659385177
static,0,200-400,passenger_cars,3,11,11,4,5,0,0,5,0,6,45.45454545454545,0.0,45.45454545454545,214.64145831489262,348.83265659385177
static,0,200-400,passenger_cars,5,11,11,4,4,0,0,4,0,7,36.36363636363637,0.0,36.36363636363637,214.64145831489262,348.83265659385177
static,0,200-400,forward_vehicles,1,42,42,4,26,10,6,20,4,12,61.904761904761905,23.809523809523807,38.0952380952381,201.06925163807026,397.6820703976072
static,0,200-400,forward_vehicles,3,42,42,4,23,3,2,21,1,18,54.761904761904766,7.142857142857142,47.61904761904763,201.06925163807026,397.6820703976072
static,0,200-400,forward_vehicles,5,42,42,4,20,3,2,18,1,21,47.61904761904761,7.142857142857142,40.476190476190474,201.06925163807026,397.6820703976072
static,0,200-400,all,1,127,127,5,41,16,12,29,4,82,32.28346456692913,12.598425196850393,19.685039370078737,200.0625118208934,397.6820703976072
static,0,200-400,all,3,127,127,5,35,6,5,30,1,91,27.559055118110237,4.724409448818897,22.83464566929134,200.0625118208934,397.6820703976072
static,0,200-400,all,5,127,127,5,29,3,2,27,1,97,22.83464566929134,2.3622047244094486,20.472440944881892,200.0625118208934,397.6820703976072
static,0.5,100-150,vehicles,1,66,66,4,62,57,56,6,1,3,93.93939393939394,86.36363636363636,7.57575757575758,100.380581386362,149.72193380985757
static,0.5,100-150,vehicles,3,66,66,4,57,52,51,6,1,8,86.36363636363636,78.78787878787878,7.57575757575758,100.380581386362,149.72193380985757
static,0.5,100-150,vehicles,5,66,66,4,53,40,38,15,2,11,80.3030303030303,60.60606060606061,19.696969696969692,100.380581386362,149.72193380985757
static,0.5,100-150,passenger_cars,1,22,22,3,18,14,13,5,1,3,81.81818181818183,63.63636363636363,18.181818181818187,100.380581386362,147.2730748425423
static,0.5,100-150,passenger_cars,3,22,22,3,14,11,11,3,0,8,63.63636363636363,50.0,13.636363636363635,100.380581386362,147.2730748425423
static,0.5,100-150,passenger_cars,5,22,22,3,11,4,4,7,0,11,50.0,18.181818181818183,31.818181818181817,100.380581386362,147.2730748425423
static,0.5,100-150,forward_vehicles,1,45,45,4,43,44,43,0,1,1,95.55555555555556,97.77777777777777,-2.2222222222222143,100.380581386362,149.72193380985757
static,0.5,100-150,forward_vehicles,3,45,45,4,41,40,39,2,1,3,91.11111111111111,88.88888888888889,2.2222222222222254,100.380581386362,149.72193380985757
static,0.5,100-150,forward_vehicles,5,45,45,4,39,34,32,7,2,4,86.66666666666667,75.55555555555556,11.111111111111116,100.380581386362,149.72193380985757
static,0.5,100-150,all,1,127,127,5,112,77,72,40,5,10,88.18897637795276,60.629921259842526,27.55905511811023,100.380581386362,149.72193380985757
static,0.5,100-150,all,3,127,127,5,101,53,52,49,1,25,79.52755905511812,41.732283464566926,37.795275590551185,100.380581386362,149.72193380985757
static,0.5,100-150,all,5,127,127,5,92,40,38,54,2,33,72.44094488188976,31.496062992125985,40.944881889763785,100.380581386362,149.72193380985757
static,0.5,150-200,vehicles,1,65,65,4,57,57,50,7,7,1,87.6923076923077,87.6923076923077,0.0,151.8283587278215,199.9727196236663
static,0.5,150-200,vehicles,3,65,65,4,50,38,33,17,5,10,76.92307692307693,58.46153846153847,18.461538461538463,151.8283587278215,199.9727196236663
static,0.5,150-200,vehicles,5,65,65,4,47,26,21,26,5,13,72.3076923076923,40.0,32.30769230769231,151.8283587278215,199.9727196236663
static,0.5,150-200,passenger_cars,1,16,16,4,12,11,8,4,3,1,75.0,68.75,6.25,152.30494406940272,199.87630076942094
static,0.5,150-200,passenger_cars,3,16,16,4,9,5,4,5,1,6,56.25,31.25,25.0,152.30494406940272,199.87630076942094
static,0.5,150-200,passenger_cars,5,16,16,4,8,1,0,8,1,7,50.0,6.25,43.75,152.30494406940272,199.87630076942094
static,0.5,150-200,forward_vehicles,1,46,46,4,39,45,39,0,6,1,84.78260869565217,97.82608695652173,-13.043478260869568,151.8283587278215,199.9727196236663
static,0.5,150-200,forward_vehicles,3,46,46,4,38,35,31,7,4,4,82.6086956521739,76.08695652173914,6.521739130434778,151.8283587278215,199.9727196236663
static,0.5,150-200,forward_vehicles,5,46,46,4,36,26,22,14,4,6,78.26086956521739,56.52173913043478,21.739130434782616,151.8283587278215,199.9727196236663
static,0.5,150-200,all,1,130,130,5,112,68,61,51,7,11,86.15384615384616,52.307692307692314,33.84615384615385,150.12315334501665,199.9727196236663
static,0.5,150-200,all,3,130,130,5,92,39,34,58,5,33,70.76923076923077,30.0,40.769230769230774,150.12315334501665,199.9727196236663
static,0.5,150-200,all,5,130,130,5,85,26,21,64,5,40,65.38461538461539,20.0,45.38461538461539,150.12315334501665,199.9727196236663
static,0.5,200-250,vehicles,1,51,51,4,41,37,31,10,6,4,80.3921568627451,72.54901960784314,7.843137254901967,201.06925163807026,249.7046674149109
static,0.5,200-250,vehicles,3,51,51,4,37,19,16,21,3,11,72.54901960784314,37.254901960784316,35.29411764705882,201.06925163807026,249.7046674149109
static,0.5,200-250,vehicles,5,51,51,4,37,9,8,29,1,13,72.54901960784314,17.647058823529413,54.90196078431372,201.06925163807026,249.7046674149109
static,0.5,200-250,passenger_cars,1,10,10,3,6,5,2,4,3,1,60.0,50.0,9.999999999999998,214.64145831489262,246.81883024879065
static,0.5,200-250,passenger_cars,3,10,10,3,5,2,2,3,0,5,50.0,20.0,30.0,214.64145831489262,246.81883024879065
static,0.5,200-250,passenger_cars,5,10,10,3,5,0,0,5,0,5,50.0,0.0,50.0,214.64145831489262,246.81883024879065
static,0.5,200-250,forward_vehicles,1,38,38,4,30,33,27,3,6,2,78.94736842105263,86.8421052631579,-7.8947368421052655,201.06925163807026,249.7046674149109
static,0.5,200-250,forward_vehicles,3,38,38,4,27,18,15,12,3,8,71.05263157894737,47.368421052631575,23.68421052631579,201.06925163807026,249.7046674149109
static,0.5,200-250,forward_vehicles,5,38,38,4,27,11,10,17,1,10,71.05263157894737,28.947368421052634,42.10526315789473,201.06925163807026,249.7046674149109
static,0.5,200-250,all,1,112,112,5,82,46,38,44,8,22,73.21428571428571,41.07142857142857,32.14285714285714,200.0625118208934,249.7046674149109
static,0.5,200-250,all,3,112,112,5,68,19,16,52,3,41,60.71428571428571,16.964285714285715,43.74999999999999,200.0625118208934,249.7046674149109
static,0.5,200-250,all,5,112,112,5,63,9,8,55,1,48,56.25,8.035714285714286,48.214285714285715,200.0625118208934,249.7046674149109
static,0.5,250-300,vehicles,1,44,44,4,36,21,17,19,4,4,81.81818181818183,47.72727272727273,34.09090909090909,251.00468974964278,296.62011809559124
static,0.5,250-300,vehicles,3,44,44,4,35,7,6,29,1,8,79.54545454545455,15.909090909090908,63.63636363636363,251.00468974964278,296.62011809559124
static,0.5,250-300,vehicles,5,44,44,4,33,2,2,31,0,11,75.0,4.545454545454546,70.45454545454545,251.00468974964278,296.62011809559124
static,0.5,250-300,passenger_cars,1,8,8,3,6,3,3,3,0,2,75.0,37.5,37.5,251.00468974964278,293.9600729212375
static,0.5,250-300,passenger_cars,3,8,8,3,5,1,1,4,0,3,62.5,12.5,50.0,251.00468974964278,293.9600729212375
static,0.5,250-300,passenger_cars,5,8,8,3,5,0,0,5,0,3,62.5,0.0,62.5,251.00468974964278,293.9600729212375
static,0.5,250-300,forward_vehicles,1,33,33,4,26,22,17,9,5,2,78.78787878787878,66.66666666666666,12.121212121212121,251.00468974964278,299.80861071369907
static,0.5,250-300,forward_vehicles,3,33,33,4,25,10,8,17,2,6,75.75757575757575,30.303030303030305,45.45454545454545,251.00468974964278,299.80861071369907
static,0.5,250-300,forward_vehicles,5,33,33,4,24,2,2,22,0,9,72.72727272727273,6.0606060606060606,66.66666666666667,251.00468974964278,299.80861071369907
static,0.5,250-300,all,1,93,93,5,72,23,19,53,4,17,77.41935483870968,24.731182795698924,52.68817204301075,250.22779380742782,299.3158594442666
static,0.5,250-300,all,3,93,93,5,62,7,6,56,1,30,66.66666666666666,7.526881720430108,59.13978494623655,250.22779380742782,299.3158594442666
static,0.5,250-300,all,5,93,93,5,56,2,2,54,0,37,60.215053763440864,2.1505376344086025,58.06451612903226,250.22779380742782,299.3158594442666
static,0.5,300-400,vehicles,1,33,33,4,25,4,3,22,1,7,75.75757575757575,12.121212121212121,63.63636363636363,301.1243306220302,397.6820703976072
static,0.5,300-400,vehicles,3,33,33,4,24,2,1,23,1,8,72.72727272727273,6.0606060606060606,66.66666666666667,301.1243306220302,397.6820703976072
static,0.5,300-400,vehicles,5,33,33,4,22,2,1,21,1,10,66.66666666666666,6.0606060606060606,60.606060606060595,301.1243306220302,397.6820703976072
static,0.5,300-400,passenger_cars,1,5,5,3,4,0,0,4,0,1,80.0,0.0,80.0,301.1243306220302,348.83265659385177
static,0.5,300-400,passenger_cars,3,5,5,3,4,0,0,4,0,1,80.0,0.0,80.0,301.1243306220302,348.83265659385177
static,0.5,300-400,passenger_cars,5,5,5,3,3,0,0,3,0,2,60.0,0.0,60.0,301.1243306220302,348.83265659385177
static,0.5,300-400,forward_vehicles,1,27,27,4,20,3,2,18,1,6,74.07407407407408,11.11111111111111,62.962962962962955,301.1243306220302,397.6820703976072
static,0.5,300-400,forward_vehicles,3,27,27,4,19,2,1,18,1,7,70.37037037037037,7.4074074074074066,62.96296296296296,301.1243306220302,397.6820703976072
static,0.5,300-400,forward_vehicles,5,27,27,4,17,2,1,16,1,9,62.96296296296296,7.4074074074074066,55.55555555555556,301.1243306220302,397.6820703976072
static,0.5,300-400,all,1,75,75,5,45,5,4,41,1,29,60.0,6.666666666666667,53.333333333333336,301.1243306220302,397.6820703976072
static,0.5,300-400,all,3,75,75,5,38,2,1,37,1,36,50.66666666666667,2.666666666666667,48.00000000000001,301.1243306220302,397.6820703976072
static,0.5,300-400,all,5,75,75,5,31,2,1,30,1,43,41.333333333333336,2.666666666666667,38.666666666666664,301.1243306220302,397.6820703976072
static,0.5,200-400,vehicles,1,55,55,4,41,21,17,24,4,10,74.54545454545455,38.18181818181819,36.36363636363637,201.06925163807026,397.6820703976072
static,0.5,200-400,vehicles,3,55,55,4,39,11,10,29,1,15,70.9090909090909,20.0,50.90909090909091,201.06925163807026,397.6820703976072
static,0.5,200-400,vehicles,5,55,55,4,37,6,5,32,1,17,67.27272727272727,10.909090909090908,56.36363636363636,201.06925163807026,397.6820703976072
static,0.5,200-400,passenger_cars,1,11,11,4,8,2,1,7,1,2,72.72727272727273,18.181818181818183,54.54545454545454,214.64145831489262,348.83265659385177
static,0.5,200-400,passenger_cars,3,11,11,4,7,1,1,6,0,4,63.63636363636363,9.090909090909092,54.54545454545454,214.64145831489262,348.83265659385177
static,0.5,200-400,passenger_cars,5,11,11,4,6,0,0,6,0,5,54.54545454545454,0.0,54.54545454545454,214.64145831489262,348.83265659385177
static,0.5,200-400,forward_vehicles,1,42,42,4,32,12,9,23,3,7,76.19047619047619,28.57142857142857,47.61904761904761,201.06925163807026,397.6820703976072
static,0.5,200-400,forward_vehicles,3,42,42,4,31,8,7,24,1,10,73.80952380952381,19.047619047619047,54.761904761904766,201.06925163807026,397.6820703976072
static,0.5,200-400,forward_vehicles,5,42,42,4,28,6,5,23,1,13,66.66666666666666,14.285714285714285,52.38095238095237,201.06925163807026,397.6820703976072
static,0.5,200-400,all,1,127,127,5,86,27,22,64,5,36,67.71653543307087,21.25984251968504,46.45669291338583,200.0625118208934,397.6820703976072
static,0.5,200-400,all,3,127,127,5,70,11,10,60,1,56,55.118110236220474,8.661417322834646,46.45669291338583,200.0625118208934,397.6820703976072
static,0.5,200-400,all,5,127,127,5,61,6,5,56,1,65,48.031496062992126,4.724409448818897,43.30708661417323,200.0625118208934,397.6820703976072
aligned,0,100-150,vehicles,1,66,66,4,59,52,49,10,3,4,89.39393939393939,78.78787878787878,10.606060606060607,100.380581386362,149.72193380985757
aligned,0,100-150,vehicles,3,66,66,4,52,39,36,16,3,11,78.78787878787878,59.09090909090909,19.696969696969692,100.380581386362,149.72193380985757
aligned,0,100-150,vehicles,5,66,66,4,45,30,26,19,4,17,68.18181818181817,45.45454545454545,22.727272727272723,100.380581386362,149.72193380985757
aligned,0,100-150,passenger_cars,1,22,22,3,17,12,11,6,1,4,77.27272727272727,54.54545454545454,22.72727272727273,100.380581386362,147.2730748425423
aligned,0,100-150,passenger_cars,3,22,22,3,12,5,4,8,1,9,54.54545454545454,22.727272727272727,31.818181818181813,100.380581386362,147.2730748425423
aligned,0,100-150,passenger_cars,5,22,22,3,8,1,0,8,1,13,36.36363636363637,4.545454545454546,31.818181818181817,100.380581386362,147.2730748425423
aligned,0,100-150,forward_vehicles,1,45,45,4,42,42,40,2,2,1,93.33333333333333,93.33333333333333,0.0,100.380581386362,149.72193380985757
aligned,0,100-150,forward_vehicles,3,45,45,4,39,34,31,8,3,3,86.66666666666667,75.55555555555556,11.111111111111116,100.380581386362,149.72193380985757
aligned,0,100-150,forward_vehicles,5,45,45,4,35,29,25,10,4,6,77.77777777777779,64.44444444444444,13.33333333333333,100.380581386362,149.72193380985757
aligned,0,100-150,all,1,127,127,5,106,60,56,50,4,17,83.46456692913385,47.24409448818898,36.22047244094488,100.380581386362,149.72193380985757
aligned,0,100-150,all,3,127,127,5,95,39,36,59,3,29,74.80314960629921,30.708661417322837,44.09448818897638,100.380581386362,149.72193380985757
aligned,0,100-150,all,5,127,127,5,87,30,26,61,4,36,68.50393700787401,23.62204724409449,44.881889763779526,100.380581386362,149.72193380985757
aligned,0,150-200,vehicles,1,65,65,4,59,46,41,18,5,1,90.76923076923077,70.76923076923077,19.999999999999996,151.8283587278215,199.9727196236663
aligned,0,150-200,vehicles,3,65,65,4,53,22,19,34,3,9,81.53846153846153,33.84615384615385,47.692307692307686,151.8283587278215,199.9727196236663
aligned,0,150-200,vehicles,5,65,65,4,49,15,13,36,2,14,75.38461538461539,23.076923076923077,52.3076923076923,151.8283587278215,199.9727196236663
aligned,0,150-200,passenger_cars,1,16,16,4,13,10,8,5,2,1,81.25,62.5,18.75,152.30494406940272,199.87630076942094
aligned,0,150-200,passenger_cars,3,16,16,4,11,0,0,11,0,5,68.75,0.0,68.75,152.30494406940272,199.87630076942094
aligned,0,150-200,passenger_cars,5,16,16,4,10,0,0,10,0,6,62.5,0.0,62.5,152.30494406940272,199.87630076942094
aligned,0,150-200,forward_vehicles,1,46,46,4,40,41,37,3,4,2,86.95652173913044,89.13043478260869,-2.1739130434782594,151.8283587278215,199.9727196236663
aligned,0,150-200,forward_vehicles,3,46,46,4,40,25,23,17,2,4,86.95652173913044,54.347826086956516,32.608695652173914,151.8283587278215,199.9727196236663
aligned,0,150-200,forward_vehicles,5,46,46,4,38,19,17,21,2,6,82.6086956521739,41.30434782608695,41.30434782608695,151.8283587278215,199.9727196236663
aligned,0,150-200,all,1,130,130,5,117,49,44,73,5,8,90.0,37.69230769230769,52.307692307692314,150.12315334501665,199.9727196236663
aligned,0,150-200,all,3,130,130,5,107,22,19,88,3,20,82.3076923076923,16.923076923076923,65.38461538461537,150.12315334501665,199.9727196236663
aligned,0,150-200,all,5,130,130,5,96,15,13,83,2,32,73.84615384615385,11.538461538461538,62.30769230769231,150.12315334501665,199.9727196236663
aligned,0,200-250,vehicles,1,51,51,4,36,33,26,10,7,8,70.58823529411765,64.70588235294117,5.882352941176472,201.06925163807026,249.7046674149109
aligned,0,200-250,vehicles,3,51,51,4,34,11,8,26,3,14,66.66666666666666,21.568627450980394,45.09803921568627,201.06925163807026,249.7046674149109
aligned,0,200-250,vehicles,5,51,51,4,33,5,4,29,1,17,64.70588235294117,9.803921568627452,54.90196078431373,201.06925163807026,249.7046674149109
aligned,0,200-250,passenger_cars,1,10,10,3,4,5,1,3,4,2,40.0,50.0,-9.999999999999998,214.64145831489262,246.81883024879065
aligned,0,200-250,passenger_cars,3,10,10,3,4,0,0,4,0,6,40.0,0.0,40.0,214.64145831489262,246.81883024879065
aligned,0,200-250,passenger_cars,5,10,10,3,4,0,0,4,0,6,40.0,0.0,40.0,214.64145831489262,246.81883024879065
aligned,0,200-250,forward_vehicles,1,38,38,4,27,32,24,3,8,3,71.05263157894737,84.21052631578947,-13.157894736842103,201.06925163807026,249.7046674149109
aligned,0,200-250,forward_vehicles,3,38,38,4,25,12,9,16,3,10,65.78947368421053,31.57894736842105,34.21052631578948,201.06925163807026,249.7046674149109
aligned,0,200-250,forward_vehicles,5,38,38,4,24,6,5,19,1,13,63.1578947368421,15.789473684210526,47.368421052631575,201.06925163807026,249.7046674149109
aligned,0,200-250,all,1,112,112,5,81,35,28,53,7,24,72.32142857142857,31.25,41.07142857142857,200.0625118208934,249.7046674149109
aligned,0,200-250,all,3,112,112,5,69,11,8,61,3,40,61.60714285714286,9.821428571428571,51.78571428571429,200.0625118208934,249.7046674149109
aligned,0,200-250,all,5,112,112,5,61,5,4,57,1,50,54.46428571428571,4.464285714285714,49.99999999999999,200.0625118208934,249.7046674149109
aligned,0,250-300,vehicles,1,44,44,4,35,18,14,21,4,5,79.54545454545455,40.909090909090914,38.63636363636363,251.00468974964278,296.62011809559124
aligned,0,250-300,vehicles,3,44,44,4,35,3,3,32,0,9,79.54545454545455,6.8181818181818175,72.72727272727273,251.00468974964278,296.62011809559124
aligned,0,250-300,vehicles,5,44,44,4,33,2,2,31,0,11,75.0,4.545454545454546,70.45454545454545,251.00468974964278,296.62011809559124
aligned,0,250-300,passenger_cars,1,8,8,3,5,1,1,4,0,3,62.5,12.5,50.0,251.00468974964278,293.9600729212375
aligned,0,250-300,passenger_cars,3,8,8,3,5,0,0,5,0,3,62.5,0.0,62.5,251.00468974964278,293.9600729212375
aligned,0,250-300,passenger_cars,5,8,8,3,5,0,0,5,0,3,62.5,0.0,62.5,251.00468974964278,293.9600729212375
aligned,0,250-300,forward_vehicles,1,33,33,4,24,20,14,10,6,3,72.72727272727273,60.60606060606061,12.121212121212121,251.00468974964278,299.80861071369907
aligned,0,250-300,forward_vehicles,3,33,33,4,24,3,3,21,0,9,72.72727272727273,9.090909090909092,63.63636363636363,251.00468974964278,299.80861071369907
aligned,0,250-300,forward_vehicles,5,33,33,4,23,2,2,21,0,10,69.6969696969697,6.0606060606060606,63.63636363636365,251.00468974964278,299.80861071369907
aligned,0,250-300,all,1,93,93,5,73,19,15,58,4,16,78.49462365591397,20.43010752688172,58.06451612903225,250.22779380742782,299.3158594442666
aligned,0,250-300,all,3,93,93,5,67,3,3,64,0,26,72.04301075268818,3.225806451612903,68.81720430107528,250.22779380742782,299.3158594442666
