instance_token,category,scene,observations,instances,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m
15a24be7702648bc98c4bc48962f6d12,static_object.traffic_sign,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,5,1,5,2,2,3,0,0,100.0,40.0,60.0,162.12617637072634,212.63843349711874
168713ac6338409cb52a8395e1166df3,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,4,1,4,0,0,4,0,0,100.0,0.0,100.0,152.97146499756445,168.64555098762574
17a06474ab53431c9c0460e7e0e1578a,vehicle.motorcycle,scene-a6a87db5125846bda72ccfc9931ee153-11,2,1,2,0,0,2,0,0,100.0,0.0,100.0,152.92324720038215,156.93649967607854
18abe427fade41398f636ebf976485a9,vehicle.truck,scene-3f542f89ec5241b6a4e30ca743adcf34-29,5,1,5,0,0,5,0,0,100.0,0.0,100.0,150.9381786694717,210.6892450188547
18b2eecf1d554b7b85ea2717e02737ee,vehicle.truck,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,0,0,3,0,0,100.0,0.0,100.0,179.61071516301678,216.4423670705562
1996e04e18a8403abc617f9729af71f7,vehicle.car,scene-fb64d203d417452f830ca73efed80c41-11,5,1,5,0,0,5,0,0,100.0,0.0,100.0,150.388773744296,161.72792642900976
1a6c3bc2136c403fa66a611536b4cd73,vehicle.bicycle,scene-23160c4bff134cdd86b96ee822b4aca9-14,2,1,2,1,1,1,0,0,100.0,50.0,50.0,152.47270811654,158.13781564282644
1a7ab0af8e0f4a73820ebead92302762,vehicle.truck,scene-3f542f89ec5241b6a4e30ca743adcf34-29,39,1,39,0,0,39,0,0,100.0,0.0,100.0,188.65792899765978,193.90667035871343
1ae7409af9d348b6969f9248feb2382c,static_object.traffic_sign,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,6,1,6,0,0,6,0,0,100.0,0.0,100.0,154.86397937737647,217.6282513735054
1b276ec4e523409f99c14484f2dba79f,vehicle.car,scene-a6a87db5125846bda72ccfc9931ee153-11,3,1,2,1,1,1,0,1,66.66666666666666,33.33333333333333,33.33333333333333,155.5550320997846,179.6113742521685
1b425a5aef124b66a3aab7ecd386a3f3,vehicle.car,scene-fb64d203d417452f830ca73efed80c41-11,2,1,2,0,0,2,0,0,100.0,0.0,100.0,157.12764249599905,161.66631352015673
1bd392f8c52443819831dc8040bded88,vehicle.car,scene-fb64d203d417452f830ca73efed80c41-11,5,1,2,0,0,2,0,3,40.0,0.0,40.0,180.04445115826894,219.33151347796112
1bd57a81ff4a4e70a6671cbc563cc5bb,vehicle.car,scene-b201f6e737e34c2d87830fc1e2911516-6,19,1,17,0,0,17,0,2,89.47368421052632,0.0,89.47368421052632,177.8104939822472,217.46808938821277
1bf201fa4cdf4ddd9295098ebe8cdfa4,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,17,1,12,1,1,11,0,5,70.58823529411765,5.88235294117647,64.70588235294117,151.4877365303915,194.03214280332003
1cbfbdf15ff0476fbcd4d4f032560109,vehicle.trailer,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,4,1,1,3,0,0,100.0,25.0,75.0,161.3314514697619,214.33241314169393
1e523be5c5f24bd196bed1f92aa999cf,static_object.traffic_sign,scene-3f542f89ec5241b6a4e30ca743adcf34-29,8,1,7,0,0,7,0,1,87.5,0.0,87.5,150.54362826547097,210.10367980902294
1e9994e8b4ec4f96b44167b6e75d2707,vehicle.car,scene-a6a87db5125846bda72ccfc9931ee153-11,5,1,5,0,0,5,0,0,100.0,0.0,100.0,158.79191146359915,196.46117340970696
1ef10cdd14c646b680cdd55d08ccbbbc,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,4,1,1,3,0,0,100.0,25.0,75.0,151.8933850453648,208.7975247877033
204dcfeb515f4772a9a43708cc2bc395,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,27,1,25,6,6,19,0,2,92.5925925925926,22.22222222222222,70.37037037037037,151.66730095276603,224.73762196277855
20cf6de93e47488ea677c22725d1bfa7,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,6,1,5,0,0,5,0,1,83.33333333333334,0.0,83.33333333333334,169.99685754588157,223.08859349302594
215bc7aa550246ceac9d9af6da8dc53c,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,5,1,5,0,0,5,0,0,100.0,0.0,100.0,170.72425433764357,206.12098597932052
21cf6033b2ae492587bc7e3bdc9a4523,static_object.traffic_sign,scene-3195e3bfd1de4f9ba82f874790c7856c-15,5,1,5,1,1,4,0,0,100.0,20.0,80.0,156.94522537071146,204.06478195445243
23ec261cff944789890fc15e661989a1,vehicle.trailer,scene-3195e3bfd1de4f9ba82f874790c7856c-15,2,1,2,1,1,1,0,0,100.0,50.0,50.0,161.65346679337492,183.85239425196193
2410ca6242a94c4ba49392881cbad267,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,3,1,3,0,0,3,0,0,100.0,0.0,100.0,155.5620972672319,210.61325454737874
247bf8e4c5b649129254ac5822fefda4,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,7,1,7,0,0,7,0,0,100.0,0.0,100.0,154.01101210399574,215.77851992761418
251be48cde6940bebd7cd75933aa81f6,vehicle.car,scene-a6a87db5125846bda72ccfc9931ee153-11,7,1,7,0,0,7,0,0,100.0,0.0,100.0,156.77468494604645,175.91211255303506
25784efc8b954087be56c50f95fe5dda,vehicle.truck,scene-3195e3bfd1de4f9ba82f874790c7856c-15,3,1,3,2,2,1,0,0,100.0,66.66666666666666,33.333333333333336,158.71177458886953,205.45156553116166
25b9df0ed2d64b24b1dac5aad14e0fdd,vehicle.car,scene-b201f6e737e34c2d87830fc1e2911516-6,28,1,27,1,1,26,0,1,96.42857142857143,3.571428571428571,92.85714285714286,157.84598019347828,187.31773106714863
25e015ca3f4049418ae4effe188724ab,vehicle.car,scene-a6a87db5125846bda72ccfc9931ee153-11,2,1,2,0,0,2,0,0,100.0,0.0,100.0,176.2221416927314,177.54275706822324
25e6d77181ff49119894d47a2d986859,static_object.traffic_sign,scene-3195e3bfd1de4f9ba82f874790c7856c-15,3,1,3,0,0,3,0,0,100.0,0.0,100.0,183.9137221711318,207.50414074108272
267ca5bb00524a7f8e868d5678b0d96f,vehicle.trailer,scene-3195e3bfd1de4f9ba82f874790c7856c-15,2,1,2,0,0,2,0,0,100.0,0.0,100.0,164.0101484737106,186.85278750366604
269452da5b74496789aceb7da61c8e95,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,1,1,1,0,0,1,0,0,100.0,0.0,100.0,153.1631815561187,153.1631815561187
26c1782e2f224327bbc04598cceca978,static_object.traffic_sign,scene-3f542f89ec5241b6a4e30ca743adcf34-29,5,1,5,0,0,5,0,0,100.0,0.0,100.0,150.48815718407374,175.8942659318766
27aeae61e73b4a748aed63982f307d04,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,4,0,0,4,0,0,100.0,0.0,100.0,173.65401144231103,217.6489168017329
27cdb8188fd64054bb62f389c31901d7,vehicle.car,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,5,1,5,1,1,4,0,0,100.0,20.0,80.0,154.93908571996687,208.28532751795413
2804c33d7da34221afeee9f1d6f72a1c,vehicle.truck,scene-b201f6e737e34c2d87830fc1e2911516-6,2,1,2,0,0,2,0,0,100.0,0.0,100.0,159.02710664861172,172.59299925946627
290cbb66e0964f0ca53c4cab1c1a24e7,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,5,1,4,0,0,4,0,1,80.0,0.0,80.0,159.9671580372231,176.67111958436715
2a7cf27abf3d4bbb95cad770f0c591d0,static_object.traffic_sign,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,6,1,6,1,1,5,0,0,100.0,16.666666666666664,83.33333333333334,157.83426088785598,220.88370211099877
2b3be2560661467b8841f7ab25a9fa01,vehicle.car,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,5,1,5,0,0,5,0,0,100.0,0.0,100.0,151.6390456885717,210.11703866290995
2bb3efdc77d34f47b0dd1ad50720f47d,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,2,1,2,1,1,1,0,0,100.0,50.0,50.0,151.62948958762527,155.21492926395698
2cc7e09246ba4e61a92759daa6ca09be,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,6,1,0,0,0,0,0,6,0.0,0.0,0.0,189.08017887446698,212.17407481255833
2d42bd184c5748daa6ecb7a914918bb4,vehicle.car,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,2,1,2,0,0,2,0,0,100.0,0.0,100.0,171.1601307897199,198.83259709682164
2d78859ae5494df8b27241ce1f78ae31,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,3,1,1,0,0,1,0,2,33.33333333333333,0.0,33.33333333333333,151.99407415968696,162.5782592986271
2e28898d19f54c7694b0406794b026ae,static_object.traffic_sign,scene-3f542f89ec5241b6a4e30ca743adcf34-29,9,1,9,1,1,8,0,0,100.0,11.11111111111111,88.88888888888889,152.14662654318923,221.53546841308165
2ea4232838de481189f5cee351810686,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,12,1,12,5,5,7,0,0,100.0,41.66666666666667,58.33333333333333,153.98479106266257,193.27525480995013
2ee71dba7c9f45e8a2388d608047b072,vehicle.truck,scene-3195e3bfd1de4f9ba82f874790c7856c-15,6,1,6,2,2,4,0,0,100.0,33.33333333333333,66.66666666666667,151.82594848217266,211.26424799846316
2efd73b530b9472a9728bb6070df0b15,vehicle.car,scene-b201f6e737e34c2d87830fc1e2911516-6,6,1,5,1,1,4,0,1,83.33333333333334,16.666666666666664,66.66666666666667,150.4444803366223,158.40588362238415
2f81de65f5db4a79b3223fb80b29470d,vehicle.car,scene-a6a87db5125846bda72ccfc9931ee153-11,4,1,3,0,0,3,0,1,75.0,0.0,75.0,153.43558184191082,184.5526453719382
2fa173ea0f00429d8e44a401c087e0c3,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,1,1,1,0,0,1,0,0,100.0,0.0,100.0,175.60184513210078,175.60184513210078
306a0b6fef7b4cd9b04ec4f9f4421f0a,vehicle.truck,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,4,1,4,2,2,2,0,0,100.0,50.0,50.0,154.15604721900328,225.6481571737795
3072746101794e748a08eeab5afa2179,vehicle.truck,scene-b201f6e737e34c2d87830fc1e2911516-6,4,1,4,3,3,1,0,0,100.0,75.0,25.0,150.71736770546153,188.88931285220667
30c5afdf80b24cee8935b756996efa66,static_object.traffic_sign,scene-fb64d203d417452f830ca73efed80c41-11,13,1,11,4,4,7,0,2,84.61538461538461,30.76923076923077,53.84615384615385,152.30887404994488,162.56064676880334
30dd7a4dc2284058832019e39e3578c5,vehicle.trailer,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,4,2,2,2,0,0,100.0,50.0,50.0,152.46192471769604,204.98433648037508
3113f2d907a84bca833d765995967d20,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,4,0,0,4,0,0,100.0,0.0,100.0,158.69558156898256,202.8063940757323
311abad016344200951eb5d5faa85f8d,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,2,1,2,0,0,2,0,0,100.0,0.0,100.0,150.40748635408409,154.4398085478885
31689291ce024754902a433d2e621515,static_object.traffic_sign,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,2,0,0,2,0,1,66.66666666666666,0.0,66.66666666666666,153.52541647595444,170.60243680687486
31a9e5e88272429d8a5eb77d03abdc35,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,4,0,0,4,0,0,100.0,0.0,100.0,154.38514466944832,205.97149924038177
320df5c85a774cb6b027042f5b283b66,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,0,0,3,0,0,100.0,0.0,100.0,190.11486398342083,207.90796842107582
324104d35aef4bf9b33b00be3717e0d2,vehicle.car,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,2,1,2,0,0,2,0,0,100.0,0.0,100.0,182.56710013119726,217.26664300855677
33299113abc348cdb0e4ec5ca2f6f39e,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,0,0,3,0,0,100.0,0.0,100.0,162.0262565587036,203.62014926352361
3414ee42a7bc4feca64fb9780789d612,vehicle.truck,scene-3195e3bfd1de4f9ba82f874790c7856c-15,4,1,4,1,1,3,0,0,100.0,25.0,75.0,157.4895846288994,223.4411317984915
3512d49930894345a5e38b4abd74cf0c,vehicle.car,scene-b201f6e737e34c2d87830fc1e2911516-6,2,1,0,0,0,0,0,2,0.0,0.0,0.0,157.5572977979277,170.99811213739747
35ff70879ef444f5922099da246b2de7,movable_object.trafficcone,scene-3195e3bfd1de4f9ba82f874790c7856c-15,3,1,2,0,0,2,0,1,66.66666666666666,0.0,66.66666666666666,157.6202259776507,192.66423814642766
370a3d4e19d644fb998732eb0f3ae101,static_object.traffic_sign,scene-3f542f89ec5241b6a4e30ca743adcf34-29,1,1,1,0,0,1,0,0,100.0,0.0,100.0,157.24229946431632,157.24229946431632
372868b24848447590a790847fda797b,static_object.traffic_sign,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,1,1,1,0,0,1,0,0,100.0,0.0,100.0,166.40421008641766,166.40421008641766
374fe2c555b941f093a7f86d89d240f5,vehicle.trailer,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,2,0,0,2,0,2,50.0,0.0,50.0,166.78540520881108,214.7213942914835
37cb9fcb6c4a4267b07e78651cf1d18b,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,2,1,2,0,0,2,0,0,100.0,0.0,100.0,165.91671529875657,195.39660835004705
3885c114b1de4ffbadc3fd9614496fee,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,3,1,3,0,0,3,0,0,100.0,0.0,100.0,157.31526648341185,208.8010610850386
3a459863bf47401db24707285faa6462,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,3,1,3,0,0,3,0,0,100.0,0.0,100.0,151.1726327348076,160.6420006437513
3a5385952680436c8b42fed00706b546,vehicle.trailer,scene-3f542f89ec5241b6a4e30ca743adcf34-29,7,1,7,0,0,7,0,0,100.0,0.0,100.0,157.331737481499,214.39162457462695
3acd5ebdc97a44f4a56fc71ef98c417f,vehicle.car,scene-b201f6e737e34c2d87830fc1e2911516-6,28,1,28,0,0,28,0,0,100.0,0.0,100.0,150.3339549726261,169.92147676872676
3b33968e84b24fcf8c94ee59a8310bf6,vehicle.trailer,scene-b13542304b244af585a646082c57a079-1,3,1,3,1,1,2,0,0,100.0,33.33333333333333,66.66666666666667,156.6481733080167,171.92002415898816
3b658c7da88840e3a66c2013f247c428,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,3,1,3,1,1,2,0,0,100.0,33.33333333333333,66.66666666666667,150.1363034332358,152.03551005858935
3db6dbc59fbe4a0c98fbeb5ab5dc96ac,human.pedestrian.adult,scene-23160c4bff134cdd86b96ee822b4aca9-14,1,1,1,0,0,1,0,0,100.0,0.0,100.0,151.83343151487963,151.83343151487963
3e036c3b997d493e9fba4fb90744a482,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,2,1,2,0,0,2,0,0,100.0,0.0,100.0,150.52849815600038,159.23354213099253
3e3506da16d44326a3cb4741c7d478b6,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,2,1,2,0,0,2,0,0,100.0,0.0,100.0,182.07678884280048,202.4946109115412
3e994f2fabd34f9abdd08591974193eb,vehicle.truck,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,1,1,2,0,0,100.0,33.33333333333333,66.66666666666667,154.4652492112248,193.05879008727567
40390766c45b4e1dad5329b1ff097a7e,static_object.traffic_sign,scene-23160c4bff134cdd86b96ee822b4aca9-14,3,1,3,0,0,3,0,0,100.0,0.0,100.0,150.9373991773608,158.33417084757482
407f43648c154a2a88368383465ec3ac,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,3,0,0,3,0,1,75.0,0.0,75.0,165.72000970131248,207.78077797072274
410e07840d3f4a2a8ce81e25bf88d926,vehicle.car,scene-23160c4bff134cdd86b96ee822b4aca9-14,1,1,1,0,0,1,0,0,100.0,0.0,100.0,150.18171360705762,150.18171360705762
41482361b1144560af8fc35e8ef4edbc,static_object.traffic_sign,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,11,1,11,3,3,8,0,0,100.0,27.27272727272727,72.72727272727273,155.9019737316083,218.84622026616856
41dc0c7c8d7a4fc591920cb25767e6a5,vehicle.car,scene-fb64d203d417452f830ca73efed80c41-11,6,1,3,0,0,3,0,3,50.0,0.0,50.0,166.86115214570808,214.22715535196252
42ef0e8fd88d46f0a1d5ee14d35009c1,vehicle.car,scene-a6a87db5125846bda72ccfc9931ee153-11,3,1,2,1,1,1,0,1,66.66666666666666,33.33333333333333,33.33333333333333,150.75739767996126,168.01165580016558
43763abd93304e9fbee469b184111c57,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,4,1,1,0,0,1,0,3,25.0,0.0,25.0,183.52778015395106,210.13878226538878
43a123807d0a4110a4d123761decd322,vehicle.trailer,scene-3195e3bfd1de4f9ba82f874790c7856c-15,3,1,3,2,2,1,0,0,100.0,66.66666666666666,33.333333333333336,150.13335147530887,197.69045500350484
43dfbab93b254d55aa616722aa7ea56a,movable_object.barrier,scene-3f542f89ec5241b6a4e30ca743adcf34-29,2,1,2,0,0,2,0,0,100.0,0.0,100.0,169.16267041698882,177.34943401028409
44ba1cb3bef3404ca5155be712ef755b,vehicle.trailer,scene-3f542f89ec5241b6a4e30ca743adcf34-29,6,1,6,0,0,6,0,0,100.0,0.0,100.0,153.2612487235581,206.11779716137386
452f9476651547a8be25ea962e9f4b04,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,5,1,4,0,0,4,0,1,80.0,0.0,80.0,159.95780295414565,197.5220467417299
45dc15dc304d4a12b585c2cf2d045d0d,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,0,0,3,0,0,100.0,0.0,100.0,162.35358759782963,179.76469641635447
45ee9b4671f04495becbd43933ed870a,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,4,1,4,1,1,3,0,0,100.0,25.0,75.0,170.3274740479071,200.66021086978742
468ac17c10ef4e36bfb1ff4d5531bfc1,vehicle.car,scene-b201f6e737e34c2d87830fc1e2911516-6,5,1,4,0,0,4,0,1,80.0,0.0,80.0,154.42530130485443,205.04249709827073
46e34295334e43c6b0c9e538ebaa0b81,vehicle.car,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,4,1,3,0,0,3,0,1,75.0,0.0,75.0,162.47435614231463,208.84272520190646
48a23717d76e49e8b7274e9604b5d2cd,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,0,0,3,0,0,100.0,0.0,100.0,162.9435337009727,216.06460971158404
48ada87c77fa4b42b98728cdea199f38,static_object.traffic_sign,scene-3f542f89ec5241b6a4e30ca743adcf34-29,5,1,5,0,0,5,0,0,100.0,0.0,100.0,152.2275489172,187.27241255943682
48d39ac202d54ff7b653777736e99a38,human.pedestrian.adult,scene-23160c4bff134cdd86b96ee822b4aca9-14,4,1,4,0,0,4,0,0,100.0,0.0,100.0,153.5247027102608,164.90735528161116
490fada014a94a419c11172e15b6d5b6,movable_object.trafficcone,scene-3f542f89ec5241b6a4e30ca743adcf34-29,3,1,3,0,0,3,0,0,100.0,0.0,100.0,150.4090177666509,168.15931047770349
49bce9033366454b9c8a7bbce386fbc1,vehicle.car,scene-3f542f89ec5241b6a4e30ca743adcf34-29,7,1,4,0,0,4,0,3,57.14285714285714,0.0,57.14285714285714,150.93656193825083,173.3310374138852
49cf6c8794c14e37bb76abbf47cba259,vehicle.truck,scene-b201f6e737e34c2d87830fc1e2911516-6,5,1,3,2,2,1,0,2,60.0,40.0,19.999999999999996,162.9126586899401,220.47222600401776
4a3e568a1ef44654a86be4ea94a7155a,vehicle.truck,scene-b201f6e737e34c2d87830fc1e2911516-6,4,1,4,0,0,4,0,0,100.0,0.0,100.0,157.96520805626656,194.32870097128554
4a5ba589d98748228371a08f18bf142f,static_object.traffic_sign,scene-a6a87db5125846bda72ccfc9931ee153-11,5,1,5,0,0,5,0,0,100.0,0.0,100.0,151.65691174847865,167.1941468762767
4a72872255f24dad885380432b1401c5,vehicle.car,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,22,1,16,0,0,16,0,6,72.72727272727273,0.0,72.72727272727273,185.83679286607784,212.60163716564153
4ad58bbc56d54834a1248b0df6647a85,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,2,1,2,0,0,2,0,0,100.0,0.0,100.0,151.94198482846033,154.7629955730528
4b4a2bc5029548efa8099140edf5f6af,vehicle.car,scene-b201f6e737e34c2d87830fc1e2911516-6,2,1,2,0,0,2,0,0,100.0,0.0,100.0,155.69892779783711,171.5974333774531
4bfc038df3774b7aa7bac6ead4afddf6,static_object.traffic_sign,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,6,1,6,1,1,5,0,0,100.0,16.666666666666664,83.33333333333334,156.09027599447785,218.2048120677402
4c5e34d5fe824137a016553d8e4e9b4a,vehicle.car,scene-3195e3bfd1de4f9ba82f874790c7856c-15,4,1,4,1,1,3,0,0,100.0,25.0,75.0,152.86048405456413,222.60487577495095
