cohort,margin_m,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m
within_150_180,0,3,1258,403,9,927,46,45,882,1,330,73.68839427662957,3.6565977742448332,70.03179650238474,150.00948473263907,179.9784108450282
within_150_180,0,5,1258,403,9,724,10,10,714,0,534,57.5516693163752,0.7949125596184419,56.75675675675676,150.00948473263907,179.9784108450282
forward_30deg_150_180,0,1,651,228,8,608,181,179,429,2,41,93.394777265745,27.80337941628264,65.59139784946237,150.06673187548574,179.9784108450282
forward_30deg_150_180,0,3,651,228,8,508,24,23,485,1,142,78.03379416282642,3.686635944700461,74.34715821812597,150.06673187548574,179.9784108450282
forward_30deg_150_180,0,5,651,228,8,433,3,3,430,0,218,66.51305683563749,0.4608294930875576,66.05222734254993,150.06673187548574,179.9784108450282
official_mini_val,0,1,311,60,1,293,52,52,241,0,18,94.21221864951768,16.720257234726688,77.491961414791,150.00948473263907,229.4177589511211
official_mini_val,0,3,311,60,1,234,12,12,222,0,77,75.2411575562701,3.858520900321544,71.38263665594855,150.00948473263907,229.4177589511211
official_mini_val,0,5,311,60,1,193,3,3,190,0,118,62.057877813504824,0.964630225080386,61.09324758842444,150.00948473263907,229.4177589511211
all,0.5,1,2309,436,9,2283,646,646,1637,0,26,98.87397141619749,27.97747942832395,70.89649198787355,150.00948473263907,229.4177589511211
all,0.5,3,2309,436,9,1878,162,161,1717,1,430,81.33391078388912,7.016024252923343,74.31788653096578,150.00948473263907,229.4177589511211
all,0.5,5,2309,436,9,1517,45,45,1472,0,792,65.6994369857081,1.9488956258120398,63.75054135989606,150.00948473263907,229.4177589511211
vehicles,0.5,1,1698,310,9,1673,500,500,1173,0,25,98.52767962308599,29.44640753828033,69.08127208480566,150.0106029512012,229.4177589511211
vehicles,0.5,3,1698,310,9,1364,117,116,1248,1,333,80.32979976442874,6.890459363957597,73.43934040047114,150.0106029512012,229.4177589511211
vehicles,0.5,5,1698,310,9,1080,34,34,1046,0,618,63.60424028268551,2.0023557126030624,61.60188457008245,150.0106029512012,229.4177589511211
cars,0.5,1,1133,214,7,1109,260,260,849,0,24,97.88172992056488,22.94792586054722,74.93380406001766,150.05681029796702,226.84401081084647
cars,0.5,3,1133,214,7,853,34,34,819,0,280,75.28684907325685,3.000882612533098,72.28596646072376,150.05681029796702,226.84401081084647
cars,0.5,5,1133,214,7,625,4,4,621,0,508,55.16328331862312,0.353045013239188,54.81023830538394,150.05681029796702,226.84401081084647
trucks,0.5,1,347,47,5,346,152,152,194,0,1,99.71181556195965,43.804034582132566,55.90778097982708,150.1505883465511,229.4177589511211
trucks,0.5,3,347,47,5,320,47,46,274,1,26,92.21902017291066,13.544668587896252,78.6743515850144,150.1505883465511,229.4177589511211
trucks,0.5,5,347,47,5,287,13,13,274,0,60,82.70893371757924,3.7463976945244957,78.96253602305475,150.1505883465511,229.4177589511211
forward_30deg,0.5,1,1237,248,8,1226,444,444,782,0,11,99.11075181891673,35.89329021827001,63.217461600646715,150.06673187548574,229.4177589511211
forward_30deg,0.5,3,1237,248,8,1048,105,105,943,0,189,84.7210994341148,8.488278092158447,76.23282134195635,150.06673187548574,229.4177589511211
forward_30deg,0.5,5,1237,248,8,901,28,28,873,0,336,72.83751010509296,2.263540824575586,70.57396928051737,150.06673187548574,229.4177589511211
front_180deg,0.5,1,1311,263,8,1300,476,476,824,0,11,99.16094584286805,36.30816170861937,62.852784134248665,150.06673187548574,229.4177589511211
front_180deg,0.5,3,1311,263,8,1108,111,111,997,0,203,84.51563691838292,8.466819221967963,76.04881769641496,150.06673187548574,229.4177589511211
front_180deg,0.5,5,1311,263,8,950,29,29,921,0,361,72.46376811594203,2.212051868802441,70.25171624713958,150.06673187548574,229.4177589511211
rear_180deg,0.5,1,998,242,8,983,170,170,813,0,15,98.49699398797596,17.034068136272545,81.4629258517034,150.00948473263907,221.18164881978126
rear_180deg,0.5,3,998,242,8,770,51,50,720,1,227,77.15430861723446,5.110220440881764,72.0440881763527,150.00948473263907,221.18164881978126
rear_180deg,0.5,5,998,242,8,567,16,16,551,0,431,56.813627254509015,1.6032064128256511,55.21042084168336,150.00948473263907,221.18164881978126
within_150_180,0.5,1,1258,403,9,1255,509,509,746,0,3,99.76152623211448,40.4610492845787,59.30047694753577,150.00948473263907,179.9784108450282
within_150_180,0.5,3,1258,403,9,1072,133,132,940,1,185,85.21462639109699,10.572337042925279,74.6422893481717,150.00948473263907,179.9784108450282
within_150_180,0.5,5,1258,403,9,890,36,36,854,0,368,70.74721780604133,2.8616852146263914,67.88553259141496,150.00948473263907,179.9784108450282
forward_30deg_150_180,0.5,1,651,228,8,650,342,342,308,0,1,99.84639016897081,52.53456221198156,47.31182795698925,150.06673187548574,179.9784108450282
forward_30deg_150_180,0.5,3,651,228,8,587,84,84,503,0,64,90.1689708141321,12.903225806451612,77.2657450076805,150.06673187548574,179.9784108450282
forward_30deg_150_180,0.5,5,651,228,8,524,22,22,502,0,127,80.4915514592934,3.3794162826420893,77.11213517665131,150.06673187548574,179.9784108450282
official_mini_val,0.5,1,311,60,1,307,85,85,222,0,4,98.71382636655949,27.331189710610932,71.38263665594855,150.00948473263907,229.4177589511211
official_mini_val,0.5,3,311,60,1,266,31,31,235,0,45,85.53054662379421,9.967845659163988,75.56270096463022,150.00948473263907,229.4177589511211
official_mini_val,0.5,5,311,60,1,237,10,10,227,0,74,76.20578778135048,3.215434083601286,72.9903536977492,150.00948473263907,229.4177589511211
