scope,sample_count,sample_index,scene_name,sample_token,modality,channel,band_label,band_lower_m,band_upper_m,point_count,denominator_points,denominator_scope,proportion_of_denominator,max_observed_range_m,coordinate_frame
per_sample,1,1,scene-0044384af3d8494e913fb8b14915239e-3,32d2bcf46e734dffb14fe2e0a823d059,radar,RADAR_LEFT_FRONT,0-50 m,0,50,192,800,all returns in this sample and modality,0.240000,147.57,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,16653,16657,all returns in this sample and modality,0.999760,140.25,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,3,16657,all returns in this sample and modality,0.000180,140.25,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,1,16657,all returns in this sample and modality,0.000060,140.25,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,16657,all returns in this sample and modality,0.000000,140.25,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,80ad351eb99e4b28bfbec1105b6ac8eb,lidar,LIDAR_TOP_FRONT,> 400 m,400,inf,0,16657,all returns in this sample and modality,0.000000,140.25,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,radar,RADAR_LEFT_FRONT,0-50 m,0,50,131,488,all returns in this sample and modality,0.268443,188.28,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,radar,RADAR_LEFT_FRONT,50-100 m,50,100,194,488,all returns in this sample and modality,0.397541,188.28,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,radar,RADAR_LEFT_FRONT,100-150 m,100,150,105,488,all returns in this sample and modality,0.215164,188.28,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,radar,RADAR_LEFT_FRONT,150-400 m,150,400,58,488,all returns in this sample and modality,0.118852,188.28,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,488,all returns in this sample and modality,0.000000,188.28,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,16065,16091,all returns in this sample and modality,0.998384,133.24,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,16,16091,all returns in this sample and modality,0.000994,133.24,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,10,16091,all returns in this sample and modality,0.000621,133.24,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,16091,all returns in this sample and modality,0.000000,133.24,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,3,scene-23160c4bff134cdd86b96ee822b4aca9-14,1eb6c0c7adad4cf29e8da13dcf8ef16b,lidar,LIDAR_TOP_FRONT,> 400 m,400,inf,0,16091,all returns in this sample and modality,0.000000,133.24,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,radar,RADAR_LEFT_FRONT,0-50 m,0,50,276,612,all returns in this sample and modality,0.450980,189.42,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,radar,RADAR_LEFT_FRONT,50-100 m,50,100,196,612,all returns in this sample and modality,0.320261,189.42,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,radar,RADAR_LEFT_FRONT,100-150 m,100,150,99,612,all returns in this sample and modality,0.161765,189.42,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,radar,RADAR_LEFT_FRONT,150-400 m,150,400,41,612,all returns in this sample and modality,0.066993,189.42,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,612,all returns in this sample and modality,0.000000,189.42,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,17458,17458,all returns in this sample and modality,1.000000,36.33,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,0,17458,all returns in this sample and modality,0.000000,36.33,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,0,17458,all returns in this sample and modality,0.000000,36.33,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,17458,all returns in this sample and modality,0.000000,36.33,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,4,scene-3195e3bfd1de4f9ba82f874790c7856c-15,454fa18d64d94009914137ce901c8e7c,lidar,LIDAR_TOP_FRONT,> 400 m,400,inf,0,17458,all returns in this sample and modality,0.000000,36.33,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,radar,RADAR_LEFT_FRONT,0-50 m,0,50,117,503,all returns in this sample and modality,0.232604,189.46,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,radar,RADAR_LEFT_FRONT,50-100 m,50,100,159,503,all returns in this sample and modality,0.316103,189.46,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,radar,RADAR_LEFT_FRONT,100-150 m,100,150,169,503,all returns in this sample and modality,0.335984,189.46,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,radar,RADAR_LEFT_FRONT,150-400 m,150,400,58,503,all returns in this sample and modality,0.115308,189.46,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,503,all returns in this sample and modality,0.000000,189.46,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,18217,18225,all returns in this sample and modality,0.999561,69.09,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,8,18225,all returns in this sample and modality,0.000439,69.09,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,0,18225,all returns in this sample and modality,0.000000,69.09,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,18225,all returns in this sample and modality,0.000000,69.09,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,c697554e47f54d808bc04430ee0c096a,lidar,LIDAR_TOP_FRONT,> 400 m,400,inf,0,18225,all returns in this sample and modality,0.000000,69.09,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,radar,RADAR_LEFT_FRONT,0-50 m,0,50,54,136,all returns in this sample and modality,0.397059,182.06,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,radar,RADAR_LEFT_FRONT,50-100 m,50,100,51,136,all returns in this sample and modality,0.375000,182.06,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,radar,RADAR_LEFT_FRONT,100-150 m,100,150,22,136,all returns in this sample and modality,0.161765,182.06,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,radar,RADAR_LEFT_FRONT,150-400 m,150,400,9,136,all returns in this sample and modality,0.066176,182.06,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,136,all returns in this sample and modality,0.000000,182.06,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,17923,17923,all returns in this sample and modality,1.000000,33.15,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,0,17923,all returns in this sample and modality,0.000000,33.15,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,0,17923,all returns in this sample and modality,0.000000,33.15,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,17923,all returns in this sample and modality,0.000000,33.15,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,6,scene-6be74229febb4aad9e7ae1a37217b231-4,a5d7d3dc07d345cfb5649e4fac1cdd87,lidar,LIDAR_TOP_FRONT,> 400 m,400,inf,0,17923,all returns in this sample and modality,0.000000,33.15,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,radar,RADAR_LEFT_FRONT,0-50 m,0,50,143,397,all returns in this sample and modality,0.360202,187.67,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,radar,RADAR_LEFT_FRONT,50-100 m,50,100,166,397,all returns in this sample and modality,0.418136,187.67,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,radar,RADAR_LEFT_FRONT,100-150 m,100,150,58,397,all returns in this sample and modality,0.146096,187.67,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,radar,RADAR_LEFT_FRONT,150-400 m,150,400,30,397,all returns in this sample and modality,0.075567,187.67,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,397,all returns in this sample and modality,0.000000,187.67,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,17704,17722,all returns in this sample and modality,0.998984,60.00,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,18,17722,all returns in this sample and modality,0.001016,60.00,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,0,17722,all returns in this sample and modality,0.000000,60.00,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,17722,all returns in this sample and modality,0.000000,60.00,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,7,scene-a6a87db5125846bda72ccfc9931ee153-11,fa2acde00fe3439786ccd631c78fd641,lidar,LIDAR_TOP_FRONT,> 400 m,400,inf,0,17722,all returns in this sample and modality,0.000000,60.00,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,radar,RADAR_LEFT_FRONT,0-50 m,0,50,101,408,all returns in this sample and modality,0.247549,189.12,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,radar,RADAR_LEFT_FRONT,50-100 m,50,100,158,408,all returns in this sample and modality,0.387255,189.12,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,radar,RADAR_LEFT_FRONT,100-150 m,100,150,104,408,all returns in this sample and modality,0.254902,189.12,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,radar,RADAR_LEFT_FRONT,150-400 m,150,400,45,408,all returns in this sample and modality,0.110294,189.12,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,408,all returns in this sample and modality,0.000000,189.12,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,10298,10301,all returns in this sample and modality,0.999709,62.26,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,3,10301,all returns in this sample and modality,0.000291,62.26,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,0,10301,all returns in this sample and modality,0.000000,62.26,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,10301,all returns in this sample and modality,0.000000,62.26,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,8,scene-b13542304b244af585a646082c57a079-1,9d75f3c77f384353b5477c981fb46011,lidar,LIDAR_TOP_FRONT,> 400 m,400,inf,0,10301,all returns in this sample and modality,0.000000,62.26,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,radar,RADAR_LEFT_FRONT,0-50 m,0,50,310,416,all returns in this sample and modality,0.745192,186.82,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,radar,RADAR_LEFT_FRONT,50-100 m,50,100,84,416,all returns in this sample and modality,0.201923,186.82,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,radar,RADAR_LEFT_FRONT,100-150 m,100,150,10,416,all returns in this sample and modality,0.024038,186.82,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,radar,RADAR_LEFT_FRONT,150-400 m,150,400,12,416,all returns in this sample and modality,0.028846,186.82,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,416,all returns in this sample and modality,0.000000,186.82,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,15173,15173,all returns in this sample and modality,1.000000,41.55,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,0,15173,all returns in this sample and modality,0.000000,41.55,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,0,15173,all returns in this sample and modality,0.000000,41.55,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,15173,all returns in this sample and modality,0.000000,41.55,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,9,scene-b201f6e737e34c2d87830fc1e2911516-6,e9f4a50a1b0a41a492edf7a4870f594c,lidar,LIDAR_TOP_FRONT,> 400 m,400,inf,0,15173,all returns in this sample and modality,0.000000,41.55,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,10,scene-fb64d203d417452f830ca73efed80c41-11,e43ae3c9b670423d89fe92170f0c87e9,radar,RADAR_LEFT_FRONT,0-50 m,0,50,132,277,all returns in this sample and modality,0.476534,180.72,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,10,scene-fb64d203d417452f830ca73efed80c41-11,e43ae3c9b670423d89fe92170f0c87e9,radar,RADAR_LEFT_FRONT,50-100 m,50,100,63,277,all returns in this sample and modality,0.227437,180.72,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,10,scene-fb64d203d417452f830ca73efed80c41-11,e43ae3c9b670423d89fe92170f0c87e9,radar,RADAR_LEFT_FRONT,100-150 m,100,150,59,277,all returns in this sample and modality,0.212996,180.72,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,10,scene-fb64d203d417452f830ca73efed80c41-11,e43ae3c9b670423d89fe92170f0c87e9,radar,RADAR_LEFT_FRONT,150-400 m,150,400,23,277,all returns in this sample and modality,0.083032,180.72,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,10,scene-fb64d203d417452f830ca73efed80c41-11,e43ae3c9b670423d89fe92170f0c87e9,radar,RADAR_LEFT_FRONT,> 400 m,400,inf,0,277,all returns in this sample and modality,0.000000,180.72,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,10,scene-fb64d203d417452f830ca73efed80c41-11,e43ae3c9b670423d89fe92170f0c87e9,lidar,LIDAR_TOP_FRONT,0-50 m,0,50,18852,18858,all returns in this sample and modality,0.999682,125.75,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,10,scene-fb64d203d417452f830ca73efed80c41-11,e43ae3c9b670423d89fe92170f0c87e9,lidar,LIDAR_TOP_FRONT,50-100 m,50,100,2,18858,all returns in this sample and modality,0.000106,125.75,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,10,scene-fb64d203d417452f830ca73efed80c41-11,e43ae3c9b670423d89fe92170f0c87e9,lidar,LIDAR_TOP_FRONT,100-150 m,100,150,4,18858,all returns in this sample and modality,0.000212,125.75,sensor (per-sensor frame as stored; no ego/global transform applied)
per_sample,1,10,scene-fb64d203d417452f830ca73efed80c41-11,e43ae3c9b670423d89fe92170f0c87e9,lidar,LIDAR_TOP_FRONT,150-400 m,150,400,0,18858,all returns in this sample and modality,0.000000,125.75,sensor (per-sensor frame as stored; no ego/global transform applied)
