dataset,variant,margin_m,band_m,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent,lidar_unsupported,lidar_missing_percent,radar_unsupported,radar_missing_percent,sparse_cohort
TruckScenes,paired,0.5,75-100,3456,642,10,3456,2219,2219,1237,0,0,100.0,64.20717592592592,35.79282407407407,75.00079581872598,99.99549439560867,94.44444444444444,88.04976851851852,10.0,23.0,51.0,117.0,100.0,26.591435185185187,11.805555555555555,0.0,1.0,3.0,5.0,64.50580119075599,0,0.0,1237,35.792824074074076,False
TruckScenes,paired,0.5,100-150,4332,613,9,4326,2106,2104,2222,2,4,99.86149584487535,48.61495844875346,51.24653739612188,100.00365658377392,149.99902983471054,88.73499538319483,78.00092336103417,5.0,11.0,26.0,57.0,99.91428034801991,14.265927977839334,5.447830101569714,0.0,0.0,2.0,3.0,46.142332640967425,6,0.1385041551246502,2226,51.38504155124654,False
TruckScenes,paired,0.5,150-200,1878,427,9,1865,645,645,1220,0,13,99.30777422790203,34.34504792332269,64.96272630457933,150.00948473263907,199.98866853976983,83.38658146964856,68.47710330138446,4.0,8.0,16.0,40.0,99.04791021959547,8.626198083067091,2.3961661341853033,0.0,0.0,1.0,2.0,29.21440731876597,13,0.6922257720979701,1233,65.65495207667732,False
TruckScenes,paired,0.5,200-250,431,216,8,418,1,1,417,0,13,96.98375870069606,0.23201856148491878,96.75174013921114,200.00147325915378,229.4177589511211,72.38979118329466,53.596287703016245,2.0,5.0,11.0,28.0,97.80092592592592,0.0,0.0,0.0,0.0,0.0,0.0,0.23148148148148145,13,3.0162412993039425,430,99.76798143851508,False
TruckDrive,static,0,0-25,502,78,5,467,381,376,91,5,30,93.02788844621513,75.89641434262948,17.131474103585653,4.0667924260772725,24.888872346585853,92.03187250996015,91.23505976095618,67.0,3555.0,13445.25,24837.10000000003,82.7593430534607,66.93227091633466,63.34661354581673,1.0,10.0,20.75,32.900000000000034,55.79273504273504,35,6.97211155378487,121,24.103585657370516,False
TruckDrive,static,0,25-50,841,138,5,754,584,582,172,2,85,89.65517241379311,69.44114149821641,20.214030915576696,25.03254526827181,49.97410578532012,85.4934601664685,83.115338882283,15.0,642.0,2850.0,7873.0,83.95052473763118,62.30677764565993,55.05350772889417,0.0,6.0,13.0,20.0,54.30604142373259,87,10.34482758620689,257,30.55885850178359,False
TruckDrive,static,0,50-75,366,123,5,263,161,156,107,5,98,71.85792349726776,43.98907103825137,27.868852459016395,50.01617020648392,74.93828019635588,59.56284153005464,52.18579234972678,0.0,5.0,66.5,212.5,73.46317639000567,35.24590163934426,30.87431693989071,0.0,0.0,8.0,21.0,46.09078590785908,103,28.142076502732237,205,56.01092896174863,False
TruckDrive,static,0,75-100,367,121,5,242,151,139,103,12,113,65.9400544959128,41.14441416893733,24.79564032697547,75.24546062232928,99.96733023075379,49.863760217983646,43.869209809264305,0.0,2.0,34.5,144.20000000000044,67.56377231583843,30.517711171662125,25.340599455040874,0.0,0.0,5.0,17.0,43.39782118707739,125,34.059945504087196,216,58.85558583106267,False
TruckDrive,static,0,100-150,636,127,5,354,277,253,101,24,258,55.660377358490564,43.55345911949686,12.106918238993709,100.01457537159469,149.85105342932135,44.81132075471698,40.25157232704403,0.0,1.0,30.0,119.5,53.64579427571553,30.660377358490564,20.59748427672956,0.0,0.0,4.0,10.0,41.314841127315226,282,44.339622641509436,359,56.44654088050314,False
TruckDrive,static,0,150-200,551,130,5,270,197,167,103,30,251,49.00181488203267,35.75317604355717,13.248638838475502,150.12315334501665,199.9727196236663,40.83484573502722,37.38656987295826,0.0,0.0,14.5,58.0,49.18735186382245,19.96370235934664,13.430127041742287,0.0,0.0,2.0,6.0,33.06448160079977,281,50.99818511796733,354,64.24682395644282,False
TruckDrive,static,0,200-250,387,112,5,168,102,85,83,17,202,43.41085271317829,26.356589147286826,17.05426356589147,200.0481951240057,249.9157658332935,35.65891472868217,31.782945736434108,0.0,0.0,8.0,31.400000000000034,41.62856488749346,10.077519379844961,4.651162790697675,0.0,0.0,1.0,2.400000000000034,30.315071832928975,219,56.58914728682171,285,73.64341085271317,False
TruckDrive,static,0,250-300,325,93,5,154,66,58,96,8,163,47.38461538461539,20.307692307692307,27.076923076923077,250.0497157484766,299.80861071369907,42.15384615384615,37.230769230769226,0.0,0.0,9.0,22.0,41.339894785524336,3.076923076923077,1.8461538461538463,0.0,0.0,0.0,1.0,20.839836975372876,171,52.61538461538461,259,79.6923076923077,False
TruckDrive,static,0,300-400,331,75,5,139,21,16,123,5,187,41.99395770392749,6.3444108761329305,35.649546827794566,301.03319480211303,397.6820703976072,36.85800604229607,32.62839879154079,0.0,0.0,7.0,27.0,31.355417529330577,1.812688821752266,0.906344410876133,0.0,0.0,0.0,0.0,9.3015873015873,192,58.00604229607251,310,93.65558912386707,False
TruckDrive,static,0.5,0-25,502,78,5,491,437,434,57,3,8,97.80876494023904,87.05179282868527,10.756972111553786,4.0667924260772725,24.888872346585853,97.60956175298804,97.41035856573706,797.5,5691.0,20311.25,35746.6,95.58404558404558,74.7011952191235,68.92430278884463,2.0,15.0,28.0,41.900000000000034,77.01780626780626,11,2.191235059760956,65,12.948207171314735,False
TruckDrive,static,0.5,25-50,841,138,5,801,742,729,72,13,27,95.24375743162902,88.2282996432818,7.015457788347213,25.03254526827181,49.97410578532012,94.41141498216409,94.17360285374554,227.0,1823.0,4070.0,12297.0,91.97651174412792,70.74910820451844,64.3281807372176,2.0,10.0,20.0,29.0,83.14894140231472,40,4.756242568370979,99,11.771700356718199,False
TruckDrive,static,0.5,50-75,366,123,5,327,280,272,55,8,31,89.34426229508196,76.50273224043715,12.841530054644812,50.01617020648392,74.93828019635588,87.43169398907104,86.0655737704918,16.25,79.0,254.75,1320.0,91.58536585365854,47.81420765027322,39.89071038251366,1.0,2.0,15.0,35.0,78.68861490812712,39,10.655737704918039,86,23.497267759562845,False
TruckDrive,static,0.5,75-100,367,121,5,335,265,252,83,13,19,91.28065395095368,72.20708446866485,19.073569482288832,75.24546062232928,99.96733023075379,85.83106267029973,82.01634877384197,9.0,38.0,110.5,647.4000000000021,93.25068870523415,44.4141689373297,34.332425068119896,0.0,2.0,9.0,26.400000000000034,74.96243425995492,32,8.719346049046322,102,27.792915531335154,False
TruckDrive,static,0.5,100-150,636,127,5,565,404,380,185,24,47,88.83647798742138,63.52201257861635,25.31446540880503,100.01457537159469,149.85105342932135,82.38993710691824,77.35849056603774,5.0,22.0,72.25,223.0,88.43644544431946,42.45283018867924,35.84905660377358,0.0,1.0,7.25,16.0,59.836895388076485,71,11.163522012578625,232,36.47798742138365,False
TruckDrive,static,0.5,150-200,551,130,5,461,287,260,201,27,63,83.66606170598911,52.08711433756806,31.57894736842105,150.12315334501665,199.9727196236663,73.32123411978222,67.69509981851179,2.0,10.0,29.0,129.0,84.77468936292465,31.397459165154263,23.593466424682397,0.0,1.0,4.0,11.0,50.47375952353327,90,16.333938294010892,264,47.91288566243194,False
TruckDrive,static,0.5,200-250,387,112,5,296,162,141,155,21,70,76.48578811369508,41.86046511627907,34.62532299741601,200.0481951240057,249.9157658332935,66.9250645994832,60.46511627906976,1.0,7.0,22.0,64.80000000000007,74.73533163265306,17.05426356589147,9.043927648578812,0.0,0.0,2.0,4.0,42.335045906474484,91,23.51421188630492,225,58.13953488372093,False
TruckDrive,static,0.5,250-300,325,93,5,249,106,98,151,8,68,76.61538461538461,32.61538461538461,44.00000000000001,250.0497157484766,299.80861071369907,69.23076923076923,61.53846153846154,1.0,7.0,21.0,48.60000000000002,73.71616994405757,8.923076923076923,2.4615384615384617,0.0,0.0,1.0,2.0,31.237281766678226,76,23.384615384615387,219,67.38461538461539,False
TruckDrive,static,0.5,300-400,331,75,5,230,33,25,205,8,93,69.48640483383686,9.969788519637463,59.516616314199396,301.03319480211303,397.6820703976072,59.21450151057401,53.776435045317214,0.0,6.0,26.0,117.0,60.87853692201518,2.1148036253776437,1.2084592145015105,0.0,0.0,0.0,0.0,13.314285714285715,101,30.513595166163142,298,90.03021148036254,False
TruckDrive,aligned,0,0-25,502,78,5,481,401,397,84,4,17,95.81673306772909,79.8804780876494,15.936254980079688,4.0667924260772725,24.888872346585853,95.81673306772909,95.2191235059761,247.25,3754.0,14395.25,25586.600000000006,88.31908831908831,68.12749003984064,63.147410358565736,1.0,9.0,20.0,33.0,65.7826797385621,21,4.183266932270911,101,20.119521912350606,False
TruckDrive,aligned,0,25-50,841,138,5,802,635,630,172,5,34,95.36266349583829,75.50535077288941,19.857312722948873,25.03254526827181,49.97410578532012,94.53032104637337,93.46016646848989,92.0,974.0,3249.0,9030.0,92.1447609528569,62.30677764565993,55.172413793103445,1.0,6.0,13.0,20.0,64.9904214559387,39,4.637336504161709,206,24.494649227110585,False
TruckDrive,aligned,0,50-75,366,123,5,315,169,164,151,5,46,86.0655737704918,46.17486338797814,39.89071038251365,50.01617020648392,74.93828019635588,81.4207650273224,78.14207650273224,7.0,51.5,184.75,1094.5,88.33080198933858,35.51912568306011,30.601092896174865,0.0,0.0,8.0,20.5,49.741579558652724,51,13.934426229508205,197,53.82513661202186,False
TruckDrive,aligned,0,75-100,367,121,5,306,163,152,154,11,50,83.37874659400545,44.4141689373297,38.96457765667575,75.24546062232928,99.96733023075379,77.3841961852861,74.38692098092643,4.0,45.0,118.0,608.2000000000014,85.94907158956747,30.517711171662125,25.340599455040874,0.0,0.0,5.0,16.0,48.13512933347644,61,16.62125340599455,204,55.5858310626703,False
TruckDrive,aligned,0,100-150,636,127,5,555,287,274,281,13,68,87.26415094339622,45.125786163522015,42.13836477987421,100.01457537159469,149.85105342932135,81.60377358490565,77.51572327044025,5.0,31.0,89.0,264.5,85.91863517060368,29.245283018867923,20.754716981132077,0.0,0.0,4.0,10.0,43.11555353826385,81,12.735849056603783,349,54.874213836477985,False
TruckDrive,aligned,0,150-200,551,130,5,473,201,176,297,25,53,85.84392014519057,36.47912885662432,49.364791288566245,150.12315334501665,199.9727196236663,80.21778584392014,73.86569872958258,4.0,14.0,41.0,184.0,87.16849816849818,19.600725952813068,13.793103448275861,0.0,0.0,2.0,6.0,35.22027596982944,78,14.156079854809434,350,63.52087114337568,False
TruckDrive,aligned,0,200-250,387,112,5,303,96,85,218,11,73,78.29457364341084,24.8062015503876,53.48837209302325,200.0481951240057,249.9157658332935,70.80103359173127,62.532299741602074,1.0,9.0,31.5,79.40000000000003,73.73937074829932,9.560723514211885,4.1343669250646,0.0,0.0,0.0,2.0,30.278055278055277,84,21.705426356589157,291,75.1937984496124,False
TruckDrive,aligned,0,250-300,325,93,5,258,65,56,202,9,58,79.38461538461539,20.0,59.384615384615394,250.0497157484766,299.80861071369907,71.38461538461539,63.69230769230769,2.0,8.0,27.0,54.0,74.55708530110194,2.769230769230769,1.8461538461538463,0.0,0.0,0.0,1.0,23.40371719273904,67,20.615384615384613,260,80.0,False
TruckDrive,aligned,0,300-400,331,75,5,252,23,18,234,5,74,76.13293051359517,6.948640483383686,69.18429003021149,301.03319480211303,397.6820703976072,66.46525679758308,59.516616314199396,1.0,8.0,29.0,133.0,67.35873015873017,1.5105740181268883,0.6042296072507553,0.0,0.0,0.0,0.0,10.19047619047619,79,23.86706948640483,308,93.05135951661632,False
TruckDrive,aligned,0.5,0-25,502,78,5,496,445,444,52,1,5,98.80478087649402,88.64541832669323,10.159362549800798,4.0667924260772725,24.888872346585853,98.60557768924303,98.40637450199203,835.25,5746.5,20830.75,36288.900000000016,96.86609686609687,76.29482071713147,68.92430278884463,3.0,15.0,28.75,41.900000000000034,80.47222222222223,6,1.1952191235059786,57,11.354581673306768,False
TruckDrive,aligned,0.5,25-50,841,138,5,813,758,751,62,7,21,96.6706302021403,90.1307966706302,6.539833531510109,25.03254526827181,49.97410578532012,96.43281807372176,96.19500594530321,314.0,1849.0,4440.0,12362.0,94.09003831417625,75.50535077288941,67.89536266349585,3.0,10.0,19.0,28.0,86.88082546028572,28,3.329369797859698,83,9.869203329369796,False
TruckDrive,aligned,0.5,50-75,366,123,5,335,297,291,44,6,25,91.53005464480874,81.14754098360656,10.382513661202186,50.01617020648392,74.93828019635588,90.7103825136612,89.61748633879782,36.0,123.0,380.25,2232.5,93.41463414634147,59.01639344262295,43.169398907103826,1.0,4.0,14.0,35.0,83.69174186247358,31,8.469945355191257,69,18.85245901639344,False
TruckDrive,aligned,0.5,75-100,367,121,5,338,285,274,64,11,18,92.09809264305177,77.65667574931881,14.441416893732972,75.24546062232928,99.96733023075379,87.46594005449592,84.19618528610354,18.0,86.0,218.0,882.6000000000001,93.25068870523415,51.49863760217984,34.60490463215259,1.0,3.0,9.0,26.400000000000034,81.14825945404458,29,7.901907356948229,82,22.343324250681192,False
TruckDrive,aligned,0.5,100-150,636,127,5,591,467,449,142,18,27,92.9245283018868,73.42767295597484,19.496855345911946,100.01457537159469,149.85105342932135,89.15094339622641,86.63522012578616,16.0,51.5,120.0,343.0,92.63123359580054,44.81132075471698,34.59119496855346,0.0,2.0,7.0,16.0,69.73534558180228,45,7.075471698113205,169,26.572327044025158,False
TruckDrive,aligned,0.5,150-200,551,130,5,502,331,306,196,25,24,91.1070780399274,60.07259528130672,31.034482758620683,150.12315334501665,199.9727196236663,88.2032667876588,84.39201451905626,10.0,26.0,64.0,266.0,92.02106227106228,30.671506352087114,21.77858439201452,0.0,1.0,4.0,10.0,58.20479809280713,49,8.892921960072599,220,39.92740471869328,False
TruckDrive,aligned,0.5,200-250,387,112,5,339,174,156,183,18,30,87.59689922480621,44.96124031007752,42.63565891472868,200.0481951240057,249.9157658332935,84.75452196382429,82.17054263565892,7.0,26.0,48.5,119.80000000000007,86.4264455782313,16.27906976744186,8.2687338501292,0.0,0.0,2.0,4.0,47.542026425955,48,12.403100775193792,213,55.03875968992248,False
TruckDrive,aligned,0.5,250-300,325,93,5,286,111,103,183,8,31,88.0,34.15384615384615,53.846153846153854,250.0497157484766,299.80861071369907,87.07692307692308,84.92307692307692,7.0,19.0,41.0,93.60000000000002,84.22761190711242,9.230769230769232,2.4615384615384617,0.0,0.0,1.0,2.0,34.16738929355995,39,12.0,214,65.84615384615384,False
TruckDrive,aligned,0.5,300-400,331,75,5,298,36,30,268,6,27,90.03021148036254,10.876132930513595,79.15407854984895,301.03319480211303,397.6820703976072,87.91540785498489,85.1963746223565,7.0,17.0,57.0,147.0,83.14920634920635,2.1148036253776437,1.2084592145015105,0.0,0.0,0.0,1.0,15.562732919254657,33,9.969788519637461,295,89.12386706948641,False
