dataset,variant,margin_m,near_band,far_band,track,scene,category,near_observations,far_observations,lidar_near_percent,lidar_far_percent,lidar_far_minus_near_pp,radar_near_percent,radar_far_percent,radar_far_minus_near_pp
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:2b3be2560661467b8841f7ab25a9fa01,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,4,100.0,100.0,0.0,100.0,50.0,-50.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:306a0b6fef7b4cd9b04ec4f9f4421f0a,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.truck,3,3,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:324104d35aef4bf9b33b00be3717e0d2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,2,100.0,100.0,0.0,33.33333333333333,0.0,-33.33333333333333
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:372868b24848447590a790847fda797b,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,7,6,100.0,83.33333333333334,-16.666666666666664,14.285714285714285,16.666666666666664,2.380952380952381
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:41482361b1144560af8fc35e8ef4edbc,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,7,8,100.0,100.0,0.0,85.71428571428571,50.0,-35.71428571428571
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:432060773da748b8936de449611018bb,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.motorcycle,20,11,100.0,100.0,0.0,75.0,36.36363636363637,-38.63636363636363
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:46e34295334e43c6b0c9e538ebaa0b81,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,4,100.0,100.0,0.0,100.0,75.0,-25.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:4a40618382c24b93b6967a3bb256ace3,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,8,5,100.0,80.0,-19.999999999999996,50.0,0.0,-50.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:4fe62ffadbae4ffc8285105e751fa9a1,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,2,17,100.0,100.0,0.0,50.0,82.35294117647058,32.35294117647059
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:502d9aed8f01414aae78788cf94a264c,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,14,13,100.0,100.0,0.0,100.0,76.92307692307693,-23.076923076923073
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:533b58217a184e17a059530f7a556180,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,3,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:55b34c7f47eb4506934e0589b38e2c8c,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.truck,3,5,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:59bc407cd8414827a53c6b33be47db97,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,17,14,100.0,100.0,0.0,70.58823529411765,35.714285714285715,-34.87394957983194
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:5a1cca6683734c6691ff06898a72f0d4,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,6,8,100.0,100.0,0.0,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:5a7e2d3924d944a4a4abcb915a239bbb,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.trailer,4,2,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:5c6185fef8e94aa59060b40e625a2cbf,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,2,4,100.0,100.0,0.0,100.0,75.0,-25.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:677fd836ba50461dad91d23997304627,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,8,7,100.0,100.0,0.0,37.5,0.0,-37.5
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:686bc56b54bd45ebb7db12b63a436e72,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,4,9,100.0,100.0,0.0,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:783a47279ec5498b8a74eab884c02d1c,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,4,100.0,100.0,0.0,100.0,50.0,-50.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:7c2f662a6d244c3492f1bde048643587,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,2,1,100.0,100.0,0.0,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:7caa096f86604e23bb690eb54dd47726,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,8,4,100.0,100.0,0.0,37.5,0.0,-37.5
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:817006059df44c23b51f3da4538e6a37,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,5,9,100.0,100.0,0.0,100.0,77.77777777777779,-22.22222222222222
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:898a1d15a70f4500b79796d44cd7344e,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,1,4,100.0,100.0,0.0,100.0,25.0,-75.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:8c60fd4a61ef423dbb24bf7225f3dd07,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,3,100.0,100.0,0.0,66.66666666666666,100.0,33.333333333333336
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:9600f3e7295541fcaabb395035a58fe1,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,5,8,100.0,100.0,0.0,20.0,0.0,-20.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:96adda5b2a174a5e953379695aa42bc1,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.truck,4,4,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:9b0957f2916f4761ae2ff4703bc9d5c0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,7,15,100.0,100.0,0.0,42.857142857142854,13.333333333333334,-29.52380952380952
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:9eabb36899b84e02a9736129731a5e67,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,3,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:b21f28fbb3e245fb8f7f500906cddccd,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,24,14,100.0,100.0,0.0,87.5,14.285714285714285,-73.21428571428572
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:bafa6e48bd6c45f79402eecea47509cb,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.trailer,4,4,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:c3fe51e3af8641d5987f3c882add07bf,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,3,100.0,100.0,0.0,100.0,33.33333333333333,-66.66666666666667
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:c428a654de8040aaa4e49b677f4a99e2,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,16,14,100.0,100.0,0.0,93.75,50.0,-43.75
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:c723bef74e4a4199b40d09dce31df5c5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,21,12,100.0,100.0,0.0,61.904761904761905,83.33333333333334,21.42857142857143
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:cad019c492d846dcb736a7bb436df533,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,5,9,100.0,100.0,0.0,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:cb18d0b2bb624229a0c6d98ac04d4ea0,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,3,100.0,100.0,0.0,100.0,66.66666666666666,-33.333333333333336
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:cb766484417941669e81c22215ba56cd,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,2,11,100.0,90.9090909090909,-9.090909090909093,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:d7adf867783948b493c5c163e3f896cc,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,3,4,100.0,100.0,0.0,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:db8e02767d8d4075882ab3f6c3b5fbf4,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,3,100.0,100.0,0.0,100.0,66.66666666666666,-33.333333333333336
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:dc13dac528a34a10b9504720d3ac0bed,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.truck,3,2,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:ece2cb0e0fe54e36a1385e58fadd6ed8,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.trailer,3,5,100.0,100.0,0.0,100.0,100.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:f4d5e7bb9c0346f18b16f9d92ef04ed1,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,1,2,100.0,100.0,0.0,100.0,50.0,-50.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:f8ed59c3e6104b2b838a5adc8bf3ee27,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,1,2,100.0,100.0,0.0,100.0,50.0,-50.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:fce9e5a57e274b48959f1798e40f3d01,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,vehicle.car,3,2,100.0,100.0,0.0,100.0,50.0,-50.0
TruckScenes,paired,0,0-50,50-100,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4:fe9b4917887f4dd1a175307ed323a420,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,static_object.traffic_sign,5,9,100.0,100.0,0.0,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:01dda313e83c4593965438a5eca197e8,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,15,17,100.0,100.0,0.0,66.66666666666666,29.411764705882355,-37.25490196078431
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:0b5f76745da743c68ede39f37df1b6c4,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,29,9,100.0,100.0,0.0,31.03448275862069,44.44444444444444,13.40996168582375
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:0ef3e61044e64947b56e4da5fcdd4194,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,28,11,100.0,100.0,0.0,21.428571428571427,0.0,-21.428571428571427
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:113c222416474bd688d1c057aed4d5ee,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,5,7,100.0,100.0,0.0,80.0,57.14285714285714,-22.857142857142865
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:1288b744e3f445ce94aa56fea28134e6,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,14,23,100.0,95.65217391304348,-4.347826086956519,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:1838f99086ad4ec08efc179f10c2a3da,scene-23160c4bff134cdd86b96ee822b4aca9-14,human.pedestrian.adult,28,8,100.0,100.0,0.0,46.42857142857143,0.0,-46.42857142857143
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:18ef61f15f4d492a947f8e7caee2def2,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,22,15,100.0,100.0,0.0,31.818181818181817,0.0,-31.818181818181817
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:1a6c3bc2136c403fa66a611536b4cd73,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.bicycle,19,9,100.0,100.0,0.0,68.42105263157895,11.11111111111111,-57.309941520467845
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:1ec7e42f853d49f79840fed799c795e2,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,4,12,100.0,83.33333333333334,-16.666666666666664,75.0,41.66666666666667,-33.33333333333333
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:1f139fadc62c4a8daed33c671eacbba1,scene-23160c4bff134cdd86b96ee822b4aca9-14,human.pedestrian.child,13,11,100.0,100.0,0.0,53.84615384615385,27.27272727272727,-26.573426573426573
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:25f1a3acb6034eab8c71f6c94ad1e763,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,31,8,100.0,100.0,0.0,35.483870967741936,0.0,-35.483870967741936
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:2735c904f0f8411b9ed122156e96d5a8,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,27,11,100.0,100.0,0.0,66.66666666666666,0.0,-66.66666666666666
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:2a32a5e53cc64176b50e7d3b37ca29ce,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,13,17,100.0,100.0,0.0,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:3182565e68124d96b8baa2e27190d2a3,scene-23160c4bff134cdd86b96ee822b4aca9-14,human.pedestrian.adult,13,18,100.0,100.0,0.0,53.84615384615385,77.77777777777779,23.931623931623935
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:33929c7d5bf546948968a84d00e85b8a,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,26,13,100.0,100.0,0.0,42.30769230769231,0.0,-42.30769230769231
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:34221a66e7354e36adca1473e77d1fa8,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,28,11,100.0,100.0,0.0,78.57142857142857,45.45454545454545,-33.116883116883116
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:40390766c45b4e1dad5329b1ff097a7e,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,3,20,100.0,100.0,0.0,100.0,45.0,-55.00000000000001
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:452ea3cf6c3e45fe9dbff7fee30e07a4,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,4,2,100.0,100.0,0.0,25.0,50.0,25.0
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:45c3df2c187745abbdea4fbe10f2466a,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,7,8,100.0,100.0,0.0,85.71428571428571,25.0,-60.71428571428571
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:4660f34468004007aeba3b50bd8e0403,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,5,7,100.0,71.42857142857143,-28.57142857142857,60.0,14.285714285714285,-45.714285714285715
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:486e2de452aa41808c4f3eebe0d7548d,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,14,25,100.0,100.0,0.0,7.142857142857142,8.0,0.8571428571428577
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:48e0e537c6a64c02b885306a81b1866e,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,30,8,100.0,100.0,0.0,70.0,12.5,-57.49999999999999
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:496d18671ab342999533561066b0fedb,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,1,16,100.0,100.0,0.0,0.0,0.0,0.0
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:49be2c2943474d6f9e19721e7f5090ec,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,26,13,100.0,100.0,0.0,61.53846153846154,7.6923076923076925,-53.846153846153854
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:5190c476793947ae85c06adc3664d6d6,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,31,6,100.0,100.0,0.0,80.64516129032258,16.666666666666664,-63.97849462365591
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:51fab63f95704853bcc7f7da63d8eb7f,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,28,7,100.0,100.0,0.0,89.28571428571429,42.857142857142854,-46.42857142857144
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:536d255665ab48538a7cfbf734fd496e,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,33,6,100.0,100.0,0.0,36.36363636363637,16.666666666666664,-19.6969696969697
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:55117895e28a472aaa6712c45571803b,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,32,7,100.0,100.0,0.0,40.625,14.285714285714285,-26.339285714285715
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:57060eb54bf74fcf95e29786d0124ec0,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,32,7,100.0,100.0,0.0,31.25,0.0,-31.25
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:5ce47ed749964537846329407f0ae6d0,scene-23160c4bff134cdd86b96ee822b4aca9-14,human.pedestrian.adult,28,10,100.0,100.0,0.0,39.285714285714285,20.0,-19.285714285714285
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:624ea3b7548a4e58a624a74e9f6ea5d2,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,26,13,100.0,100.0,0.0,19.230769230769234,0.0,-19.230769230769234
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:67124255981d4e899a2a37bed5e1fc63,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,4,5,100.0,40.0,-60.0,25.0,0.0,-25.0
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:67315fae6d8f41a288639bc98a44f310,scene-23160c4bff134cdd86b96ee822b4aca9-14,human.pedestrian.child,32,4,96.875,100.0,3.125,81.25,25.0,-56.25
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:69c22c9f3d5e4e8ba84575e266e505b4,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,25,8,100.0,100.0,0.0,92.0,50.0,-42.00000000000001
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:6b0d7346ac9e40e9bfb74fbbe620cf93,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.trailer,25,14,100.0,100.0,0.0,100.0,64.28571428571429,-35.71428571428571
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:6bf780c14084498b84adad1ebbe2b792,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.trailer,19,20,100.0,100.0,0.0,89.47368421052632,70.0,-19.473684210526322
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:6f16260602a84f598173a43e33215967,scene-23160c4bff134cdd86b96ee822b4aca9-14,vehicle.car,14,12,100.0,91.66666666666666,-8.333333333333337,42.857142857142854,8.333333333333332,-34.523809523809526
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:6fca257f28034e8db3f7c04503aa7bb8,scene-23160c4bff134cdd86b96ee822b4aca9-14,static_object.traffic_sign,19,17,100.0,100.0,0.0,42.10526315789473,0.0,-42.10526315789473
TruckScenes,paired,0,0-50,50-100,scene-23160c4bff134cdd86b96ee822b4aca9-14:746c05f0a4644c79800c7e9d90b2f02d,scene-23160c4bff134cdd86b96ee822b4aca9-14,human.pedestrian.adult,32,3,100.0,100.0,0.0,65.625,33.33333333333333,-32.29166666666667
