margin_m,category,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.0,human.pedestrian.construction_worker,100-150,6,1,3,6,0,0,0
0.0,human.pedestrian.construction_worker,100-150,6,1,5,6,0,0,0
0.0,human.pedestrian.construction_worker,150-400,5,1,1,5,0,0,0
0.0,human.pedestrian.construction_worker,150-400,5,1,3,5,0,0,0
0.0,human.pedestrian.construction_worker,150-400,5,1,5,3,0,0,2
0.0,human.pedestrian.construction_worker,50-100,6,1,1,4,0,2,0
0.0,human.pedestrian.construction_worker,50-100,6,1,3,6,0,0,0
0.0,human.pedestrian.construction_worker,50-100,6,1,5,6,0,0,0
0.0,human.pedestrian.stroller,0-50,13,1,1,6,0,7,0
0.0,human.pedestrian.stroller,0-50,13,1,3,13,0,0,0
0.0,human.pedestrian.stroller,0-50,13,1,5,13,0,0,0
0.0,human.pedestrian.stroller,100-150,6,1,1,4,0,2,0
0.0,human.pedestrian.stroller,100-150,6,1,3,6,0,0,0
0.0,human.pedestrian.stroller,100-150,6,1,5,2,0,0,4
0.0,human.pedestrian.stroller,50-100,19,1,1,16,0,3,0
0.0,human.pedestrian.stroller,50-100,19,1,3,16,0,0,3
0.0,human.pedestrian.stroller,50-100,19,1,5,11,0,0,8
0.0,movable_object.barrier,0-50,22,2,1,15,0,6,1
0.0,movable_object.barrier,0-50,22,2,3,21,0,0,1
0.0,movable_object.barrier,0-50,22,2,5,21,0,0,1
0.0,movable_object.barrier,100-150,7,1,1,7,0,0,0
0.0,movable_object.barrier,100-150,7,1,3,4,0,0,3
0.0,movable_object.barrier,100-150,7,1,5,1,0,0,6
0.0,movable_object.barrier,150-400,2,1,1,2,0,0,0
0.0,movable_object.barrier,150-400,2,1,3,0,0,0,2
0.0,movable_object.barrier,150-400,2,1,5,0,0,0,2
0.0,movable_object.barrier,50-100,10,1,1,9,0,1,0
0.0,movable_object.barrier,50-100,10,1,3,10,0,0,0
0.0,movable_object.barrier,50-100,10,1,5,10,0,0,0
0.0,movable_object.trafficcone,0-50,244,38,1,190,0,54,0
0.0,movable_object.trafficcone,0-50,244,38,3,231,0,3,10
0.0,movable_object.trafficcone,0-50,244,38,5,223,0,0,21
0.0,movable_object.trafficcone,100-150,191,49,1,187,0,2,2
0.0,movable_object.trafficcone,100-150,191,49,3,146,0,0,45
0.0,movable_object.trafficcone,100-150,191,49,5,109,0,0,82
0.0,movable_object.trafficcone,150-400,170,50,1,156,0,0,14
0.0,movable_object.trafficcone,150-400,170,50,3,61,0,0,109
0.0,movable_object.trafficcone,150-400,170,50,5,23,0,0,147
0.0,movable_object.trafficcone,50-100,231,46,1,227,0,3,1
0.0,movable_object.trafficcone,50-100,231,46,3,207,0,0,24
0.0,movable_object.trafficcone,50-100,231,46,5,182,0,0,49
0.0,static_object.traffic_sign,0-50,2969,168,1,1969,0,998,2
0.0,static_object.traffic_sign,0-50,2969,168,3,2748,0,190,31
0.0,static_object.traffic_sign,0-50,2969,168,5,2857,0,51,61
0.0,static_object.traffic_sign,100-150,877,107,1,737,0,124,16
0.0,static_object.traffic_sign,100-150,877,107,3,741,0,16,120
0.0,static_object.traffic_sign,100-150,877,107,5,674,0,5,198
0.0,static_object.traffic_sign,150-400,427,71,1,348,0,63,16
0.0,static_object.traffic_sign,150-400,427,71,3,340,0,13,74
0.0,static_object.traffic_sign,150-400,427,71,5,322,0,1,104
0.0,static_object.traffic_sign,50-100,2241,185,1,1864,0,358,19
0.0,static_object.traffic_sign,50-100,2241,185,3,2083,0,53,105
0.0,static_object.traffic_sign,50-100,2241,185,5,2025,0,21,195
0.0,vehicle.bicycle,0-50,108,10,1,32,1,75,0
0.0,vehicle.bicycle,0-50,108,10,3,75,0,29,4
0.0,vehicle.bicycle,0-50,108,10,5,97,0,6,5
0.0,vehicle.bicycle,100-150,7,1,1,4,0,3,0
0.0,vehicle.bicycle,100-150,7,1,3,6,0,0,1
0.0,vehicle.bicycle,100-150,7,1,5,5,0,0,2
0.0,vehicle.bicycle,150-400,2,1,1,1,0,1,0
0.0,vehicle.bicycle,150-400,2,1,3,2,0,0,0
0.0,vehicle.bicycle,150-400,2,1,5,1,0,0,1
0.0,vehicle.bicycle,50-100,13,2,1,12,0,1,0
0.0,vehicle.bicycle,50-100,13,2,3,13,0,0,0
0.0,vehicle.bicycle,50-100,13,2,5,12,0,0,1
0.0,vehicle.bus.rigid,0-50,179,7,1,33,0,146,0
0.0,vehicle.bus.rigid,0-50,179,7,3,80,0,98,1
0.0,vehicle.bus.rigid,0-50,179,7,5,124,0,54,1
0.0,vehicle.bus.rigid,100-150,30,2,1,4,0,26,0
0.0,vehicle.bus.rigid,100-150,30,2,3,10,0,20,0
0.0,vehicle.bus.rigid,100-150,30,2,5,26,0,4,0
0.0,vehicle.bus.rigid,150-400,17,3,1,5,0,9,3
0.0,vehicle.bus.rigid,150-400,17,3,3,9,0,2,6
0.0,vehicle.bus.rigid,150-400,17,3,5,10,0,0,7
0.0,vehicle.bus.rigid,50-100,142,11,1,30,0,112,0
0.0,vehicle.bus.rigid,50-100,142,11,3,80,1,60,1
0.0,vehicle.bus.rigid,50-100,142,11,5,105,0,33,4
0.0,vehicle.car,0-50,3535,266,1,604,1,2924,6
0.0,vehicle.car,0-50,3535,266,3,1870,0,1635,30
0.0,vehicle.car,0-50,3535,266,5,2596,0,892,47
0.0,vehicle.car,100-150,2496,335,1,1732,15,615,134
0.0,vehicle.car,100-150,2496,335,3,1882,2,55,557
0.0,vehicle.car,100-150,2496,335,5,1544,0,5,947
0.0,vehicle.car,150-400,1133,214,1,868,5,120,140
0.0,vehicle.car,150-400,1133,214,3,681,1,6,445
0.0,vehicle.car,150-400,1133,214,5,447,0,0,686
0.0,vehicle.car,50-100,4355,408,1,2234,12,2038,71
0.0,vehicle.car,50-100,4355,408,3,3473,3,478,401
0.0,vehicle.car,50-100,4355,408,5,3547,1,131,676
0.0,vehicle.construction,0-50,88,3,1,37,0,49,2
0.0,vehicle.construction,0-50,88,3,3,34,0,48,6
0.0,vehicle.construction,0-50,88,3,5,33,0,48,7
0.0,vehicle.construction,100-150,15,2,1,1,0,14,0
0.0,vehicle.construction,100-150,15,2,3,8,0,7,0
0.0,vehicle.construction,100-150,15,2,5,12,0,3,0
0.0,vehicle.construction,150-400,14,2,1,7,0,7,0
0.0,vehicle.construction,150-400,14,2,3,8,0,5,1
0.0,vehicle.construction,150-400,14,2,5,11,0,1,2
0.0,vehicle.construction,50-100,13,2,1,0,0,13,0
0.0,vehicle.construction,50-100,13,2,3,4,0,9,0
0.0,vehicle.construction,50-100,13,2,5,7,0,6,0
0.0,vehicle.ego_trailer,0-50,351,9,1,24,0,327,0
0.0,vehicle.ego_trailer,0-50,351,9,3,66,0,285,0
0.0,vehicle.ego_trailer,0-50,351,9,5,131,0,220,0
0.0,vehicle.motorcycle,0-50,27,2,1,6,0,21,0
0.0,vehicle.motorcycle,0-50,27,2,3,19,0,8,0
0.0,vehicle.motorcycle,0-50,27,2,5,22,0,5,0
0.0,vehicle.motorcycle,100-150,23,2,1,20,0,3,0
0.0,vehicle.motorcycle,100-150,23,2,3,23,0,0,0
0.0,vehicle.motorcycle,100-150,23,2,5,23,0,0,0
0.0,vehicle.motorcycle,150-400,2,1,1,2,0,0,0
0.0,vehicle.motorcycle,150-400,2,1,3,2,0,0,0
0.0,vehicle.motorcycle,150-400,2,1,5,2,0,0,0
0.0,vehicle.motorcycle,50-100,25,2,1,21,0,4,0
0.0,vehicle.motorcycle,50-100,25,2,3,25,0,0,0
0.0,vehicle.motorcycle,50-100,25,2,5,25,0,0,0
0.0,vehicle.other,0-50,46,2,1,0,0,46,0
0.0,vehicle.other,0-50,46,2,3,5,0,41,0
0.0,vehicle.other,0-50,46,2,5,28,0,18,0
0.0,vehicle.other,100-150,7,1,1,3,0,4,0
0.0,vehicle.other,100-150,7,1,3,6,0,1,0
0.0,vehicle.other,100-150,7,1,5,6,0,1,0
0.0,vehicle.other,150-400,6,1,1,5,0,1,0
0.0,vehicle.other,150-400,6,1,3,5,0,0,1
0.0,vehicle.other,150-400,6,1,5,5,0,0,1
0.0,vehicle.other,50-100,7,1,1,1,0,6,0
0.0,vehicle.other,50-100,7,1,3,3,0,4,0
0.0,vehicle.other,50-100,7,1,5,5,0,2,0
0.0,vehicle.trailer,0-50,687,53,1,33,2,651,1
0.0,vehicle.trailer,0-50,687,53,3,85,4,592,6
0.0,vehicle.trailer,0-50,687,53,5,140,2,537,8
0.0,vehicle.trailer,100-150,206,45,1,61,0,140,5
0.0,vehicle.trailer,100-150,206,45,3,123,0,75,8
0.0,vehicle.trailer,100-150,206,45,5,155,0,38,13
0.0,vehicle.trailer,150-400,177,41,1,126,0,46,5
0.0,vehicle.trailer,150-400,177,41,3,132,0,15,30
0.0,vehicle.trailer,150-400,177,41,5,117,0,6,54
0.0,vehicle.trailer,50-100,360,54,1,62,0,298,0
0.0,vehicle.trailer,50-100,360,54,3,149,0,206,5
0.0,vehicle.trailer,50-100,360,54,5,184,0,163,13
0.0,vehicle.train,0-50,195,5,1,0,0,195,0
0.0,vehicle.train,0-50,195,5,3,0,0,195,0
0.0,vehicle.train,0-50,195,5,5,37,0,158,0
0.0,vehicle.truck,0-50,861,56,1,20,0,841,0
0.0,vehicle.truck,0-50,861,56,3,99,2,760,0
0.0,vehicle.truck,0-50,861,56,5,193,1,664,3
0.0,vehicle.truck,100-150,349,52,1,107,1,233,8
0.0,vehicle.truck,100-150,349,52,3,219,0,96,34
0.0,vehicle.truck,100-150,349,52,5,256,0,35,58
0.0,vehicle.truck,150-400,347,47,1,242,1,97,7
0.0,vehicle.truck,150-400,347,47,3,286,0,15,46
0.0,vehicle.truck,150-400,347,47,5,261,0,5,81
0.0,vehicle.truck,50-100,606,62,1,52,0,553,1
0.0,vehicle.truck,50-100,606,62,3,189,0,409,8
0.0,vehicle.truck,50-100,606,62,5,298,0,288,20
0.5,animal,0-50,19,1,1,12,0,7,0
0.5,animal,0-50,19,1,3,19,0,0,0
0.5,animal,0-50,19,1,5,19,0,0,0
0.5,animal,100-150,3,1,1,1,0,2,0
0.5,animal,100-150,3,1,3,0,0,0,3
0.5,animal,100-150,3,1,5,0,0,0,3
0.5,animal,50-100,9,1,1,6,0,3,0
0.5,animal,50-100,9,1,3,8,0,0,1
0.5,animal,50-100,9,1,5,6,0,0,3
0.5,human.pedestrian.adult,0-50,657,29,1,142,1,512,2
0.5,human.pedestrian.adult,0-50,657,29,3,431,0,220,6
0.5,human.pedestrian.adult,0-50,657,29,5,568,0,73,16
0.5,human.pedestrian.adult,100-150,109,13,1,103,0,6,0
0.5,human.pedestrian.adult,100-150,109,13,3,75,0,2,32
0.5,human.pedestrian.adult,100-150,109,13,5,49,0,1,59
0.5,human.pedestrian.adult,150-400,7,3,1,7,0,0,0
0.5,human.pedestrian.adult,150-400,7,3,3,1,0,0,6
0.5,human.pedestrian.adult,150-400,7,3,5,0,0,0,7
0.5,human.pedestrian.adult,50-100,204,26,1,75,0,129,0
0.5,human.pedestrian.adult,50-100,204,26,3,162,0,35,7
0.5,human.pedestrian.adult,50-100,204,26,5,178,0,6,20
0.5,human.pedestrian.child,0-50,67,4,1,3,0,64,0
0.5,human.pedestrian.child,0-50,67,4,3,35,0,32,0
0.5,human.pedestrian.child,0-50,67,4,5,57,0,10,0
0.5,human.pedestrian.child,50-100,15,2,1,4,0,11,0
0.5,human.pedestrian.child,50-100,15,2,3,11,0,4,0
0.5,human.pedestrian.child,50-100,15,2,5,14,0,0,1
0.5,human.pedestrian.construction_worker,0-50,152,5,1,57,0,95,0
0.5,human.pedestrian.construction_worker,0-50,152,5,3,121,0,31,0
0.5,human.pedestrian.construction_worker,0-50,152,5,5,145,0,7,0
0.5,human.pedestrian.construction_worker,100-150,6,1,1,1,0,5,0
0.5,human.pedestrian.construction_worker,100-150,6,1,3,5,0,1,0
0.5,human.pedestrian.construction_worker,100-150,6,1,5,6,0,0,0
0.5,human.pedestrian.construction_worker,150-400,5,1,1,4,0,1,0
0.5,human.pedestrian.construction_worker,150-400,5,1,3,5,0,0,0
0.5,human.pedestrian.construction_worker,150-400,5,1,5,5,0,0,0
0.5,human.pedestrian.construction_worker,50-100,6,1,1,2,0,4,0
0.5,human.pedestrian.construction_worker,50-100,6,1,3,6,0,0,0
0.5,human.pedestrian.construction_worker,50-100,6,1,5,6,0,0,0
0.5,human.pedestrian.stroller,0-50,13,1,1,2,0,11,0
0.5,human.pedestrian.stroller,0-50,13,1,3,10,0,3,0
0.5,human.pedestrian.stroller,0-50,13,1,5,13,0,0,0
0.5,human.pedestrian.stroller,100-150,6,1,1,2,0,4,0
0.5,human.pedestrian.stroller,100-150,6,1,3,6,0,0,0
0.5,human.pedestrian.stroller,100-150,6,1,5,4,0,0,2
0.5,human.pedestrian.stroller,50-100,19,1,1,2,0,17,0
0.5,human.pedestrian.stroller,50-100,19,1,3,18,0,1,0
0.5,human.pedestrian.stroller,50-100,19,1,5,19,0,0,0
0.5,movable_object.barrier,0-50,22,2,1,4,0,17,1
0.5,movable_object.barrier,0-50,22,2,3,14,0,7,1
0.5,movable_object.barrier,0-50,22,2,5,20,0,1,1
0.5,movable_object.barrier,100-150,7,1,1,3,0,4,0
0.5,movable_object.barrier,100-150,7,1,3,3,0,3,1
0.5,movable_object.barrier,100-150,7,1,5,5,0,0,2
0.5,movable_object.barrier,150-400,2,1,1,2,0,0,0
0.5,movable_object.barrier,150-400,2,1,3,0,0,0,2
0.5,movable_object.barrier,150-400,2,1,5,0,0,0,2
0.5,movable_object.barrier,50-100,10,1,1,4,0,6,0
0.5,movable_object.barrier,50-100,10,1,3,10,0,0,0
0.5,movable_object.barrier,50-100,10,1,5,10,0,0,0
0.5,movable_object.trafficcone,0-50,244,38,1,85,0,159,0
0.5,movable_object.trafficcone,0-50,244,38,3,210,0,31,3
0.5,movable_object.trafficcone,0-50,244,38,5,235,0,2,7
0.5,movable_object.trafficcone,100-150,191,49,1,161,0,30,0
0.5,movable_object.trafficcone,100-150,191,49,3,168,0,0,23
0.5,movable_object.trafficcone,100-150,191,49,5,148,0,0,43
0.5,movable_object.trafficcone,150-400,170,50,1,160,0,9,1
0.5,movable_object.trafficcone,150-400,170,50,3,120,0,0,50
0.5,movable_object.trafficcone,150-400,170,50,5,72,0,0,98
0.5,movable_object.trafficcone,50-100,231,46,1,140,0,91,0
0.5,movable_object.trafficcone,50-100,231,46,3,219,0,3,9
0.5,movable_object.trafficcone,50-100,231,46,5,202,0,0,29
0.5,static_object.traffic_sign,0-50,2969,168,1,649,0,2320,0
0.5,static_object.traffic_sign,0-50,2969,168,3,2312,0,640,17
0.5,static_object.traffic_sign,0-50,2969,168,5,2756,0,175,38
0.5,static_object.traffic_sign,100-150,877,107,1,490,0,387,0
0.5,static_object.traffic_sign,100-150,877,107,3,751,0,77,49
0.5,static_object.traffic_sign,100-150,877,107,5,763,0,22,92
0.5,static_object.traffic_sign,150-400,427,71,1,291,0,136,0
0.5,static_object.traffic_sign,150-400,427,71,3,343,0,45,39
0.5,static_object.traffic_sign,150-400,427,71,5,349,0,11,67
0.5,static_object.traffic_sign,50-100,2241,185,1,824,0,1417,0
0.5,static_object.traffic_sign,50-100,2241,185,3,1871,0,330,40
0.5,static_object.traffic_sign,50-100,2241,185,5,2061,0,77,103
0.5,vehicle.bicycle,0-50,108,10,1,17,0,91,0
0.5,vehicle.bicycle,0-50,108,10,3,52,0,53,3
0.5,vehicle.bicycle,0-50,108,10,5,86,0,19,3
0.5,vehicle.bicycle,100-150,7,1,1,3,0,4,0
0.5,vehicle.bicycle,100-150,7,1,3,6,0,0,1
0.5,vehicle.bicycle,100-150,7,1,5,6,0,0,1
0.5,vehicle.bicycle,150-400,2,1,1,1,0,1,0
0.5,vehicle.bicycle,150-400,2,1,3,2,0,0,0
0.5,vehicle.bicycle,150-400,2,1,5,1,0,0,1
0.5,vehicle.bicycle,50-100,13,2,1,8,0,5,0
0.5,vehicle.bicycle,50-100,13,2,3,13,0,0,0
0.5,vehicle.bicycle,50-100,13,2,5,12,0,0,1
0.5,vehicle.bus.rigid,0-50,179,7,1,9,0,170,0
0.5,vehicle.bus.rigid,0-50,179,7,3,41,0,137,1
0.5,vehicle.bus.rigid,0-50,179,7,5,87,0,91,1
0.5,vehicle.bus.rigid,100-150,30,2,1,2,0,28,0
0.5,vehicle.bus.rigid,100-150,30,2,3,6,0,24,0
0.5,vehicle.bus.rigid,100-150,30,2,5,17,0,13,0
0.5,vehicle.bus.rigid,150-400,17,3,1,7,0,10,0
0.5,vehicle.bus.rigid,150-400,17,3,3,5,0,6,6
0.5,vehicle.bus.rigid,150-400,17,3,5,9,0,1,7
0.5,vehicle.bus.rigid,50-100,142,11,1,9,0,133,0
0.5,vehicle.bus.rigid,50-100,142,11,3,51,1,89,1
0.5,vehicle.bus.rigid,50-100,142,11,5,89,0,51,2
0.5,vehicle.car,0-50,3535,266,1,287,0,3246,2
0.5,vehicle.car,0-50,3535,266,3,1214,0,2307,14
0.5,vehicle.car,0-50,3535,266,5,1958,1,1552,24
0.5,vehicle.car,100-150,2496,335,1,1360,1,1131,4
0.5,vehicle.car,100-150,2496,335,3,1918,7,224,347
0.5,vehicle.car,100-150,2496,335,5,1756,2,37,701
0.5,vehicle.car,150-400,1133,214,1,849,0,260,24
0.5,vehicle.car,150-400,1133,214,3,819,0,34,280
0.5,vehicle.car,150-400,1133,214,5,621,0,4,508
0.5,vehicle.car,50-100,4355,408,1,1277,0,3077,1
0.5,vehicle.car,50-100,4355,408,3,2752,7,1339,257
0.5,vehicle.car,50-100,4355,408,5,3318,3,522,512
0.5,vehicle.construction,0-50,88,3,1,3,0,85,0
0.5,vehicle.construction,0-50,88,3,3,39,0,49,0
0.5,vehicle.construction,0-50,88,3,5,40,0,48,0
0.5,vehicle.construction,100-150,15,2,1,1,0,14,0
0.5,vehicle.construction,100-150,15,2,3,4,0,11,0
0.5,vehicle.construction,100-150,15,2,5,12,0,3,0
0.5,vehicle.construction,150-400,14,2,1,7,0,7,0
0.5,vehicle.construction,150-400,14,2,3,7,0,6,1
0.5,vehicle.construction,150-400,14,2,5,9,0,3,2
0.5,vehicle.construction,50-100,13,2,1,0,0,13,0
0.5,vehicle.construction,50-100,13,2,3,1,0,12,0
0.5,vehicle.construction,50-100,13,2,5,6,0,7,0
0.5,vehicle.ego_trailer,0-50,351,9,1,0,0,351,0
0.5,vehicle.ego_trailer,0-50,351,9,3,45,0,306,0
0.5,vehicle.ego_trailer,0-50,351,9,5,68,0,283,0
0.5,vehicle.motorcycle,0-50,27,2,1,2,0,25,0
0.5,vehicle.motorcycle,0-50,27,2,3,12,0,15,0
0.5,vehicle.motorcycle,0-50,27,2,5,22,0,5,0
0.5,vehicle.motorcycle,100-150,23,2,1,8,0,15,0
0.5,vehicle.motorcycle,100-150,23,2,3,23,0,0,0
0.5,vehicle.motorcycle,100-150,23,2,5,23,0,0,0
0.5,vehicle.motorcycle,150-400,2,1,1,2,0,0,0
0.5,vehicle.motorcycle,150-400,2,1,3,2,0,0,0
0.5,vehicle.motorcycle,150-400,2,1,5,2,0,0,0
0.5,vehicle.motorcycle,50-100,25,2,1,4,0,21,0
0.5,vehicle.motorcycle,50-100,25,2,3,21,0,4,0
0.5,vehicle.motorcycle,50-100,25,2,5,25,0,0,0
0.5,vehicle.other,0-50,46,2,1,0,0,46,0
0.5,vehicle.other,0-50,46,2,3,5,0,41,0
0.5,vehicle.other,0-50,46,2,5,22,0,24,0
0.5,vehicle.other,100-150,7,1,1,1,0,6,0
0.5,vehicle.other,100-150,7,1,3,6,0,1,0
0.5,vehicle.other,100-150,7,1,5,6,0,1,0
0.5,vehicle.other,150-400,6,1,1,5,0,1,0
0.5,vehicle.other,150-400,6,1,3,6,0,0,0
0.5,vehicle.other,150-400,6,1,5,5,0,0,1
0.5,vehicle.other,50-100,7,1,1,1,0,6,0
0.5,vehicle.other,50-100,7,1,3,3,0,4,0
0.5,vehicle.other,50-100,7,1,5,5,0,2,0
0.5,vehicle.trailer,0-50,687,53,1,17,0,669,1
0.5,vehicle.trailer,0-50,687,53,3,48,1,635,3
0.5,vehicle.trailer,0-50,687,53,5,96,1,586,4
0.5,vehicle.trailer,100-150,206,45,1,42,0,164,0
0.5,vehicle.trailer,100-150,206,45,3,93,0,108,5
0.5,vehicle.trailer,100-150,206,45,5,127,0,72,7
0.5,vehicle.trailer,150-400,177,41,1,108,0,69,0
0.5,vehicle.trailer,150-400,177,41,3,133,0,24,20
0.5,vehicle.trailer,150-400,177,41,5,125,0,13,39
0.5,vehicle.trailer,50-100,360,54,1,26,0,334,0
0.5,vehicle.trailer,50-100,360,54,3,98,0,259,3
0.5,vehicle.trailer,50-100,360,54,5,151,0,200,9
0.5,vehicle.train,0-50,195,5,1,0,0,195,0
0.5,vehicle.train,0-50,195,5,3,0,0,195,0
0.5,vehicle.train,0-50,195,5,5,4,0,191,0
0.5,vehicle.truck,0-50,861,56,1,3,0,858,0
0.5,vehicle.truck,0-50,861,56,3,30,0,831,0
0.5,vehicle.truck,0-50,861,56,5,89,1,770,1
0.5,vehicle.truck,100-150,349,52,1,44,1,304,0
0.5,vehicle.truck,100-150,349,52,3,170,1,159,19
0.5,vehicle.truck,100-150,349,52,5,223,0,85,41
0.5,vehicle.truck,150-400,347,47,1,194,0,152,1
0.5,vehicle.truck,150-400,347,47,3,274,1,46,26
0.5,vehicle.truck,150-400,347,47,5,274,0,13,60
0.5,vehicle.truck,50-100,606,62,1,22,0,584,0
0.5,vehicle.truck,50-100,606,62,3,100,0,498,8
0.5,vehicle.truck,50-100,606,62,5,189,0,397,20
