margin_m,scene,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,354,74,1,246,0,105,3
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,354,74,3,289,0,28,37
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,354,74,5,242,0,12,100
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,360,71,1,75,0,285,0
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,360,71,3,197,0,161,2
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,360,71,5,254,0,96,10
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,824,112,1,105,0,719,0
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,824,112,3,358,1,462,3
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,824,112,5,464,0,351,9
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,801,146,1,347,0,454,0
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,801,146,3,604,1,153,43
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,801,146,5,633,0,72,96
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,799,155,1,597,0,192,10
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,799,155,3,604,1,41,153
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,799,155,5,508,0,14,277
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,867,138,1,242,0,625,0
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,867,138,3,520,0,330,17
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,867,138,5,603,0,216,48
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,578,15,1,113,0,465,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,578,15,3,281,0,297,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,578,15,5,315,0,263,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,1,1,0,9,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,3,9,0,1,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,5,10,0,0,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,1,7,0,7,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,3,13,0,0,1
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,5,13,0,0,1
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,19,2,1,1,0,18,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,19,2,3,9,0,9,1
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,19,2,5,16,0,1,2
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1525,107,1,212,0,1312,1
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1525,107,3,772,0,738,15
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1525,107,5,1048,1,452,24
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,635,78,1,310,1,324,0
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,635,78,3,477,4,91,63
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,635,78,5,483,0,18,134
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,136,27,1,99,0,36,1
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,136,27,3,108,0,6,22
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,136,27,5,82,0,0,54
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1535,135,1,465,0,1069,1
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1535,135,3,1006,3,501,25
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1535,135,5,1277,0,186,72
0.5,scene-b13542304b244af585a646082c57a079-1,0-50,1574,66,1,293,1,1278,2
0.5,scene-b13542304b244af585a646082c57a079-1,0-50,1574,66,3,899,0,663,12
0.5,scene-b13542304b244af585a646082c57a079-1,0-50,1574,66,5,1177,0,366,31
0.5,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,1,14,0,28,0
0.5,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,3,26,0,10,6
0.5,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,5,28,0,5,9
0.5,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,1,0,0,3,0
0.5,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,3,2,0,1,0
0.5,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,5,2,0,1,0
0.5,scene-b13542304b244af585a646082c57a079-1,50-100,872,66,1,169,0,703,0
0.5,scene-b13542304b244af585a646082c57a079-1,50-100,872,66,3,468,3,362,39
0.5,scene-b13542304b244af585a646082c57a079-1,50-100,872,66,5,597,1,181,93
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,818,59,1,52,0,766,0
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,818,59,3,193,0,625,0
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,818,59,5,328,0,489,1
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,681,76,1,379,0,300,2
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,681,76,3,512,2,89,78
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,681,76,5,470,1,35,175
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,323,43,1,206,0,114,3
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,323,43,3,221,0,35,67
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,323,43,5,195,0,5,123
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1080,92,1,263,0,817,0
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1080,92,3,601,0,422,57
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1080,92,5,707,1,248,124
0.5,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1511,78,1,168,0,1341,2
0.5,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1511,78,3,692,0,812,7
0.5,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1511,78,5,937,0,560,14
0.5,scene-fb64d203d417452f830ca73efed80c41-11,100-150,745,87,1,365,0,379,1
0.5,scene-fb64d203d417452f830ca73efed80c41-11,100-150,745,87,3,568,1,85,91
0.5,scene-fb64d203d417452f830ca73efed80c41-11,100-150,745,87,5,545,1,24,175
0.5,scene-fb64d203d417452f830ca73efed80c41-11,150-400,178,34,1,118,0,59,1
0.5,scene-fb64d203d417452f830ca73efed80c41-11,150-400,178,34,3,116,0,13,49
0.5,scene-fb64d203d417452f830ca73efed80c41-11,150-400,178,34,5,106,0,2,70
0.5,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1422,109,1,313,0,1109,0
0.5,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1422,109,3,964,2,416,40
0.5,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1422,109,5,1167,1,163,91
