sample_token,channel,modality,region,band_m,count
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,forward_30deg,0-50,8743
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,forward_30deg,50-100,56
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,forward_30deg,100-150,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,forward_30deg,150-400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_LEFT,lidar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,all_azimuth,0-50,18805
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,all_azimuth,50-100,4
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,all_azimuth,100-150,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,all_azimuth,150-400,1
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,forward_30deg,0-50,9084
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,forward_30deg,50-100,4
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,forward_30deg,100-150,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,forward_30deg,150-400,0
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_RIGHT,lidar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,all_azimuth,0-50,206
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,all_azimuth,50-100,251
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,all_azimuth,100-150,215
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,all_azimuth,150-400,105
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,forward_30deg,0-50,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,forward_30deg,50-100,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,forward_30deg,100-150,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,forward_30deg,150-400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_BACK,radar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,all_azimuth,0-50,162
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,all_azimuth,50-100,354
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,all_azimuth,100-150,284
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,all_azimuth,150-400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,forward_30deg,0-50,79
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,forward_30deg,50-100,216
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,forward_30deg,100-150,170
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,forward_30deg,150-400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,radar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,all_azimuth,0-50,202
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,all_azimuth,50-100,268
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,all_azimuth,100-150,234
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,all_azimuth,150-400,87
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,forward_30deg,0-50,37
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,forward_30deg,50-100,58
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,forward_30deg,100-150,33
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,forward_30deg,150-400,8
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_SIDE,radar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,all_azimuth,0-50,219
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,all_azimuth,50-100,379
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,all_azimuth,100-150,114
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,all_azimuth,150-400,52
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,forward_30deg,0-50,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,forward_30deg,50-100,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,forward_30deg,100-150,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,forward_30deg,150-400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_BACK,radar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,all_azimuth,0-50,134
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,all_azimuth,50-100,238
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,all_azimuth,100-150,215
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,all_azimuth,150-400,59
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,forward_30deg,0-50,63
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,forward_30deg,50-100,138
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,forward_30deg,100-150,120
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,forward_30deg,150-400,36
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_FRONT,radar,forward_30deg,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,all_azimuth,0-50,236
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,all_azimuth,50-100,424
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,all_azimuth,100-150,140
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,all_azimuth,150-400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,all_azimuth,>=400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,forward_30deg,0-50,37
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,forward_30deg,50-100,68
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,forward_30deg,100-150,27
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,forward_30deg,150-400,0
deb7b3f332f042d49e7636d6e4959354,RADAR_RIGHT_SIDE,radar,forward_30deg,>=400,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,all_azimuth,0-50,69252
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,all_azimuth,50-100,8020
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,all_azimuth,100-150,2233
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,all_azimuth,150-400,715
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,all_azimuth,>=400,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,forward_30deg,0-50,22767
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,forward_30deg,50-100,2760
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,forward_30deg,100-150,64
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,forward_30deg,150-400,406
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,lidar,forward_30deg,>=400,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,all_azimuth,0-50,19682
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,all_azimuth,50-100,100
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,all_azimuth,100-150,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,all_azimuth,150-400,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,all_azimuth,>=400,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,forward_30deg,0-50,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,forward_30deg,50-100,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,forward_30deg,100-150,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,forward_30deg,150-400,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_REAR,lidar,forward_30deg,>=400,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_RIGHT,lidar,all_azimuth,0-50,70384
a574551be31547e4b7c78ff87c75abb3,LIDAR_RIGHT,lidar,all_azimuth,50-100,7671
a574551be31547e4b7c78ff87c75abb3,LIDAR_RIGHT,lidar,all_azimuth,100-150,712
a574551be31547e4b7c78ff87c75abb3,LIDAR_RIGHT,lidar,all_azimuth,150-400,1149
a574551be31547e4b7c78ff87c75abb3,LIDAR_RIGHT,lidar,all_azimuth,>=400,0
a574551be31547e4b7c78ff87c75abb3,LIDAR_RIGHT,lidar,forward_30deg,0-50,19836
