margin_m,category,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.0,human.pedestrian.construction_worker,100-150,6,1,3,0,0,0,6
0.0,human.pedestrian.construction_worker,100-150,6,1,5,0,0,0,6
0.0,human.pedestrian.construction_worker,150-400,5,1,1,0,0,0,5
0.0,human.pedestrian.construction_worker,150-400,5,1,3,0,0,0,5
0.0,human.pedestrian.construction_worker,150-400,5,1,5,0,0,0,5
0.0,human.pedestrian.construction_worker,50-100,6,1,1,3,1,1,1
0.0,human.pedestrian.construction_worker,50-100,6,1,3,2,0,0,4
0.0,human.pedestrian.construction_worker,50-100,6,1,5,1,0,0,5
0.0,human.pedestrian.stroller,0-50,13,1,1,6,0,7,0
0.0,human.pedestrian.stroller,0-50,13,1,3,13,0,0,0
0.0,human.pedestrian.stroller,0-50,13,1,5,13,0,0,0
0.0,human.pedestrian.stroller,100-150,7,1,1,5,0,2,0
0.0,human.pedestrian.stroller,100-150,7,1,3,4,0,0,3
0.0,human.pedestrian.stroller,100-150,7,1,5,3,0,0,4
0.0,human.pedestrian.stroller,50-100,19,1,1,16,0,3,0
0.0,human.pedestrian.stroller,50-100,19,1,3,16,0,0,3
0.0,human.pedestrian.stroller,50-100,19,1,5,11,0,0,8
0.0,movable_object.barrier,0-50,22,2,1,14,0,6,2
0.0,movable_object.barrier,0-50,22,2,3,19,0,0,3
0.0,movable_object.barrier,0-50,22,2,5,17,0,0,5
0.0,movable_object.barrier,100-150,7,1,1,5,0,0,2
0.0,movable_object.barrier,100-150,7,1,3,0,0,0,7
0.0,movable_object.barrier,100-150,7,1,5,0,0,0,7
0.0,movable_object.barrier,150-400,3,1,1,1,0,0,2
0.0,movable_object.barrier,150-400,3,1,3,0,0,0,3
0.0,movable_object.barrier,150-400,3,1,5,0,0,0,3
0.0,movable_object.barrier,50-100,10,1,1,7,0,1,2
0.0,movable_object.barrier,50-100,10,1,3,3,0,0,7
0.0,movable_object.barrier,50-100,10,1,5,3,0,0,7
0.0,movable_object.trafficcone,0-50,254,39,1,167,1,54,32
0.0,movable_object.trafficcone,0-50,254,39,3,185,0,3,66
0.0,movable_object.trafficcone,0-50,254,39,5,167,0,0,87
0.0,movable_object.trafficcone,100-150,195,49,1,121,0,2,72
0.0,movable_object.trafficcone,100-150,195,49,3,98,0,0,97
0.0,movable_object.trafficcone,100-150,195,49,5,84,0,0,111
0.0,movable_object.trafficcone,150-400,171,50,1,100,0,0,71
0.0,movable_object.trafficcone,150-400,171,50,3,45,0,0,126
0.0,movable_object.trafficcone,150-400,171,50,5,20,0,0,151
0.0,movable_object.trafficcone,50-100,237,46,1,149,1,3,84
0.0,movable_object.trafficcone,50-100,237,46,3,124,0,0,113
0.0,movable_object.trafficcone,50-100,237,46,5,110,0,0,127
0.0,static_object.traffic_sign,0-50,3020,170,1,1835,30,986,169
0.0,static_object.traffic_sign,0-50,3020,170,3,2519,1,193,307
0.0,static_object.traffic_sign,0-50,3020,170,5,2590,0,51,379
0.0,static_object.traffic_sign,100-150,896,111,1,576,16,113,191
0.0,static_object.traffic_sign,100-150,896,111,3,559,0,17,320
0.0,static_object.traffic_sign,100-150,896,111,5,496,0,5,395
0.0,static_object.traffic_sign,150-400,439,72,1,213,9,56,161
0.0,static_object.traffic_sign,150-400,439,72,3,217,1,12,209
0.0,static_object.traffic_sign,150-400,439,72,5,208,0,1,230
0.0,static_object.traffic_sign,50-100,2301,187,1,1604,39,329,329
0.0,static_object.traffic_sign,50-100,2301,187,3,1702,3,53,543
0.0,static_object.traffic_sign,50-100,2301,187,5,1614,1,21,665
0.0,vehicle.bicycle,0-50,111,10,1,33,2,76,0
0.0,vehicle.bicycle,0-50,111,10,3,77,0,29,5
0.0,vehicle.bicycle,0-50,111,10,5,98,0,6,7
0.0,vehicle.bicycle,100-150,7,1,1,4,0,3,0
0.0,vehicle.bicycle,100-150,7,1,3,6,0,0,1
0.0,vehicle.bicycle,100-150,7,1,5,6,0,0,1
0.0,vehicle.bicycle,150-400,3,1,1,2,0,1,0
0.0,vehicle.bicycle,150-400,3,1,3,3,0,0,0
0.0,vehicle.bicycle,150-400,3,1,5,1,0,0,2
0.0,vehicle.bicycle,50-100,13,2,1,12,0,1,0
0.0,vehicle.bicycle,50-100,13,2,3,13,0,0,0
0.0,vehicle.bicycle,50-100,13,2,5,12,0,0,1
0.0,vehicle.bus.rigid,0-50,185,7,1,33,0,152,0
0.0,vehicle.bus.rigid,0-50,185,7,3,81,0,103,1
0.0,vehicle.bus.rigid,0-50,185,7,5,128,0,56,1
0.0,vehicle.bus.rigid,100-150,30,2,1,4,0,26,0
0.0,vehicle.bus.rigid,100-150,30,2,3,10,0,20,0
0.0,vehicle.bus.rigid,100-150,30,2,5,26,0,4,0
0.0,vehicle.bus.rigid,150-400,19,3,1,4,0,10,5
0.0,vehicle.bus.rigid,150-400,19,3,3,10,0,2,7
0.0,vehicle.bus.rigid,150-400,19,3,5,12,0,0,7
0.0,vehicle.bus.rigid,50-100,145,11,1,30,0,115,0
0.0,vehicle.bus.rigid,50-100,145,11,3,81,1,62,1
0.0,vehicle.bus.rigid,50-100,145,11,5,108,0,33,4
0.0,vehicle.car,0-50,3618,269,1,611,3,2994,10
0.0,vehicle.car,0-50,3618,269,3,1899,0,1680,39
0.0,vehicle.car,0-50,3618,269,5,2639,0,914,65
0.0,vehicle.car,100-150,2541,342,1,1435,35,606,465
0.0,vehicle.car,100-150,2541,342,3,1414,5,53,1069
0.0,vehicle.car,100-150,2541,342,5,1155,0,5,1381
0.0,vehicle.car,150-400,1165,217,1,623,16,112,414
0.0,vehicle.car,150-400,1165,217,3,460,1,6,698
0.0,vehicle.car,150-400,1165,217,5,319,0,0,846
0.0,vehicle.car,50-100,4470,408,1,2155,22,2085,208
0.0,vehicle.car,50-100,4470,408,3,3293,3,494,680
0.0,vehicle.car,50-100,4470,408,5,3301,2,136,1031
0.0,vehicle.construction,0-50,90,3,1,38,0,50,2
0.0,vehicle.construction,0-50,90,3,3,35,0,49,6
0.0,vehicle.construction,0-50,90,3,5,34,0,49,7
0.0,vehicle.construction,100-150,15,2,1,1,0,14,0
0.0,vehicle.construction,100-150,15,2,3,8,0,7,0
0.0,vehicle.construction,100-150,15,2,5,12,0,3,0
0.0,vehicle.construction,150-400,14,2,1,7,0,7,0
0.0,vehicle.construction,150-400,14,2,3,8,0,5,1
0.0,vehicle.construction,150-400,14,2,5,11,0,1,2
0.0,vehicle.construction,50-100,13,2,1,0,0,13,0
0.0,vehicle.construction,50-100,13,2,3,4,0,9,0
0.0,vehicle.construction,50-100,13,2,5,7,0,6,0
0.0,vehicle.ego_trailer,0-50,360,9,1,24,0,336,0
0.0,vehicle.ego_trailer,0-50,360,9,3,67,0,293,0
0.0,vehicle.ego_trailer,0-50,360,9,5,135,0,225,0
0.0,vehicle.motorcycle,0-50,28,2,1,6,0,22,0
0.0,vehicle.motorcycle,0-50,28,2,3,19,0,9,0
0.0,vehicle.motorcycle,0-50,28,2,5,22,0,6,0
0.0,vehicle.motorcycle,100-150,24,2,1,21,0,3,0
0.0,vehicle.motorcycle,100-150,24,2,3,24,0,0,0
0.0,vehicle.motorcycle,100-150,24,2,5,23,0,0,1
0.0,vehicle.motorcycle,150-400,2,1,1,2,0,0,0
0.0,vehicle.motorcycle,150-400,2,1,3,2,0,0,0
0.0,vehicle.motorcycle,150-400,2,1,5,2,0,0,0
0.0,vehicle.motorcycle,50-100,25,2,1,21,0,4,0
0.0,vehicle.motorcycle,50-100,25,2,3,25,0,0,0
0.0,vehicle.motorcycle,50-100,25,2,5,25,0,0,0
0.0,vehicle.other,0-50,47,2,1,0,0,47,0
0.0,vehicle.other,0-50,47,2,3,5,0,42,0
0.0,vehicle.other,0-50,47,2,5,29,0,18,0
0.0,vehicle.other,100-150,7,1,1,3,0,4,0
0.0,vehicle.other,100-150,7,1,3,6,0,1,0
0.0,vehicle.other,100-150,7,1,5,6,0,1,0
0.0,vehicle.other,150-400,6,1,1,5,0,1,0
0.0,vehicle.other,150-400,6,1,3,6,0,0,0
0.0,vehicle.other,150-400,6,1,5,5,0,0,1
0.0,vehicle.other,50-100,7,1,1,1,0,6,0
0.0,vehicle.other,50-100,7,1,3,3,0,4,0
0.0,vehicle.other,50-100,7,1,5,5,0,2,0
0.0,vehicle.trailer,0-50,703,53,1,33,1,667,2
0.0,vehicle.trailer,0-50,703,53,3,88,4,605,6
0.0,vehicle.trailer,0-50,703,53,5,142,2,550,9
0.0,vehicle.trailer,100-150,213,47,1,58,3,143,9
0.0,vehicle.trailer,100-150,213,47,3,113,4,74,22
0.0,vehicle.trailer,100-150,213,47,5,138,1,38,36
0.0,vehicle.trailer,150-400,179,41,1,98,8,39,34
0.0,vehicle.trailer,150-400,179,41,3,90,7,8,74
0.0,vehicle.trailer,150-400,179,41,5,72,4,2,101
0.0,vehicle.trailer,50-100,373,54,1,59,3,305,6
0.0,vehicle.trailer,50-100,373,54,3,147,1,212,13
0.0,vehicle.trailer,50-100,373,54,5,181,0,170,22
0.0,vehicle.train,0-50,200,5,1,0,0,200,0
0.0,vehicle.train,0-50,200,5,3,0,0,200,0
0.0,vehicle.train,0-50,200,5,5,38,0,162,0
0.0,vehicle.truck,0-50,886,56,1,20,0,866,0
0.0,vehicle.truck,0-50,886,56,3,101,1,783,1
0.0,vehicle.truck,0-50,886,56,5,199,1,684,2
0.0,vehicle.truck,100-150,356,53,1,104,2,237,13
0.0,vehicle.truck,100-150,356,53,3,221,2,97,36
0.0,vehicle.truck,100-150,356,53,5,253,0,36,67
0.0,vehicle.truck,150-400,357,47,1,232,2,99,24
0.0,vehicle.truck,150-400,357,47,3,285,0,15,57
0.0,vehicle.truck,150-400,357,47,5,263,0,5,89
0.0,vehicle.truck,50-100,630,62,1,54,1,573,2
0.0,vehicle.truck,50-100,630,62,3,192,1,425,12
0.0,vehicle.truck,50-100,630,62,5,305,0,299,26
0.5,animal,0-50,19,1,1,12,0,7,0
0.5,animal,0-50,19,1,3,19,0,0,0
0.5,animal,0-50,19,1,5,19,0,0,0
0.5,animal,100-150,3,1,1,1,0,2,0
0.5,animal,100-150,3,1,3,0,0,0,3
0.5,animal,100-150,3,1,5,0,0,0,3
0.5,animal,50-100,9,1,1,6,0,3,0
0.5,animal,50-100,9,1,3,8,0,0,1
0.5,animal,50-100,9,1,5,6,0,0,3
0.5,human.pedestrian.adult,0-50,673,29,1,145,1,525,2
0.5,human.pedestrian.adult,0-50,673,29,3,443,0,223,7
0.5,human.pedestrian.adult,0-50,673,29,5,583,0,73,17
0.5,human.pedestrian.adult,100-150,110,13,1,104,0,6,0
0.5,human.pedestrian.adult,100-150,110,13,3,77,0,2,31
0.5,human.pedestrian.adult,100-150,110,13,5,50,0,1,59
0.5,human.pedestrian.adult,150-400,7,3,1,7,0,0,0
0.5,human.pedestrian.adult,150-400,7,3,3,1,0,0,6
0.5,human.pedestrian.adult,150-400,7,3,5,0,0,0,7
0.5,human.pedestrian.adult,50-100,210,26,1,78,0,132,0
0.5,human.pedestrian.adult,50-100,210,26,3,166,0,36,8
0.5,human.pedestrian.adult,50-100,210,26,5,182,0,7,21
0.5,human.pedestrian.child,0-50,67,4,1,3,0,64,0
0.5,human.pedestrian.child,0-50,67,4,3,35,0,32,0
0.5,human.pedestrian.child,0-50,67,4,5,57,0,10,0
0.5,human.pedestrian.child,50-100,15,2,1,4,0,11,0
0.5,human.pedestrian.child,50-100,15,2,3,11,0,4,0
0.5,human.pedestrian.child,50-100,15,2,5,14,0,0,1
0.5,human.pedestrian.construction_worker,0-50,155,5,1,57,0,98,0
0.5,human.pedestrian.construction_worker,0-50,155,5,3,123,0,32,0
0.5,human.pedestrian.construction_worker,0-50,155,5,5,148,0,7,0
0.5,human.pedestrian.construction_worker,100-150,6,1,1,1,0,5,0
0.5,human.pedestrian.construction_worker,100-150,6,1,3,5,0,1,0
0.5,human.pedestrian.construction_worker,100-150,6,1,5,6,0,0,0
0.5,human.pedestrian.construction_worker,150-400,5,1,1,4,0,1,0
0.5,human.pedestrian.construction_worker,150-400,5,1,3,5,0,0,0
0.5,human.pedestrian.construction_worker,150-400,5,1,5,4,0,0,1
0.5,human.pedestrian.construction_worker,50-100,6,1,1,2,0,4,0
0.5,human.pedestrian.construction_worker,50-100,6,1,3,6,0,0,0
0.5,human.pedestrian.construction_worker,50-100,6,1,5,6,0,0,0
0.5,human.pedestrian.stroller,0-50,13,1,1,2,0,11,0
0.5,human.pedestrian.stroller,0-50,13,1,3,10,0,3,0
0.5,human.pedestrian.stroller,0-50,13,1,5,13,0,0,0
0.5,human.pedestrian.stroller,100-150,7,1,1,2,0,5,0
0.5,human.pedestrian.stroller,100-150,7,1,3,7,0,0,0
0.5,human.pedestrian.stroller,100-150,7,1,5,5,0,0,2
0.5,human.pedestrian.stroller,50-100,19,1,1,2,0,17,0
0.5,human.pedestrian.stroller,50-100,19,1,3,18,0,1,0
0.5,human.pedestrian.stroller,50-100,19,1,5,19,0,0,0
0.5,movable_object.barrier,0-50,22,2,1,4,0,17,1
0.5,movable_object.barrier,0-50,22,2,3,14,0,7,1
0.5,movable_object.barrier,0-50,22,2,5,20,0,1,1
0.5,movable_object.barrier,100-150,7,1,1,3,0,4,0
0.5,movable_object.barrier,100-150,7,1,3,4,0,3,0
0.5,movable_object.barrier,100-150,7,1,5,4,0,0,3
0.5,movable_object.barrier,150-400,3,1,1,3,0,0,0
0.5,movable_object.barrier,150-400,3,1,3,1,0,0,2
0.5,movable_object.barrier,150-400,3,1,5,1,0,0,2
0.5,movable_object.barrier,50-100,10,1,1,4,0,6,0
0.5,movable_object.barrier,50-100,10,1,3,10,0,0,0
0.5,movable_object.barrier,50-100,10,1,5,10,0,0,0
0.5,movable_object.trafficcone,0-50,254,39,1,88,0,166,0
0.5,movable_object.trafficcone,0-50,254,39,3,219,0,31,4
0.5,movable_object.trafficcone,0-50,254,39,5,244,0,2,8
0.5,movable_object.trafficcone,100-150,195,49,1,162,0,30,3
0.5,movable_object.trafficcone,100-150,195,49,3,167,0,0,28
0.5,movable_object.trafficcone,100-150,195,49,5,148,0,0,47
0.5,movable_object.trafficcone,150-400,171,50,1,156,0,9,6
0.5,movable_object.trafficcone,150-400,171,50,3,117,0,0,54
0.5,movable_object.trafficcone,150-400,171,50,5,71,0,0,100
0.5,movable_object.trafficcone,50-100,237,46,1,143,0,94,0
0.5,movable_object.trafficcone,50-100,237,46,3,222,0,3,12
0.5,movable_object.trafficcone,50-100,237,46,5,207,0,0,30
0.5,static_object.traffic_sign,0-50,3020,170,1,659,3,2358,0
0.5,static_object.traffic_sign,0-50,3020,170,3,2341,0,652,27
0.5,static_object.traffic_sign,0-50,3020,170,5,2787,0,179,54
0.5,static_object.traffic_sign,100-150,896,111,1,469,8,386,33
0.5,static_object.traffic_sign,100-150,896,111,3,704,0,79,113
0.5,static_object.traffic_sign,100-150,896,111,5,714,0,23,159
0.5,static_object.traffic_sign,150-400,439,72,1,261,3,136,39
0.5,static_object.traffic_sign,150-400,439,72,3,300,0,45,94
0.5,static_object.traffic_sign,150-400,439,72,5,307,0,11,121
0.5,static_object.traffic_sign,50-100,2301,187,1,828,15,1438,20
0.5,static_object.traffic_sign,50-100,2301,187,3,1868,0,339,94
0.5,static_object.traffic_sign,50-100,2301,187,5,2048,0,79,174
0.5,vehicle.bicycle,0-50,111,10,1,17,0,94,0
0.5,vehicle.bicycle,0-50,111,10,3,55,0,53,3
0.5,vehicle.bicycle,0-50,111,10,5,89,0,19,3
0.5,vehicle.bicycle,100-150,7,1,1,3,0,4,0
0.5,vehicle.bicycle,100-150,7,1,3,6,0,0,1
0.5,vehicle.bicycle,100-150,7,1,5,6,0,0,1
0.5,vehicle.bicycle,150-400,3,1,1,2,0,1,0
0.5,vehicle.bicycle,150-400,3,1,3,3,0,0,0
0.5,vehicle.bicycle,150-400,3,1,5,1,0,0,2
0.5,vehicle.bicycle,50-100,13,2,1,8,0,5,0
0.5,vehicle.bicycle,50-100,13,2,3,13,0,0,0
0.5,vehicle.bicycle,50-100,13,2,5,12,0,0,1
0.5,vehicle.bus.rigid,0-50,185,7,1,9,0,176,0
0.5,vehicle.bus.rigid,0-50,185,7,3,41,0,143,1
0.5,vehicle.bus.rigid,0-50,185,7,5,89,0,95,1
0.5,vehicle.bus.rigid,100-150,30,2,1,2,0,28,0
0.5,vehicle.bus.rigid,100-150,30,2,3,6,0,24,0
0.5,vehicle.bus.rigid,100-150,30,2,5,17,0,13,0
0.5,vehicle.bus.rigid,150-400,19,3,1,8,0,11,0
0.5,vehicle.bus.rigid,150-400,19,3,3,6,0,7,6
0.5,vehicle.bus.rigid,150-400,19,3,5,11,0,1,7
0.5,vehicle.bus.rigid,50-100,145,11,1,9,0,136,0
0.5,vehicle.bus.rigid,50-100,145,11,3,51,1,92,1
0.5,vehicle.bus.rigid,50-100,145,11,5,90,0,53,2
0.5,vehicle.car,0-50,3618,269,1,292,0,3324,2
0.5,vehicle.car,0-50,3618,269,3,1240,0,2364,14
0.5,vehicle.car,0-50,3618,269,5,1999,1,1592,26
0.5,vehicle.car,100-150,2541,342,1,1351,3,1150,37
0.5,vehicle.car,100-150,2541,342,3,1875,7,228,431
0.5,vehicle.car,100-150,2541,342,5,1687,2,38,814
0.5,vehicle.car,150-400,1165,217,1,790,1,264,110
0.5,vehicle.car,150-400,1165,217,3,742,0,34,389
0.5,vehicle.car,150-400,1165,217,5,569,0,4,592
0.5,vehicle.car,50-100,4470,408,1,1306,1,3161,2
0.5,vehicle.car,50-100,4470,408,3,2826,7,1374,263
0.5,vehicle.car,50-100,4470,408,5,3398,3,537,532
0.5,vehicle.construction,0-50,90,3,1,3,0,87,0
0.5,vehicle.construction,0-50,90,3,3,40,0,50,0
0.5,vehicle.construction,0-50,90,3,5,41,0,49,0
0.5,vehicle.construction,100-150,15,2,1,1,0,14,0
0.5,vehicle.construction,100-150,15,2,3,4,0,11,0
0.5,vehicle.construction,100-150,15,2,5,12,0,3,0
0.5,vehicle.construction,150-400,14,2,1,7,0,7,0
0.5,vehicle.construction,150-400,14,2,3,8,0,6,0
0.5,vehicle.construction,150-400,14,2,5,10,0,3,1
0.5,vehicle.construction,50-100,13,2,1,0,0,13,0
0.5,vehicle.construction,50-100,13,2,3,1,0,12,0
0.5,vehicle.construction,50-100,13,2,5,6,0,7,0
0.5,vehicle.ego_trailer,0-50,360,9,1,0,0,360,0
0.5,vehicle.ego_trailer,0-50,360,9,3,46,0,314,0
0.5,vehicle.ego_trailer,0-50,360,9,5,69,0,291,0
0.5,vehicle.motorcycle,0-50,28,2,1,2,0,26,0
0.5,vehicle.motorcycle,0-50,28,2,3,12,0,16,0
0.5,vehicle.motorcycle,0-50,28,2,5,22,0,6,0
0.5,vehicle.motorcycle,100-150,24,2,1,9,0,15,0
0.5,vehicle.motorcycle,100-150,24,2,3,24,0,0,0
0.5,vehicle.motorcycle,100-150,24,2,5,24,0,0,0
0.5,vehicle.motorcycle,150-400,2,1,1,2,0,0,0
0.5,vehicle.motorcycle,150-400,2,1,3,2,0,0,0
0.5,vehicle.motorcycle,150-400,2,1,5,2,0,0,0
0.5,vehicle.motorcycle,50-100,25,2,1,4,0,21,0
0.5,vehicle.motorcycle,50-100,25,2,3,21,0,4,0
0.5,vehicle.motorcycle,50-100,25,2,5,25,0,0,0
0.5,vehicle.other,0-50,47,2,1,0,0,47,0
0.5,vehicle.other,0-50,47,2,3,5,0,42,0
0.5,vehicle.other,0-50,47,2,5,23,0,24,0
0.5,vehicle.other,100-150,7,1,1,1,0,6,0
0.5,vehicle.other,100-150,7,1,3,6,0,1,0
0.5,vehicle.other,100-150,7,1,5,6,0,1,0
0.5,vehicle.other,150-400,6,1,1,5,0,1,0
0.5,vehicle.other,150-400,6,1,3,6,0,0,0
0.5,vehicle.other,150-400,6,1,5,5,0,0,1
0.5,vehicle.other,50-100,7,1,1,1,0,6,0
0.5,vehicle.other,50-100,7,1,3,3,0,4,0
0.5,vehicle.other,50-100,7,1,5,5,0,2,0
0.5,vehicle.trailer,0-50,703,53,1,18,0,684,1
0.5,vehicle.trailer,0-50,703,53,3,49,1,650,3
0.5,vehicle.trailer,0-50,703,53,5,99,1,599,4
0.5,vehicle.trailer,100-150,213,47,1,42,0,170,1
0.5,vehicle.trailer,100-150,213,47,3,97,0,111,5
0.5,vehicle.trailer,100-150,213,47,5,133,0,73,7
0.5,vehicle.trailer,150-400,179,41,1,108,0,70,1
0.5,vehicle.trailer,150-400,179,41,3,126,0,24,29
0.5,vehicle.trailer,150-400,179,41,5,118,1,12,48
0.5,vehicle.trailer,50-100,373,54,1,26,0,347,0
0.5,vehicle.trailer,50-100,373,54,3,104,0,266,3
0.5,vehicle.trailer,50-100,373,54,5,158,0,207,8
0.5,vehicle.train,0-50,200,5,1,0,0,200,0
0.5,vehicle.train,0-50,200,5,3,0,0,200,0
0.5,vehicle.train,0-50,200,5,5,4,0,196,0
0.5,vehicle.truck,0-50,886,56,1,3,0,883,0
0.5,vehicle.truck,0-50,886,56,3,31,0,855,0
0.5,vehicle.truck,0-50,886,56,5,91,2,792,1
0.5,vehicle.truck,100-150,356,53,1,44,1,311,0
0.5,vehicle.truck,100-150,356,53,3,172,1,163,20
0.5,vehicle.truck,100-150,356,53,5,229,0,86,41
0.5,vehicle.truck,150-400,357,47,1,194,1,155,7
0.5,vehicle.truck,150-400,357,47,3,273,1,48,35
0.5,vehicle.truck,150-400,357,47,5,279,0,13,65
0.5,vehicle.truck,50-100,630,62,1,23,0,607,0
0.5,vehicle.truck,50-100,630,62,3,102,0,520,8
0.5,vehicle.truck,50-100,630,62,5,196,0,415,19
