margin_m,scene,band_m,observations,instances,threshold,lidar_only,radar_only,both,neither
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,363,75,3,178,4,9,172
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,363,75,5,157,2,1,203
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,369,71,1,98,9,209,53
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,369,71,3,185,2,96,86
0.0,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,369,71,5,198,0,66,105
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,847,114,1,268,14,510,55
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,847,114,3,398,1,341,107
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,847,114,5,428,0,285,134
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,816,147,1,319,21,256,220
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,816,147,3,384,6,83,343
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,816,147,5,383,1,33,399
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,816,156,1,410,16,89,301
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,816,156,3,346,5,17,448
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,816,156,5,286,2,5,523
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,890,138,1,322,16,388,164
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,890,138,3,394,1,224,271
0.0,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,890,138,5,462,1,125,302
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,592,15,1,238,0,352,2
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,592,15,3,311,0,275,6
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,592,15,5,373,0,212,7
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,1,5,0,5,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,3,10,0,0,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,5,10,0,0,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,1,8,0,6,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,3,13,0,0,1
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,5,13,0,0,1
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,21,2,1,3,0,18,0
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,21,2,3,17,0,3,1
0.0,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,21,2,5,18,0,0,3
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1561,108,1,546,10,935,70
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1561,108,3,986,0,455,120
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1561,108,5,1164,0,251,146
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,653,81,1,401,7,157,88
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,653,81,3,426,1,17,209
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,653,81,5,365,0,7,281
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,141,28,1,91,1,20,29
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,141,28,3,59,0,0,82
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,141,28,5,40,0,0,101
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1566,135,1,846,8,599,113
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1566,135,3,1196,0,148,222
0.0,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1566,135,5,1217,0,37,312
0.0,scene-b13542304b244af585a646082c57a079-1,0-50,1619,66,1,683,0,930,6
0.0,scene-b13542304b244af585a646082c57a079-1,0-50,1619,66,3,1140,0,450,29
0.0,scene-b13542304b244af585a646082c57a079-1,0-50,1619,66,5,1335,0,224,60
0.0,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,1,20,0,20,2
0.0,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,3,30,0,4,8
0.0,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,5,26,0,2,14
0.0,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,1,2,0,1,0
0.0,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,3,2,0,1,0
0.0,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,5,3,0,0,0
0.0,scene-b13542304b244af585a646082c57a079-1,50-100,901,66,1,351,2,546,2
0.0,scene-b13542304b244af585a646082c57a079-1,50-100,901,66,3,621,2,221,57
0.0,scene-b13542304b244af585a646082c57a079-1,50-100,901,66,5,652,2,121,126
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,842,59,1,115,4,719,4
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,842,59,3,352,0,478,12
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,842,59,5,510,0,319,13
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,692,77,1,427,3,156,106
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,692,77,3,398,1,31,262
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,692,77,5,335,0,9,348
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,330,43,1,209,2,56,63
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,330,43,3,193,0,5,132
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,330,43,5,149,0,0,181
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1111,92,1,487,6,533,85
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1111,92,3,700,0,219,192
0.0,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1111,92,5,686,0,156,269
0.0,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1553,81,1,497,1,1034,21
0.0,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1553,81,3,882,0,626,45
0.0,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1553,81,5,1090,0,402,61
0.0,scene-fb64d203d417452f830ca73efed80c41-11,100-150,755,89,1,453,6,221,75
0.0,scene-fb64d203d417452f830ca73efed80c41-11,100-150,755,89,3,515,1,31,208
0.0,scene-fb64d203d417452f830ca73efed80c41-11,100-150,755,89,5,465,0,6,284
0.0,scene-fb64d203d417452f830ca73efed80c41-11,150-400,185,34,1,117,1,39,28
0.0,scene-fb64d203d417452f830ca73efed80c41-11,150-400,185,34,3,103,0,4,78
0.0,scene-fb64d203d417452f830ca73efed80c41-11,150-400,185,34,5,78,0,0,107
0.0,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1476,111,1,759,13,656,48
0.0,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1476,111,3,1146,1,174,155
0.0,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1476,111,5,1182,0,62,232
0.5,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1241,39,1,74,0,1166,1
0.5,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1241,39,3,333,0,907,1
0.5,scene-0044384af3d8494e913fb8b14915239e-3,0-50,1241,39,5,493,3,742,3
0.5,scene-0044384af3d8494e913fb8b14915239e-3,50-100,44,8,1,2,0,42,0
0.5,scene-0044384af3d8494e913fb8b14915239e-3,50-100,44,8,3,19,0,25,0
0.5,scene-0044384af3d8494e913fb8b14915239e-3,50-100,44,8,5,30,0,14,0
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,287,51,1,36,0,251,0
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,287,51,3,124,0,161,2
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,0-50,287,51,5,170,0,114,3
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,271,60,1,85,2,154,30
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,271,60,3,161,0,42,68
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,100-150,271,60,5,166,0,17,88
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,320,61,1,158,2,87,73
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,320,61,3,170,0,32,118
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,150-400,320,61,5,167,1,9,143
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,382,59,1,94,3,275,10
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,382,59,3,203,0,156,23
0.5,scene-13f4b71b1bd04a9e88747ad8f58a3f67-4,50-100,382,59,5,248,0,98,36
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1513,72,1,189,0,1324,0
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1513,72,3,857,0,648,8
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,0-50,1513,72,5,1179,0,322,12
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,774,85,1,569,1,204,0
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,774,85,3,568,0,24,182
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,100-150,774,85,5,450,0,2,322
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,198,41,1,149,0,45,4
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,198,41,3,136,0,6,56
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,150-400,198,41,5,98,0,1,99
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1723,125,1,790,0,933,0
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1723,125,3,1373,0,208,142
0.5,scene-23160c4bff134cdd86b96ee822b4aca9-14,50-100,1723,125,5,1404,0,67,252
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,396,62,1,54,0,342,0
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,396,62,3,143,0,251,2
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,0-50,396,62,5,194,0,200,2
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,404,75,1,123,3,260,18
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,404,75,3,238,0,119,47
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,100-150,404,75,5,268,0,64,72
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,363,75,1,221,1,107,34
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,363,75,3,241,0,29,93
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,150-400,363,75,5,219,0,12,132
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,369,71,1,73,2,291,3
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,369,71,3,192,0,165,12
0.5,scene-3195e3bfd1de4f9ba82f874790c7856c-15,50-100,369,71,5,247,0,97,25
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,847,114,1,108,3,736,0
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,847,114,3,362,1,472,12
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,0-50,847,114,5,467,0,360,20
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,816,147,1,334,5,460,17
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,816,147,3,566,1,158,91
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,100-150,816,147,5,587,0,73,156
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,816,156,1,577,2,192,45
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,816,156,3,571,1,41,203
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,150-400,816,156,5,485,0,14,317
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,890,138,1,240,11,631,8
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,890,138,3,505,0,339,46
0.5,scene-3f542f89ec5241b6a4e30ca743adcf34-29,50-100,890,138,5,587,0,222,81
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,592,15,1,113,0,479,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,592,15,3,287,0,305,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,0-50,592,15,5,322,0,270,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,1,1,0,9,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,3,9,0,1,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,100-150,10,1,5,10,0,0,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,1,7,0,7,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,3,13,0,0,1
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,150-400,14,1,5,13,0,0,1
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,21,2,1,1,0,20,0
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,21,2,3,10,0,10,1
0.5,scene-6be74229febb4aad9e7ae1a37217b231-4,50-100,21,2,5,18,0,1,2
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1561,108,1,216,0,1344,1
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1561,108,3,789,0,756,16
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,0-50,1561,108,5,1070,1,464,26
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,653,81,1,324,1,328,0
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,653,81,3,493,4,92,64
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,100-150,653,81,5,499,0,18,136
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,141,28,1,103,0,37,1
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,141,28,3,113,0,6,22
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,150-400,141,28,5,84,0,0,57
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1566,135,1,475,0,1090,1
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1566,135,3,1027,3,510,26
0.5,scene-a6a87db5125846bda72ccfc9931ee153-11,50-100,1566,135,5,1303,0,190,73
0.5,scene-b13542304b244af585a646082c57a079-1,0-50,1619,66,1,298,1,1318,2
0.5,scene-b13542304b244af585a646082c57a079-1,0-50,1619,66,3,920,0,687,12
0.5,scene-b13542304b244af585a646082c57a079-1,0-50,1619,66,5,1207,0,380,32
0.5,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,1,14,0,28,0
0.5,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,3,26,0,10,6
0.5,scene-b13542304b244af585a646082c57a079-1,100-150,42,12,5,28,0,5,9
0.5,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,1,0,0,3,0
0.5,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,3,2,0,1,0
0.5,scene-b13542304b244af585a646082c57a079-1,150-400,3,1,5,2,0,1,0
0.5,scene-b13542304b244af585a646082c57a079-1,50-100,901,66,1,172,0,729,0
0.5,scene-b13542304b244af585a646082c57a079-1,50-100,901,66,3,478,3,380,40
0.5,scene-b13542304b244af585a646082c57a079-1,50-100,901,66,5,612,1,193,95
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,842,59,1,53,0,789,0
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,842,59,3,197,0,645,0
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,0-50,842,59,5,336,0,504,2
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,692,77,1,381,0,307,4
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,692,77,3,522,2,90,78
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,100-150,692,77,5,480,1,35,176
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,330,43,1,211,0,116,3
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,330,43,3,226,0,36,68
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,150-400,330,43,5,200,0,5,125
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1111,92,1,272,0,839,0
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1111,92,3,623,0,431,57
0.5,scene-b201f6e737e34c2d87830fc1e2911516-6,50-100,1111,92,5,722,1,257,131
0.5,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1553,81,1,173,0,1378,2
0.5,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1553,81,3,711,0,835,7
0.5,scene-fb64d203d417452f830ca73efed80c41-11,0-50,1553,81,5,959,0,579,15
0.5,scene-fb64d203d417452f830ca73efed80c41-11,100-150,755,89,1,364,0,386,5
0.5,scene-fb64d203d417452f830ca73efed80c41-11,100-150,755,89,3,571,1,87,96
0.5,scene-fb64d203d417452f830ca73efed80c41-11,100-150,755,89,5,553,1,24,177
0.5,scene-fb64d203d417452f830ca73efed80c41-11,150-400,185,34,1,121,0,61,3
0.5,scene-fb64d203d417452f830ca73efed80c41-11,150-400,185,34,3,118,0,13,54
0.5,scene-fb64d203d417452f830ca73efed80c41-11,150-400,185,34,5,110,0,2,73
0.5,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1476,111,1,325,0,1151,0
0.5,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1476,111,3,1000,2,431,43
0.5,scene-fb64d203d417452f830ca73efed80c41-11,50-100,1476,111,5,1211,1,168,96
