scenario,band_m,group,points
2023-03-03_garching_2,50-100,obstacle_candidate,122614
2023-03-03_garching_2,50-100,vegetation,1294432
2023-03-03_garching_2,50-100,water,0
2023-03-03_garching_2,>=400,excluded,0
2023-03-03_garching_2,>=400,geometry_ambiguous,0
2023-03-03_garching_2,>=400,ground_cover,0
2023-03-03_garching_2,>=400,ground_surface,0
2023-03-03_garching_2,>=400,obstacle_candidate,0
2023-03-03_garching_2,>=400,vegetation,0
2023-03-03_garching_2,>=400,water,0
2023-05-15_neubiberg_rain,0-50,excluded,48045
2023-05-15_neubiberg_rain,0-50,geometry_ambiguous,389876
2023-05-15_neubiberg_rain,0-50,ground_cover,1177899
2023-05-15_neubiberg_rain,0-50,ground_surface,1944219
2023-05-15_neubiberg_rain,0-50,obstacle_candidate,4329888
2023-05-15_neubiberg_rain,0-50,vegetation,3936810
2023-05-15_neubiberg_rain,0-50,water,2097
2023-05-15_neubiberg_rain,100-150,excluded,491
2023-05-15_neubiberg_rain,100-150,geometry_ambiguous,5937
2023-05-15_neubiberg_rain,100-150,ground_cover,22050
2023-05-15_neubiberg_rain,100-150,ground_surface,4250
2023-05-15_neubiberg_rain,100-150,obstacle_candidate,130708
2023-05-15_neubiberg_rain,100-150,vegetation,252182
2023-05-15_neubiberg_rain,100-150,water,0
2023-05-15_neubiberg_rain,150-400,excluded,213
2023-05-15_neubiberg_rain,150-400,geometry_ambiguous,518
2023-05-15_neubiberg_rain,150-400,ground_cover,5421
2023-05-15_neubiberg_rain,150-400,ground_surface,405
2023-05-15_neubiberg_rain,150-400,obstacle_candidate,45999
2023-05-15_neubiberg_rain,150-400,vegetation,92351
2023-05-15_neubiberg_rain,150-400,water,0
2023-05-15_neubiberg_rain,50-100,excluded,2720
2023-05-15_neubiberg_rain,50-100,geometry_ambiguous,47239
2023-05-15_neubiberg_rain,50-100,ground_cover,173398
2023-05-15_neubiberg_rain,50-100,ground_surface,80862
2023-05-15_neubiberg_rain,50-100,obstacle_candidate,678887
2023-05-15_neubiberg_rain,50-100,vegetation,939276
2023-05-15_neubiberg_rain,50-100,water,0
2023-05-15_neubiberg_rain,>=400,excluded,0
2023-05-15_neubiberg_rain,>=400,geometry_ambiguous,0
2023-05-15_neubiberg_rain,>=400,ground_cover,0
2023-05-15_neubiberg_rain,>=400,ground_surface,0
2023-05-15_neubiberg_rain,>=400,obstacle_candidate,0
2023-05-15_neubiberg_rain,>=400,vegetation,0
2023-05-15_neubiberg_rain,>=400,water,0
2023-05-17_neubiberg_sunny,0-50,excluded,25887
2023-05-17_neubiberg_sunny,0-50,geometry_ambiguous,49326
2023-05-17_neubiberg_sunny,0-50,ground_cover,323324
2023-05-17_neubiberg_sunny,0-50,ground_surface,1214051
2023-05-17_neubiberg_sunny,0-50,obstacle_candidate,2794727
2023-05-17_neubiberg_sunny,0-50,vegetation,5454117
2023-05-17_neubiberg_sunny,0-50,water,756
2023-05-17_neubiberg_sunny,100-150,excluded,281
2023-05-17_neubiberg_sunny,100-150,geometry_ambiguous,57
2023-05-17_neubiberg_sunny,100-150,ground_cover,4434
2023-05-17_neubiberg_sunny,100-150,ground_surface,3993
2023-05-17_neubiberg_sunny,100-150,obstacle_candidate,53062
2023-05-17_neubiberg_sunny,100-150,vegetation,172686
2023-05-17_neubiberg_sunny,100-150,water,0
2023-05-17_neubiberg_sunny,150-400,excluded,260
2023-05-17_neubiberg_sunny,150-400,geometry_ambiguous,0
2023-05-17_neubiberg_sunny,150-400,ground_cover,1096
2023-05-17_neubiberg_sunny,150-400,ground_surface,359
2023-05-17_neubiberg_sunny,150-400,obstacle_candidate,16847
2023-05-17_neubiberg_sunny,150-400,vegetation,69590
2023-05-17_neubiberg_sunny,150-400,water,0
2023-05-17_neubiberg_sunny,50-100,excluded,591
2023-05-17_neubiberg_sunny,50-100,geometry_ambiguous,1561
2023-05-17_neubiberg_sunny,50-100,ground_cover,25670
2023-05-17_neubiberg_sunny,50-100,ground_surface,44598
2023-05-17_neubiberg_sunny,50-100,obstacle_candidate,298882
2023-05-17_neubiberg_sunny,50-100,vegetation,608221
2023-05-17_neubiberg_sunny,50-100,water,0
2023-05-17_neubiberg_sunny,>=400,excluded,0
2023-05-17_neubiberg_sunny,>=400,geometry_ambiguous,0
2023-05-17_neubiberg_sunny,>=400,ground_cover,0
2023-05-17_neubiberg_sunny,>=400,ground_surface,0
2023-05-17_neubiberg_sunny,>=400,obstacle_candidate,0
2023-05-17_neubiberg_sunny,>=400,vegetation,0
2023-05-17_neubiberg_sunny,>=400,water,0
ALL,0-50,excluded,405409
ALL,0-50,geometry_ambiguous,753879
ALL,0-50,ground_cover,30843549
ALL,0-50,ground_surface,11175321
ALL,0-50,obstacle_candidate,25790372
ALL,0-50,vegetation,81278281
ALL,0-50,water,2922
ALL,100-150,excluded,7569
ALL,100-150,geometry_ambiguous,10355
ALL,100-150,ground_cover,812943
ALL,100-150,ground_surface,129285
ALL,100-150,obstacle_candidate,511258
ALL,100-150,vegetation,3307626
ALL,100-150,water,8
ALL,150-400,excluded,3867
ALL,150-400,geometry_ambiguous,3163
ALL,150-400,ground_cover,241405
ALL,150-400,ground_surface,33812
ALL,150-400,obstacle_candidate,182877
ALL,150-400,vegetation,1463299
ALL,150-400,water,0
ALL,50-100,excluded,11956
ALL,50-100,geometry_ambiguous,73513
ALL,50-100,ground_cover,3712571
ALL,50-100,ground_surface,733071
ALL,50-100,obstacle_candidate,2760200
ALL,50-100,vegetation,10643290
ALL,50-100,water,6
ALL,>=400,excluded,0
ALL,>=400,geometry_ambiguous,0
ALL,>=400,ground_cover,0
ALL,>=400,ground_surface,0
ALL,>=400,obstacle_candidate,0
ALL,>=400,vegetation,0
ALL,>=400,water,0
