channel,low_m,high_m,count
RADAR_LEFT_FRONT,180,185,1960
RADAR_LEFT_FRONT,185,190,1851
RADAR_LEFT_FRONT,190,195,0
RADAR_LEFT_FRONT,195,200,0
RADAR_LEFT_FRONT,200,205,0
RADAR_LEFT_FRONT,205,210,0
RADAR_LEFT_SIDE,0,5,353
RADAR_LEFT_SIDE,5,10,3549
RADAR_LEFT_SIDE,10,15,5104
RADAR_LEFT_SIDE,15,20,5790
RADAR_LEFT_SIDE,20,25,6256
RADAR_LEFT_SIDE,25,30,6992
RADAR_LEFT_SIDE,30,35,8387
RADAR_LEFT_SIDE,35,40,9387
RADAR_LEFT_SIDE,40,45,9117
RADAR_LEFT_SIDE,45,50,9271
RADAR_LEFT_SIDE,50,55,9691
RADAR_LEFT_SIDE,55,60,9613
RADAR_LEFT_SIDE,60,65,9689
RADAR_LEFT_SIDE,65,70,9429
RADAR_LEFT_SIDE,70,75,9245
RADAR_LEFT_SIDE,75,80,8245
RADAR_LEFT_SIDE,80,85,7458
RADAR_LEFT_SIDE,85,90,6838
RADAR_LEFT_SIDE,90,95,6449
RADAR_LEFT_SIDE,95,100,5716
RADAR_LEFT_SIDE,100,105,5179
RADAR_LEFT_SIDE,105,110,4461
RADAR_LEFT_SIDE,110,115,3777
RADAR_LEFT_SIDE,115,120,3403
RADAR_LEFT_SIDE,120,125,3054
RADAR_LEFT_SIDE,125,130,2801
RADAR_LEFT_SIDE,130,135,2472
RADAR_LEFT_SIDE,135,140,2244
RADAR_LEFT_SIDE,140,145,1973
RADAR_LEFT_SIDE,145,150,1796
RADAR_LEFT_SIDE,150,155,1746
RADAR_LEFT_SIDE,155,160,1727
RADAR_LEFT_SIDE,160,165,1739
RADAR_LEFT_SIDE,165,170,1467
RADAR_LEFT_SIDE,170,175,1362
RADAR_LEFT_SIDE,175,180,1471
RADAR_LEFT_SIDE,180,185,1309
RADAR_LEFT_SIDE,185,190,1253
RADAR_LEFT_SIDE,190,195,0
RADAR_LEFT_SIDE,195,200,0
RADAR_LEFT_SIDE,200,205,0
RADAR_LEFT_SIDE,205,210,0
RADAR_RIGHT_BACK,0,5,972
RADAR_RIGHT_BACK,5,10,3973
RADAR_RIGHT_BACK,10,15,5462
RADAR_RIGHT_BACK,15,20,6932
RADAR_RIGHT_BACK,20,25,7636
RADAR_RIGHT_BACK,25,30,7854
RADAR_RIGHT_BACK,30,35,7932
RADAR_RIGHT_BACK,35,40,8086
RADAR_RIGHT_BACK,40,45,8220
RADAR_RIGHT_BACK,45,50,7820
RADAR_RIGHT_BACK,50,55,7582
RADAR_RIGHT_BACK,55,60,7437
RADAR_RIGHT_BACK,60,65,7181
RADAR_RIGHT_BACK,65,70,6912
RADAR_RIGHT_BACK,70,75,6660
RADAR_RIGHT_BACK,75,80,6610
RADAR_RIGHT_BACK,80,85,6384
RADAR_RIGHT_BACK,85,90,6281
RADAR_RIGHT_BACK,90,95,6069
RADAR_RIGHT_BACK,95,100,5765
RADAR_RIGHT_BACK,100,105,5487
RADAR_RIGHT_BACK,105,110,5192
RADAR_RIGHT_BACK,110,115,5046
RADAR_RIGHT_BACK,115,120,4549
RADAR_RIGHT_BACK,120,125,4329
RADAR_RIGHT_BACK,125,130,3998
RADAR_RIGHT_BACK,130,135,3783
RADAR_RIGHT_BACK,135,140,3487
RADAR_RIGHT_BACK,140,145,3046
RADAR_RIGHT_BACK,145,150,2829
RADAR_RIGHT_BACK,150,155,2512
RADAR_RIGHT_BACK,155,160,2202
RADAR_RIGHT_BACK,160,165,1901
RADAR_RIGHT_BACK,165,170,1857
RADAR_RIGHT_BACK,170,175,1721
RADAR_RIGHT_BACK,175,180,1456
RADAR_RIGHT_BACK,180,185,1340
RADAR_RIGHT_BACK,185,190,1156
RADAR_RIGHT_BACK,190,195,0
RADAR_RIGHT_BACK,195,200,0
RADAR_RIGHT_BACK,200,205,0
RADAR_RIGHT_BACK,205,210,0
RADAR_RIGHT_FRONT,0,5,229
RADAR_RIGHT_FRONT,5,10,2221
RADAR_RIGHT_FRONT,10,15,4543
RADAR_RIGHT_FRONT,15,20,5848
RADAR_RIGHT_FRONT,20,25,6399
RADAR_RIGHT_FRONT,25,30,6331
RADAR_RIGHT_FRONT,30,35,6947
RADAR_RIGHT_FRONT,35,40,7484
RADAR_RIGHT_FRONT,40,45,7929
RADAR_RIGHT_FRONT,45,50,8070
RADAR_RIGHT_FRONT,50,55,8295
RADAR_RIGHT_FRONT,55,60,8457
RADAR_RIGHT_FRONT,60,65,8454
RADAR_RIGHT_FRONT,65,70,8401
RADAR_RIGHT_FRONT,70,75,8293
RADAR_RIGHT_FRONT,75,80,7839
RADAR_RIGHT_FRONT,80,85,7535
RADAR_RIGHT_FRONT,85,90,7225
RADAR_RIGHT_FRONT,90,95,7031
RADAR_RIGHT_FRONT,95,100,6631
RADAR_RIGHT_FRONT,100,105,6526
RADAR_RIGHT_FRONT,105,110,6373
RADAR_RIGHT_FRONT,110,115,6111
RADAR_RIGHT_FRONT,115,120,5520
RADAR_RIGHT_FRONT,120,125,5353
RADAR_RIGHT_FRONT,125,130,4833
RADAR_RIGHT_FRONT,130,135,4315
RADAR_RIGHT_FRONT,135,140,3938
RADAR_RIGHT_FRONT,140,145,3594
RADAR_RIGHT_FRONT,145,150,3372
RADAR_RIGHT_FRONT,150,155,3101
RADAR_RIGHT_FRONT,155,160,3016
RADAR_RIGHT_FRONT,160,165,2627
RADAR_RIGHT_FRONT,165,170,2361
RADAR_RIGHT_FRONT,170,175,2263
RADAR_RIGHT_FRONT,175,180,2139
RADAR_RIGHT_FRONT,180,185,2069
RADAR_RIGHT_FRONT,185,190,1820
RADAR_RIGHT_FRONT,190,195,0
RADAR_RIGHT_FRONT,195,200,0
RADAR_RIGHT_FRONT,200,205,0
RADAR_RIGHT_FRONT,205,210,0
RADAR_RIGHT_SIDE,0,5,632
RADAR_RIGHT_SIDE,5,10,3699
RADAR_RIGHT_SIDE,10,15,5184
RADAR_RIGHT_SIDE,15,20,7061
RADAR_RIGHT_SIDE,20,25,7887
RADAR_RIGHT_SIDE,25,30,7868
RADAR_RIGHT_SIDE,30,35,7826
RADAR_RIGHT_SIDE,35,40,7944
RADAR_RIGHT_SIDE,40,45,8284
RADAR_RIGHT_SIDE,45,50,7504
RADAR_RIGHT_SIDE,50,55,7087
RADAR_RIGHT_SIDE,55,60,6736
RADAR_RIGHT_SIDE,60,65,6300
RADAR_RIGHT_SIDE,65,70,5821
RADAR_RIGHT_SIDE,70,75,5194
RADAR_RIGHT_SIDE,75,80,5169
RADAR_RIGHT_SIDE,80,85,5185
RADAR_RIGHT_SIDE,85,90,5076
RADAR_RIGHT_SIDE,90,95,4848
RADAR_RIGHT_SIDE,95,100,4416
RADAR_RIGHT_SIDE,100,105,3962
RADAR_RIGHT_SIDE,105,110,3507
RADAR_RIGHT_SIDE,110,115,3228
RADAR_RIGHT_SIDE,115,120,2862
RADAR_RIGHT_SIDE,120,125,2741
RADAR_RIGHT_SIDE,125,130,2315
RADAR_RIGHT_SIDE,130,135,1949
RADAR_RIGHT_SIDE,135,140,1691
RADAR_RIGHT_SIDE,140,145,1470
RADAR_RIGHT_SIDE,145,150,1414
RADAR_RIGHT_SIDE,150,155,1351
RADAR_RIGHT_SIDE,155,160,1204
RADAR_RIGHT_SIDE,160,165,1075
RADAR_RIGHT_SIDE,165,170,1148
RADAR_RIGHT_SIDE,170,175,1091
RADAR_RIGHT_SIDE,175,180,1009
RADAR_RIGHT_SIDE,180,185,864
RADAR_RIGHT_SIDE,185,190,807
RADAR_RIGHT_SIDE,190,195,0
RADAR_RIGHT_SIDE,195,200,0
RADAR_RIGHT_SIDE,200,205,0
RADAR_RIGHT_SIDE,205,210,0
