frame,scenario,band_m,points,frame_points
2022-07-22_flight__0088_1658494261821517222,2022-07-22_flight,>=400,0,179288
2022-07-22_flight__0089_1658494264715371591,2022-07-22_flight,0-50,141167,177912
2022-07-22_flight__0089_1658494264715371591,2022-07-22_flight,50-100,19892,177912
2022-07-22_flight__0089_1658494264715371591,2022-07-22_flight,100-150,12216,177912
2022-07-22_flight__0089_1658494264715371591,2022-07-22_flight,150-400,4637,177912
2022-07-22_flight__0089_1658494264715371591,2022-07-22_flight,>=400,0,177912
2022-07-22_flight__0091_1658494267608315191,2022-07-22_flight,0-50,143125,181130
2022-07-22_flight__0091_1658494267608315191,2022-07-22_flight,50-100,20699,181130
2022-07-22_flight__0091_1658494267608315191,2022-07-22_flight,100-150,13251,181130
2022-07-22_flight__0091_1658494267608315191,2022-07-22_flight,150-400,4055,181130
2022-07-22_flight__0091_1658494267608315191,2022-07-22_flight,>=400,0,181130
2022-07-22_flight__0093_1658494270191360325,2022-07-22_flight,0-50,147400,183739
2022-07-22_flight__0093_1658494270191360325,2022-07-22_flight,50-100,17968,183739
2022-07-22_flight__0093_1658494270191360325,2022-07-22_flight,100-150,14338,183739
2022-07-22_flight__0093_1658494270191360325,2022-07-22_flight,150-400,4033,183739
2022-07-22_flight__0093_1658494270191360325,2022-07-22_flight,>=400,0,183739
2022-07-22_flight__0095_1658494273188157489,2022-07-22_flight,0-50,145127,178865
2022-07-22_flight__0095_1658494273188157489,2022-07-22_flight,50-100,17025,178865
2022-07-22_flight__0095_1658494273188157489,2022-07-22_flight,100-150,12917,178865
2022-07-22_flight__0095_1658494273188157489,2022-07-22_flight,150-400,3796,178865
2022-07-22_flight__0095_1658494273188157489,2022-07-22_flight,>=400,0,178865
2022-07-22_flight__0097_1658494276184935410,2022-07-22_flight,0-50,173434,199771
2022-07-22_flight__0097_1658494276184935410,2022-07-22_flight,50-100,15347,199771
2022-07-22_flight__0097_1658494276184935410,2022-07-22_flight,100-150,8358,199771
2022-07-22_flight__0097_1658494276184935410,2022-07-22_flight,150-400,2632,199771
2022-07-22_flight__0097_1658494276184935410,2022-07-22_flight,>=400,0,199771
2022-07-22_flight__0098_1658494280215292080,2022-07-22_flight,0-50,172778,198041
2022-07-22_flight__0098_1658494280215292080,2022-07-22_flight,50-100,13599,198041
2022-07-22_flight__0098_1658494280215292080,2022-07-22_flight,100-150,9213,198041
2022-07-22_flight__0098_1658494280215292080,2022-07-22_flight,150-400,2451,198041
2022-07-22_flight__0098_1658494280215292080,2022-07-22_flight,>=400,0,198041
2022-07-22_flight__0100_1658494283212218427,2022-07-22_flight,0-50,164605,192566
2022-07-22_flight__0100_1658494283212218427,2022-07-22_flight,50-100,13163,192566
2022-07-22_flight__0100_1658494283212218427,2022-07-22_flight,100-150,10920,192566
2022-07-22_flight__0100_1658494283212218427,2022-07-22_flight,150-400,3878,192566
2022-07-22_flight__0100_1658494283212218427,2022-07-22_flight,>=400,0,192566
2022-07-22_flight__0101_1658494285382546719,2022-07-22_flight,0-50,162362,191065
2022-07-22_flight__0101_1658494285382546719,2022-07-22_flight,50-100,14048,191065
2022-07-22_flight__0101_1658494285382546719,2022-07-22_flight,100-150,10339,191065
2022-07-22_flight__0101_1658494285382546719,2022-07-22_flight,150-400,4316,191065
2022-07-22_flight__0101_1658494285382546719,2022-07-22_flight,>=400,0,191065
2022-07-22_flight__0103_1658494288586086296,2022-07-22_flight,0-50,146686,174352
2022-07-22_flight__0103_1658494288586086296,2022-07-22_flight,50-100,14611,174352
2022-07-22_flight__0103_1658494288586086296,2022-07-22_flight,100-150,7862,174352
2022-07-22_flight__0103_1658494288586086296,2022-07-22_flight,150-400,5193,174352
2022-07-22_flight__0103_1658494288586086296,2022-07-22_flight,>=400,0,174352
2022-07-22_flight__0105_1658494291169633508,2022-07-22_flight,0-50,152381,175610
2022-07-22_flight__0105_1658494291169633508,2022-07-22_flight,50-100,10694,175610
2022-07-22_flight__0105_1658494291169633508,2022-07-22_flight,100-150,6979,175610
2022-07-22_flight__0105_1658494291169633508,2022-07-22_flight,150-400,5556,175610
2022-07-22_flight__0105_1658494291169633508,2022-07-22_flight,>=400,0,175610
2022-07-22_flight__0107_1658494295200698209,2022-07-22_flight,0-50,148422,167298
2022-07-22_flight__0107_1658494295200698209,2022-07-22_flight,50-100,7908,167298
2022-07-22_flight__0107_1658494295200698209,2022-07-22_flight,100-150,5888,167298
2022-07-22_flight__0107_1658494295200698209,2022-07-22_flight,150-400,5080,167298
2022-07-22_flight__0107_1658494295200698209,2022-07-22_flight,>=400,0,167298
2022-07-22_flight__0108_1658494299126047040,2022-07-22_flight,0-50,143918,160467
2022-07-22_flight__0108_1658494299126047040,2022-07-22_flight,50-100,7856,160467
2022-07-22_flight__0108_1658494299126047040,2022-07-22_flight,100-150,3524,160467
2022-07-22_flight__0108_1658494299126047040,2022-07-22_flight,150-400,5169,160467
2022-07-22_flight__0108_1658494299126047040,2022-07-22_flight,>=400,0,160467
2022-07-22_flight__0111_1658494308323415212,2022-07-22_flight,0-50,133701,154852
2022-07-22_flight__0111_1658494308323415212,2022-07-22_flight,50-100,13153,154852
2022-07-22_flight__0111_1658494308323415212,2022-07-22_flight,100-150,2904,154852
2022-07-22_flight__0111_1658494308323415212,2022-07-22_flight,150-400,5094,154852
2022-07-22_flight__0111_1658494308323415212,2022-07-22_flight,>=400,0,154852
2022-07-22_flight__0112_1658494312147916688,2022-07-22_flight,0-50,148731,170027
2022-07-22_flight__0112_1658494312147916688,2022-07-22_flight,50-100,17017,170027
2022-07-22_flight__0112_1658494312147916688,2022-07-22_flight,100-150,2502,170027
2022-07-22_flight__0112_1658494312147916688,2022-07-22_flight,150-400,1777,170027
2022-07-22_flight__0112_1658494312147916688,2022-07-22_flight,>=400,0,170027
2022-07-22_flight__0114_1658494315660481257,2022-07-22_flight,0-50,165953,180655
2022-07-22_flight__0114_1658494315660481257,2022-07-22_flight,50-100,9435,180655
2022-07-22_flight__0114_1658494315660481257,2022-07-22_flight,100-150,3416,180655
2022-07-22_flight__0114_1658494315660481257,2022-07-22_flight,150-400,1851,180655
2022-07-22_flight__0114_1658494315660481257,2022-07-22_flight,>=400,0,180655
2022-07-22_flight__0116_1658494319174986343,2022-07-22_flight,0-50,163080,174393
2022-07-22_flight__0116_1658494319174986343,2022-07-22_flight,50-100,7145,174393
2022-07-22_flight__0116_1658494319174986343,2022-07-22_flight,100-150,3016,174393
2022-07-22_flight__0116_1658494319174986343,2022-07-22_flight,150-400,1152,174393
2022-07-22_flight__0116_1658494319174986343,2022-07-22_flight,>=400,0,174393
2022-07-22_flight__0117_1658494322894505734,2022-07-22_flight,0-50,171010,180032
2022-07-22_flight__0117_1658494322894505734,2022-07-22_flight,50-100,6088,180032
2022-07-22_flight__0117_1658494322894505734,2022-07-22_flight,100-150,2532,180032
2022-07-22_flight__0117_1658494322894505734,2022-07-22_flight,150-400,402,180032
2022-07-22_flight__0117_1658494322894505734,2022-07-22_flight,>=400,0,180032
2022-07-22_flight__0119_1658494329714364566,2022-07-22_flight,0-50,162331,170203
2022-07-22_flight__0119_1658494329714364566,2022-07-22_flight,50-100,5157,170203
2022-07-22_flight__0119_1658494329714364566,2022-07-22_flight,100-150,1860,170203
2022-07-22_flight__0119_1658494329714364566,2022-07-22_flight,150-400,855,170203
2022-07-22_flight__0119_1658494329714364566,2022-07-22_flight,>=400,0,170203
2022-07-22_flight__0121_1658494334158655419,2022-07-22_flight,0-50,157915,167478
2022-07-22_flight__0121_1658494334158655419,2022-07-22_flight,50-100,4642,167478
2022-07-22_flight__0121_1658494334158655419,2022-07-22_flight,100-150,3358,167478
2022-07-22_flight__0121_1658494334158655419,2022-07-22_flight,150-400,1563,167478
2022-07-22_flight__0121_1658494334158655419,2022-07-22_flight,>=400,0,167478
2022-07-22_flight__0123_1658494337982343425,2022-07-22_flight,0-50,162306,169461
2022-07-22_flight__0123_1658494337982343425,2022-07-22_flight,50-100,5115,169461
2022-07-22_flight__0123_1658494337982343425,2022-07-22_flight,100-150,1263,169461
2022-07-22_flight__0123_1658494337982343425,2022-07-22_flight,150-400,777,169461
2022-07-22_flight__0123_1658494337982343425,2022-07-22_flight,>=400,0,169461
2022-07-22_flight__0124_1658494340979671208,2022-07-22_flight,0-50,166261,172996
2022-07-22_flight__0124_1658494340979671208,2022-07-22_flight,50-100,4801,172996
2022-07-22_flight__0124_1658494340979671208,2022-07-22_flight,100-150,1383,172996
2022-07-22_flight__0124_1658494340979671208,2022-07-22_flight,150-400,551,172996
2022-07-22_flight__0124_1658494340979671208,2022-07-22_flight,>=400,0,172996
2022-07-22_flight__0126_1658494346249778427,2022-07-22_flight,0-50,157705,164058
2022-07-22_flight__0126_1658494346249778427,2022-07-22_flight,50-100,5014,164058
2022-07-22_flight__0126_1658494346249778427,2022-07-22_flight,100-150,1165,164058
2022-07-22_flight__0126_1658494346249778427,2022-07-22_flight,150-400,174,164058
2022-07-22_flight__0126_1658494346249778427,2022-07-22_flight,>=400,0,164058
2022-07-22_flight__0129_1658494361854183766,2022-07-22_flight,0-50,130309,140727
2022-07-22_flight__0129_1658494361854183766,2022-07-22_flight,50-100,7284,140727
2022-07-22_flight__0129_1658494361854183766,2022-07-22_flight,100-150,2310,140727
2022-07-22_flight__0129_1658494361854183766,2022-07-22_flight,150-400,824,140727
2022-07-22_flight__0129_1658494361854183766,2022-07-22_flight,>=400,0,140727
2022-07-22_flight__0131_1658494393372146784,2022-07-22_flight,0-50,110129,130396
2022-07-22_flight__0131_1658494393372146784,2022-07-22_flight,50-100,9376,130396
2022-07-22_flight__0131_1658494393372146784,2022-07-22_flight,100-150,7000,130396
2022-07-22_flight__0131_1658494393372146784,2022-07-22_flight,150-400,3891,130396
2022-07-22_flight__0131_1658494393372146784,2022-07-22_flight,>=400,0,130396
2022-07-22_flight__0132_1658494398229223571,2022-07-22_flight,0-50,108915,128619
2022-07-22_flight__0132_1658494398229223571,2022-07-22_flight,50-100,8355,128619
2022-07-22_flight__0132_1658494398229223571,2022-07-22_flight,100-150,8335,128619
2022-07-22_flight__0132_1658494398229223571,2022-07-22_flight,150-400,3014,128619
2022-07-22_flight__0132_1658494398229223571,2022-07-22_flight,>=400,0,128619
2022-07-22_flight__0133_1658494402672858874,2022-07-22_flight,0-50,117213,137414
2022-07-22_flight__0133_1658494402672858874,2022-07-22_flight,50-100,12036,137414
2022-07-22_flight__0133_1658494402672858874,2022-07-22_flight,100-150,5629,137414
2022-07-22_flight__0133_1658494402672858874,2022-07-22_flight,150-400,2536,137414
2022-07-22_flight__0133_1658494402672858874,2022-07-22_flight,>=400,0,137414
2022-07-22_flight__0134_1658494407426613719,2022-07-22_flight,0-50,112563,135843
2022-07-22_flight__0134_1658494407426613719,2022-07-22_flight,50-100,16729,135843
2022-07-22_flight__0134_1658494407426613719,2022-07-22_flight,100-150,4363,135843
2022-07-22_flight__0134_1658494407426613719,2022-07-22_flight,150-400,2188,135843
2022-07-22_flight__0134_1658494407426613719,2022-07-22_flight,>=400,0,135843
2022-07-22_flight__0135_1658494410423317887,2022-07-22_flight,0-50,125736,140194
2022-07-22_flight__0135_1658494410423317887,2022-07-22_flight,50-100,9135,140194
2022-07-22_flight__0135_1658494410423317887,2022-07-22_flight,100-150,3782,140194
2022-07-22_flight__0135_1658494410423317887,2022-07-22_flight,150-400,1541,140194
2022-07-22_flight__0135_1658494410423317887,2022-07-22_flight,>=400,0,140194
2022-07-22_flight__0137_1658494414349864718,2022-07-22_flight,0-50,124298,137713
2022-07-22_flight__0137_1658494414349864718,2022-07-22_flight,50-100,7296,137713
2022-07-22_flight__0137_1658494414349864718,2022-07-22_flight,100-150,3163,137713
2022-07-22_flight__0137_1658494414349864718,2022-07-22_flight,150-400,2956,137713
2022-07-22_flight__0137_1658494414349864718,2022-07-22_flight,>=400,0,137713
2022-07-22_flight__0139_1658494416623475365,2022-07-22_flight,0-50,134397,146734
2022-07-22_flight__0139_1658494416623475365,2022-07-22_flight,50-100,7014,146734
2022-07-22_flight__0139_1658494416623475365,2022-07-22_flight,100-150,1919,146734
2022-07-22_flight__0139_1658494416623475365,2022-07-22_flight,150-400,3404,146734
2022-07-22_flight__0139_1658494416623475365,2022-07-22_flight,>=400,0,146734
2022-07-22_flight__0141_1658494421169939680,2022-07-22_flight,0-50,122458,135980
2022-07-22_flight__0141_1658494421169939680,2022-07-22_flight,50-100,9280,135980
2022-07-22_flight__0141_1658494421169939680,2022-07-22_flight,100-150,2058,135980
2022-07-22_flight__0141_1658494421169939680,2022-07-22_flight,150-400,2184,135980
2022-07-22_flight__0141_1658494421169939680,2022-07-22_flight,>=400,0,135980
2022-07-22_flight__0142_1658494424270692942,2022-07-22_flight,0-50,117834,137929
2022-07-22_flight__0142_1658494424270692942,2022-07-22_flight,50-100,15988,137929
2022-07-22_flight__0142_1658494424270692942,2022-07-22_flight,100-150,2457,137929
2022-07-22_flight__0142_1658494424270692942,2022-07-22_flight,150-400,1650,137929
2022-07-22_flight__0142_1658494424270692942,2022-07-22_flight,>=400,0,137929
2022-07-22_flight__0144_1658494428094308697,2022-07-22_flight,0-50,106183,130050
2022-07-22_flight__0144_1658494428094308697,2022-07-22_flight,50-100,19750,130050
2022-07-22_flight__0144_1658494428094308697,2022-07-22_flight,100-150,2855,130050
2022-07-22_flight__0144_1658494428094308697,2022-07-22_flight,150-400,1262,130050
2022-07-22_flight__0144_1658494428094308697,2022-07-22_flight,>=400,0,130050
2022-07-22_flight__0145_1658494431091170577,2022-07-22_flight,0-50,114706,133487
2022-07-22_flight__0145_1658494431091170577,2022-07-22_flight,50-100,14376,133487
2022-07-22_flight__0145_1658494431091170577,2022-07-22_flight,100-150,3260,133487
2022-07-22_flight__0145_1658494431091170577,2022-07-22_flight,150-400,1145,133487
2022-07-22_flight__0145_1658494431091170577,2022-07-22_flight,>=400,0,133487
2022-07-22_flight__0147_1658494433778079203,2022-07-22_flight,0-50,122366,134750
2022-07-22_flight__0147_1658494433778079203,2022-07-22_flight,50-100,6977,134750
2022-07-22_flight__0147_1658494433778079203,2022-07-22_flight,100-150,4614,134750
2022-07-22_flight__0147_1658494433778079203,2022-07-22_flight,150-400,793,134750
2022-07-22_flight__0147_1658494433778079203,2022-07-22_flight,>=400,0,134750
2022-07-22_flight__0148_1658494438324740629,2022-07-22_flight,0-50,104143,122696
2022-07-22_flight__0148_1658494438324740629,2022-07-22_flight,50-100,11941,122696
2022-07-22_flight__0148_1658494438324740629,2022-07-22_flight,100-150,4865,122696
2022-07-22_flight__0148_1658494438324740629,2022-07-22_flight,150-400,1747,122696
2022-07-22_flight__0148_1658494438324740629,2022-07-22_flight,>=400,0,122696
2022-07-22_flight__0150_1658494441632449396,2022-07-22_flight,0-50,101828,119197
2022-07-22_flight__0150_1658494441632449396,2022-07-22_flight,50-100,9662,119197
2022-07-22_flight__0150_1658494441632449396,2022-07-22_flight,100-150,4177,119197
2022-07-22_flight__0150_1658494441632449396,2022-07-22_flight,150-400,3530,119197
2022-07-22_flight__0150_1658494441632449396,2022-07-22_flight,>=400,0,119197
2022-07-22_flight__0152_1658494445454928449,2022-07-22_flight,0-50,115821,129577
2022-07-22_flight__0152_1658494445454928449,2022-07-22_flight,50-100,9266,129577
2022-07-22_flight__0152_1658494445454928449,2022-07-22_flight,100-150,2098,129577
2022-07-22_flight__0152_1658494445454928449,2022-07-22_flight,150-400,2392,129577
2022-07-22_flight__0152_1658494445454928449,2022-07-22_flight,>=400,0,129577
2022-07-22_flight__0153_1658494449899119700,2022-07-22_flight,0-50,110287,124601
2022-07-22_flight__0153_1658494449899119700,2022-07-22_flight,50-100,8102,124601
2022-07-22_flight__0153_1658494449899119700,2022-07-22_flight,100-150,3301,124601
2022-07-22_flight__0153_1658494449899119700,2022-07-22_flight,150-400,2911,124601
2022-07-22_flight__0153_1658494449899119700,2022-07-22_flight,>=400,0,124601
2022-07-22_flight__0155_1658494454445888345,2022-07-22_flight,0-50,113190,128041
2022-07-22_flight__0155_1658494454445888345,2022-07-22_flight,50-100,6800,128041
2022-07-22_flight__0155_1658494454445888345,2022-07-22_flight,100-150,3782,128041
2022-07-22_flight__0155_1658494454445888345,2022-07-22_flight,150-400,4269,128041
2022-07-22_flight__0155_1658494454445888345,2022-07-22_flight,>=400,0,128041
2022-07-22_flight__0158_1658494465090456964,2022-07-22_flight,0-50,109652,135350
2022-07-22_flight__0158_1658494465090456964,2022-07-22_flight,50-100,12502,135350
2022-07-22_flight__0158_1658494465090456964,2022-07-22_flight,100-150,6296,135350
2022-07-22_flight__0158_1658494465090456964,2022-07-22_flight,150-400,6900,135350
2022-07-22_flight__0158_1658494465090456964,2022-07-22_flight,>=400,0,135350
2022-07-22_flight__0160_1658494468086798996,2022-07-22_flight,0-50,109316,135954
2022-07-22_flight__0160_1658494468086798996,2022-07-22_flight,50-100,11668,135954
2022-07-22_flight__0160_1658494468086798996,2022-07-22_flight,100-150,6660,135954
2022-07-22_flight__0160_1658494468086798996,2022-07-22_flight,150-400,8310,135954
2022-07-22_flight__0160_1658494468086798996,2022-07-22_flight,>=400,0,135954
2022-07-22_flight__0161_1658494472737431028,2022-07-22_flight,0-50,118171,137864
2022-07-22_flight__0161_1658494472737431028,2022-07-22_flight,50-100,7061,137864
2022-07-22_flight__0161_1658494472737431028,2022-07-22_flight,100-150,8790,137864
2022-07-22_flight__0161_1658494472737431028,2022-07-22_flight,150-400,3842,137864
2022-07-22_flight__0161_1658494472737431028,2022-07-22_flight,>=400,0,137864
2022-07-22_flight__0162_1658494478214175739,2022-07-22_flight,0-50,112053,140221
2022-07-22_flight__0162_1658494478214175739,2022-07-22_flight,50-100,13374,140221
2022-07-22_flight__0162_1658494478214175739,2022-07-22_flight,100-150,11333,140221
2022-07-22_flight__0162_1658494478214175739,2022-07-22_flight,150-400,3461,140221
2022-07-22_flight__0162_1658494478214175739,2022-07-22_flight,>=400,0,140221
2022-07-22_flight__0163_1658494482038129565,2022-07-22_flight,0-50,109031,144642
2022-07-22_flight__0163_1658494482038129565,2022-07-22_flight,50-100,17272,144642
2022-07-22_flight__0163_1658494482038129565,2022-07-22_flight,100-150,8330,144642
2022-07-22_flight__0163_1658494482038129565,2022-07-22_flight,150-400,10009,144642
2022-07-22_flight__0163_1658494482038129565,2022-07-22_flight,>=400,0,144642
2022-07-22_flight__0164_1658494486068238002,2022-07-22_flight,0-50,111465,149799
2022-07-22_flight__0164_1658494486068238002,2022-07-22_flight,50-100,19689,149799
2022-07-22_flight__0164_1658494486068238002,2022-07-22_flight,100-150,7545,149799
2022-07-22_flight__0164_1658494486068238002,2022-07-22_flight,150-400,11100,149799
2022-07-22_flight__0164_1658494486068238002,2022-07-22_flight,>=400,0,149799
2022-07-22_flight__0165_1658494493509186439,2022-07-22_flight,0-50,120927,157850
2022-07-22_flight__0165_1658494493509186439,2022-07-22_flight,50-100,13415,157850
2022-07-22_flight__0165_1658494493509186439,2022-07-22_flight,100-150,21443,157850
2022-07-22_flight__0165_1658494493509186439,2022-07-22_flight,150-400,2065,157850
2022-07-22_flight__0165_1658494493509186439,2022-07-22_flight,>=400,0,157850
2022-07-22_flight__0167_1658494497434843731,2022-07-22_flight,0-50,125175,160287
2022-07-22_flight__0167_1658494497434843731,2022-07-22_flight,50-100,22335,160287
2022-07-22_flight__0167_1658494497434843731,2022-07-22_flight,100-150,11106,160287
2022-07-22_flight__0167_1658494497434843731,2022-07-22_flight,150-400,1671,160287
2022-07-22_flight__0167_1658494497434843731,2022-07-22_flight,>=400,0,160287
2022-07-22_flight__0169_1658494500328821939,2022-07-22_flight,0-50,126746,163679
2022-07-22_flight__0169_1658494500328821939,2022-07-22_flight,50-100,28630,163679
2022-07-22_flight__0169_1658494500328821939,2022-07-22_flight,100-150,6717,163679
2022-07-22_flight__0169_1658494500328821939,2022-07-22_flight,150-400,1586,163679
2022-07-22_flight__0169_1658494500328821939,2022-07-22_flight,>=400,0,163679
2022-07-22_flight__0170_1658494501568150780,2022-07-22_flight,0-50,139431,167743
2022-07-22_flight__0170_1658494501568150780,2022-07-22_flight,50-100,20595,167743
2022-07-22_flight__0170_1658494501568150780,2022-07-22_flight,100-150,6371,167743
2022-07-22_flight__0170_1658494501568150780,2022-07-22_flight,150-400,1346,167743
2022-07-22_flight__0170_1658494501568150780,2022-07-22_flight,>=400,0,167743
2022-07-22_flight__0172_1658494506218595117,2022-07-22_flight,0-50,154227,177626
2022-07-22_flight__0172_1658494506218595117,2022-07-22_flight,50-100,15761,177626
2022-07-22_flight__0172_1658494506218595117,2022-07-22_flight,100-150,5455,177626
2022-07-22_flight__0172_1658494506218595117,2022-07-22_flight,150-400,2183,177626
2022-07-22_flight__0172_1658494506218595117,2022-07-22_flight,>=400,0,177626
2022-07-22_flight__0174_1658494508595336334,2022-07-22_flight,0-50,183222,188762
2022-07-22_flight__0174_1658494508595336334,2022-07-22_flight,50-100,3829,188762
2022-07-22_flight__0174_1658494508595336334,2022-07-22_flight,100-150,1078,188762
2022-07-22_flight__0174_1658494508595336334,2022-07-22_flight,150-400,633,188762
2022-07-22_flight__0174_1658494508595336334,2022-07-22_flight,>=400,0,188762
2022-07-22_flight__0176_1658494511695044246,2022-07-22_flight,0-50,171679,193823
2022-07-22_flight__0176_1658494511695044246,2022-07-22_flight,50-100,18613,193823
2022-07-22_flight__0176_1658494511695044246,2022-07-22_flight,100-150,2858,193823
2022-07-22_flight__0176_1658494511695044246,2022-07-22_flight,150-400,673,193823
2022-07-22_flight__0176_1658494511695044246,2022-07-22_flight,>=400,0,193823
2022-07-22_flight__0178_1658494513762008416,2022-07-22_flight,0-50,157913,184823
2022-07-22_flight__0178_1658494513762008416,2022-07-22_flight,50-100,22811,184823
2022-07-22_flight__0178_1658494513762008416,2022-07-22_flight,100-150,3425,184823
2022-07-22_flight__0178_1658494513762008416,2022-07-22_flight,150-400,674,184823
2022-07-22_flight__0178_1658494513762008416,2022-07-22_flight,>=400,0,184823
2022-07-22_flight__0180_1658494519238685925,2022-07-22_flight,0-50,156912,192325
2022-07-22_flight__0180_1658494519238685925,2022-07-22_flight,50-100,28432,192325
2022-07-22_flight__0180_1658494519238685925,2022-07-22_flight,100-150,4028,192325
2022-07-22_flight__0180_1658494519238685925,2022-07-22_flight,150-400,2953,192325
2022-07-22_flight__0180_1658494519238685925,2022-07-22_flight,>=400,0,192325
2022-07-22_flight__0182_1658494524095758283,2022-07-22_flight,0-50,151972,188565
2022-07-22_flight__0182_1658494524095758283,2022-07-22_flight,50-100,30758,188565
2022-07-22_flight__0182_1658494524095758283,2022-07-22_flight,100-150,4378,188565
2022-07-22_flight__0182_1658494524095758283,2022-07-22_flight,150-400,1457,188565
2022-07-22_flight__0182_1658494524095758283,2022-07-22_flight,>=400,0,188565
2022-07-22_flight__0183_1658494539389556547,2022-07-22_flight,0-50,163451,198790
2022-07-22_flight__0183_1658494539389556547,2022-07-22_flight,50-100,30073,198790
2022-07-22_flight__0183_1658494539389556547,2022-07-22_flight,100-150,4784,198790
2022-07-22_flight__0183_1658494539389556547,2022-07-22_flight,150-400,482,198790
2022-07-22_flight__0183_1658494539389556547,2022-07-22_flight,>=400,0,198790
2022-07-22_flight__0184_1658494541662813618,2022-07-22_flight,0-50,156214,195149
2022-07-22_flight__0184_1658494541662813618,2022-07-22_flight,50-100,33890,195149
