dataset,margin_m,band_m,category,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
TruckScenes mini,0,100-150,vehicle.trailer,206,45,6,201,140,140,61,0,5,97.57281553398059,67.96116504854369,29.61165048543689,100.1584917497393,149.832707819408,96.11650485436894,93.68932038834951,16.0,31.5,57.0,92.0,96.66666666666667,36.407766990291265,18.446601941747574,0.0,2.0,3.0,6.0,65.61823361823362
TruckScenes mini,0,100-150,vehicle.truck,349,52,9,340,234,233,107,1,8,97.42120343839542,67.0487106017192,30.372492836676223,100.04269030347422,149.65842468341535,90.25787965616045,83.3810888252149,7.0,21.0,84.0,134.0,99.0167274174627,27.507163323782237,10.028653295128938,0.0,1.0,3.0,4.199999999999989,72.48618933918668
TruckScenes mini,0,150-200,human.pedestrian.adult,7,3,1,7,0,0,7,0,0,100.0,0.0,100.0,151.83343151487963,172.49581677456774,14.285714285714285,0.0,1.0,1.0,2.0,2.4000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,150-200,human.pedestrian.construction_worker,4,1,1,4,0,0,4,0,0,100.0,0.0,100.0,163.26614617944938,195.2262167183891,100.0,75.0,4.75,5.5,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,150-200,movable_object.barrier,2,1,1,2,0,0,2,0,0,100.0,0.0,100.0,169.16267041698882,177.34943401028409,0.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,150-200,movable_object.trafficcone,136,50,2,129,0,0,129,0,7,94.85294117647058,0.0,94.85294117647058,150.4090177666509,199.98866853976983,41.17647058823529,16.176470588235293,1.0,2.0,4.0,5.0,93.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,150-200,static_object.traffic_sign,359,70,7,344,63,63,281,0,15,95.82172701949861,17.548746518105848,78.27298050139275,150.00948473263907,199.83819887899645,83.56545961002786,77.15877437325905,5.0,11.0,41.0,96.99999999999994,95.46729461015175,3.6211699164345403,0.2785515320334262,0.0,0.0,0.0,1.1999999999999886,12.002060439560438
TruckScenes mini,0,150-200,vehicle.bicycle,2,1,1,2,1,1,1,0,0,100.0,50.0,50.0,152.47270811654,158.13781564282644,100.0,50.0,3.5,4.0,4.5,4.8,100.0,0.0,0.0,0.25,0.5,0.75,0.9,50.0
TruckScenes mini,0,150-200,vehicle.bus.rigid,13,2,2,11,9,9,2,0,2,84.61538461538461,69.23076923076923,15.384615384615385,150.73989756634435,196.61476288206904,69.23076923076923,69.23076923076923,1.0,35.0,67.0,71.2,85.71428571428572,15.384615384615385,0.0,0.0,1.0,2.0,2.8000000000000007,71.42857142857143
TruckScenes mini,0,150-200,vehicle.car,926,208,7,818,125,120,698,5,103,88.33693304535637,13.498920086393088,74.83801295896329,150.05681029796702,199.9666937233818,63.17494600431965,41.46868250539957,2.0,4.0,7.0,12.0,87.06200608387142,0.755939524838013,0.0,0.0,0.0,0.0,1.0,10.741313796877622
TruckScenes mini,0,150-200,vehicle.construction,10,2,1,10,7,7,3,0,0,100.0,70.0,30.000000000000004,156.01409936125535,198.12968170824647,100.0,100.0,10.25,15.5,23.25,28.799999999999997,100.0,50.0,10.0,0.25,2.5,3.0,4.199999999999999,70.0
TruckScenes mini,0,150-200,vehicle.motorcycle,2,1,1,2,0,0,2,0,0,100.0,0.0,100.0,152.92324720038215,156.93649967607854,100.0,100.0,13.0,13.0,13.0,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,150-200,vehicle.other,5,1,1,5,1,1,4,0,0,100.0,20.0,80.0,150.88976136300818,197.67500225086388,100.0,100.0,7.0,9.0,11.0,14.600000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,20.0
TruckScenes mini,0,150-200,vehicle.trailer,139,41,5,137,45,45,92,0,2,98.56115107913669,32.37410071942446,66.18705035971223,150.0106029512012,199.5535628715887,85.61151079136691,71.94244604316546,4.0,11.0,22.0,32.2,96.34146341463415,10.79136690647482,4.316546762589928,0.0,0.0,1.0,3.0,29.661246612466126
TruckScenes mini,0,150-200,vehicle.truck,273,46,5,269,98,97,172,1,3,98.53479853479854,35.8974358974359,62.637362637362635,150.1505883465511,199.91605376392064,89.37728937728939,82.78388278388277,7.0,12.0,27.0,49.0,98.36710603974032,5.4945054945054945,1.8315018315018317,0.0,0.0,1.0,2.0,45.773556490173796
TruckScenes mini,0,200-250,human.pedestrian.construction_worker,1,1,1,1,0,0,1,0,0,100.0,0.0,100.0,203.2730878939659,203.2730878939659,100.0,0.0,4.0,4.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,200-250,movable_object.trafficcone,34,21,1,27,0,0,27,0,7,79.41176470588235,0.0,79.41176470588235,200.59790691292088,223.08859349302594,14.705882352941178,2.941176470588235,1.0,1.0,2.0,3.6999999999999993,79.36507936507935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,200-250,static_object.traffic_sign,68,38,3,67,0,0,67,0,1,98.52941176470588,0.0,98.52941176470588,200.00147325915378,224.38006738934413,77.94117647058823,67.64705882352942,3.0,10.0,40.25,99.30000000000001,97.36842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,200-250,vehicle.bus.rigid,4,2,2,3,0,0,3,0,1,75.0,0.0,75.0,203.19325053068846,220.78214850317624,50.0,25.0,0.75,2.0,7.75,16.300000000000004,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,200-250,vehicle.car,207,92,7,170,0,0,170,0,37,82.1256038647343,0.0,82.1256038647343,200.0710707473922,226.84401081084647,49.275362318840585,30.434782608695656,1.0,2.0,6.0,9.0,81.89786059351276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,200-250,vehicle.construction,4,2,1,4,0,0,4,0,0,100.0,0.0,100.0,200.48305494411403,214.8171436720205,75.0,50.0,2.5,6.0,10.75,13.900000000000002,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,200-250,vehicle.other,1,1,1,1,0,0,1,0,0,100.0,0.0,100.0,209.55825989251767,209.55825989251767,0.0,0.0,2.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0,200-250,vehicle.trailer,38,27,3,35,1,1,34,0,3,92.10526315789474,2.631578947368421,89.47368421052632,200.52588575532198,227.4924309082738,73.68421052631578,60.526315789473685,2.25,8.0,18.0,22.300000000000004,90.74074074074075,0.0,0.0,0.0,0.0,0.0,0.0,1.8518518518518516
TruckScenes mini,0,200-250,vehicle.truck,74,32,5,70,0,0,70,0,4,94.5945945945946,0.0,94.5945945945946,200.18618301257388,229.4177589511211,77.02702702702703,54.054054054054056,3.0,5.0,17.0,30.0,96.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,100-150,animal,3,1,1,3,2,2,1,0,0,100.0,66.66666666666666,33.333333333333336,100.44430799804785,117.74985868321315,0.0,0.0,1.0,1.0,1.5,1.8,100.0,0.0,0.0,0.5,1.0,1.0,1.0,66.66666666666666
TruckScenes mini,0.5,100-150,human.pedestrian.adult,109,13,3,109,6,6,103,0,0,100.0,5.5045871559633035,94.4954128440367,100.08172428127371,145.57286485667052,70.64220183486239,45.87155963302752,2.0,4.0,7.0,14.200000000000003,100.0,1.834862385321101,0.9174311926605505,0.0,0.0,0.0,0.0,8.226495726495726
TruckScenes mini,0.5,100-150,human.pedestrian.construction_worker,6,1,1,6,5,5,1,0,0,100.0,83.33333333333334,16.666666666666664,100.24382602387756,147.39538134390233,100.0,100.0,10.0,11.0,12.75,14.0,100.0,16.666666666666664,0.0,1.0,1.0,1.75,2.5,83.33333333333334
TruckScenes mini,0.5,100-150,human.pedestrian.stroller,6,1,1,6,4,4,2,0,0,100.0,66.66666666666666,33.333333333333336,103.07302909921951,122.20962941244964,100.0,66.66666666666666,4.5,9.5,13.0,14.5,100.0,0.0,0.0,0.25,1.0,1.0,1.0,66.66666666666666
TruckScenes mini,0.5,100-150,movable_object.barrier,7,1,1,7,4,4,3,0,0,100.0,57.14285714285714,42.85714285714286,108.09880185061658,149.36710809144014,85.71428571428571,71.42857142857143,4.0,5.0,8.0,9.8,100.0,42.857142857142854,0.0,0.0,2.0,3.0,3.0,57.14285714285714
TruckScenes mini,0.5,100-150,movable_object.trafficcone,191,49,2,191,30,30,161,0,0,100.0,15.706806282722512,84.29319371727748,100.17272583494284,149.83532562934755,87.95811518324608,77.4869109947644,5.0,8.0,14.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,15.087463556851311
TruckScenes mini,0.5,100-150,static_object.traffic_sign,877,107,7,877,387,387,490,0,0,100.0,44.127708095781074,55.872291904218926,100.01257789779538,149.98500524582585,94.4127708095781,89.50969213226911,8.0,17.0,41.0,87.39999999999998,100.0,8.779931584948688,2.508551881413911,0.0,0.0,1.0,2.0,43.350978257540966
TruckScenes mini,0.5,100-150,vehicle.bicycle,7,1,1,7,4,4,3,0,0,100.0,57.14285714285714,42.85714285714286,100.27061144215484,135.14610743255753,85.71428571428571,85.71428571428571,5.5,7.0,7.0,8.200000000000001,100.0,0.0,0.0,0.0,1.0,1.0,1.4000000000000004,57.14285714285714
TruckScenes mini,0.5,100-150,vehicle.bus.rigid,30,2,2,30,28,28,2,0,0,100.0,93.33333333333333,6.666666666666665,100.53735197903477,149.3429305914152,100.0,100.0,89.25,115.0,162.75,205.60000000000002,100.0,80.0,43.333333333333336,3.0,4.0,6.0,8.0,83.33333333333333
TruckScenes mini,0.5,100-150,vehicle.car,2496,335,8,2491,1132,1131,1360,1,4,99.79967948717949,45.3525641025641,54.44711538461537,100.00365658377392,149.99902983471054,85.8173076923077,71.8349358974359,4.0,9.0,18.0,35.0,99.86070509336531,9.254807692307693,1.5625,0.0,0.0,1.0,2.0,41.47437331435276
TruckScenes mini,0.5,100-150,vehicle.construction,15,2,1,15,14,14,1,0,0,100.0,93.33333333333333,6.666666666666665,103.88893173254276,147.9558286055628,100.0,100.0,37.5,46.0,87.0,155.79999999999998,100.0,73.33333333333333,20.0,2.5,3.0,4.0,7.6,91.66666666666667
TruckScenes mini,0.5,100-150,vehicle.motorcycle,23,2,2,23,15,15,8,0,0,100.0,65.21739130434783,34.78260869565217,101.61046799081518,148.97082165358046,100.0,100.0,17.5,21.0,26.0,27.8,100.0,0.0,0.0,0.0,1.0,1.0,2.0,75.0
TruckScenes mini,0.5,100-150,vehicle.other,7,1,1,7,6,6,1,0,0,100.0,85.71428571428571,14.28571428571429,104.34754846657168,139.42176872710104,100.0,100.0,33.0,38.0,76.0,102.4,100.0,14.285714285714285,14.285714285714285,1.0,1.0,2.0,3.6000000000000014,85.71428571428571
TruckScenes mini,0.5,100-150,vehicle.trailer,206,45,6,206,164,164,42,0,0,100.0,79.6116504854369,20.38834951456311,100.1584917497393,149.832707819408,97.57281553398059,96.60194174757282,20.0,34.0,67.25,105.5,100.0,52.42718446601942,34.95145631067961,1.0,3.0,6.0,10.0,76.15527065527066
TruckScenes mini,0.5,100-150,vehicle.truck,349,52,9,348,305,304,44,1,0,99.7134670487106,87.39255014326648,12.320916905444124,100.04269030347422,149.65842468341535,94.26934097421203,88.25214899713467,9.0,25.0,101.0,148.0,99.88687782805428,45.845272206303726,24.355300859598856,1.0,2.0,4.0,7.0,87.74800327238407
TruckScenes mini,0.5,150-200,human.pedestrian.adult,7,3,1,7,0,0,7,0,0,100.0,0.0,100.0,151.83343151487963,172.49581677456774,14.285714285714285,0.0,1.0,1.0,2.0,2.4000000000000004,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,150-200,human.pedestrian.construction_worker,4,1,1,4,1,1,3,0,0,100.0,25.0,75.0,163.26614617944938,195.2262167183891,100.0,100.0,6.5,7.0,7.25,7.7,100.0,0.0,0.0,0.0,0.0,0.25,0.7000000000000002,25.0
TruckScenes mini,0.5,150-200,movable_object.barrier,2,1,1,2,0,0,2,0,0,100.0,0.0,100.0,169.16267041698882,177.34943401028409,0.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,150-200,movable_object.trafficcone,136,50,2,136,9,9,127,0,0,100.0,6.61764705882353,93.38235294117648,150.4090177666509,199.98866853976983,77.94117647058823,49.26470588235294,3.0,4.0,8.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8999999999999995
TruckScenes mini,0.5,150-200,static_object.traffic_sign,359,70,7,359,136,136,223,0,0,100.0,37.88300835654596,62.116991643454035,150.00948473263907,199.83819887899645,91.36490250696379,85.23676880222841,7.0,15.0,49.5,114.59999999999997,100.0,12.534818941504177,3.064066852367688,0.0,0.0,1.0,3.0,34.62170191963425
TruckScenes mini,0.5,150-200,vehicle.bicycle,2,1,1,2,1,1,1,0,0,100.0,50.0,50.0,152.47270811654,158.13781564282644,100.0,50.0,4.25,4.5,4.75,4.9,100.0,0.0,0.0,0.25,0.5,0.75,0.9,50.0
TruckScenes mini,0.5,150-200,vehicle.bus.rigid,13,2,2,13,10,10,3,0,0,100.0,76.92307692307693,23.076923076923073,150.73989756634435,196.61476288206904,69.23076923076923,69.23076923076923,2.0,42.0,72.0,77.80000000000001,100.0,46.15384615384615,7.6923076923076925,1.0,2.0,3.0,4.0,78.57142857142857
TruckScenes mini,0.5,150-200,vehicle.car,926,208,7,913,260,260,653,0,13,98.59611231101512,28.077753779697623,70.51835853131749,150.05681029796702,199.9666937233818,77.10583153347731,57.45140388768899,3.0,5.0,10.0,16.0,98.04546953734258,3.6717062634989204,0.4319654427645789,0.0,0.0,1.0,2.0,22.39552146769639
TruckScenes mini,0.5,150-200,vehicle.construction,10,2,1,10,7,7,3,0,0,100.0,70.0,30.000000000000004,156.01409936125535,198.12968170824647,100.0,100.0,11.0,16.0,23.25,28.999999999999996,100.0,60.0,30.0,0.5,3.5,4.75,6.1,70.0
TruckScenes mini,0.5,150-200,vehicle.motorcycle,2,1,1,2,0,0,2,0,0,100.0,0.0,100.0,152.92324720038215,156.93649967607854,100.0,100.0,15.25,15.5,15.75,15.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,150-200,vehicle.other,5,1,1,5,1,1,4,0,0,100.0,20.0,80.0,150.88976136300818,197.67500225086388,100.0,100.0,14.0,15.0,16.0,20.2,100.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,20.0
TruckScenes mini,0.5,150-200,vehicle.trailer,139,41,5,139,68,68,71,0,0,100.0,48.92086330935252,51.07913669064747,150.0106029512012,199.5535628715887,92.08633093525181,80.57553956834532,6.0,14.0,29.0,40.400000000000006,100.0,17.26618705035971,9.352517985611511,0.0,0.0,2.0,4.0,47.235772357723576
TruckScenes mini,0.5,150-200,vehicle.truck,273,46,5,273,152,152,121,0,0,100.0,55.67765567765568,44.32234432234432,150.1505883465511,199.91605376392064,94.13919413919413,87.17948717948718,9.0,14.0,32.0,60.80000000000001,100.0,17.216117216117215,4.761904761904762,0.0,1.0,2.0,3.0,60.19466960105
TruckScenes mini,0.5,200-250,human.pedestrian.construction_worker,1,1,1,1,0,0,1,0,0,100.0,0.0,100.0,203.2730878939659,203.2730878939659,100.0,100.0,6.0,6.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,200-250,movable_object.trafficcone,34,21,1,33,0,0,33,0,1,97.05882352941177,0.0,97.05882352941177,200.59790691292088,223.08859349302594,41.17647058823529,14.705882352941178,1.25,2.0,3.0,7.399999999999999,97.61904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,200-250,static_object.traffic_sign,68,38,3,68,0,0,68,0,0,100.0,0.0,100.0,200.00147325915378,224.38006738934413,88.23529411764706,79.41176470588235,5.0,13.5,56.0,107.60000000000005,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,200-250,vehicle.bus.rigid,4,2,2,4,0,0,4,0,0,100.0,0.0,100.0,203.19325053068846,220.78214850317624,50.0,25.0,1.0,2.5,9.5,19.400000000000006,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,200-250,vehicle.car,207,92,7,196,0,0,196,0,11,94.68599033816425,0.0,94.68599033816425,200.0710707473922,226.84401081084647,67.14975845410628,44.927536231884055,2.0,4.0,8.0,11.0,95.92391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,200-250,vehicle.construction,4,2,1,4,0,0,4,0,0,100.0,0.0,100.0,200.48305494411403,214.8171436720205,75.0,50.0,2.5,6.0,10.75,13.900000000000002,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,200-250,vehicle.other,1,1,1,1,0,0,1,0,0,100.0,0.0,100.0,209.55825989251767,209.55825989251767,100.0,0.0,4.0,4.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckScenes mini,0.5,200-250,vehicle.trailer,38,27,3,38,1,1,37,0,0,100.0,2.631578947368421,97.36842105263158,200.52588575532198,227.4924309082738,76.31578947368422,68.42105263157895,3.0,10.0,20.0,25.900000000000013,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8518518518518516
TruckScenes mini,0.5,200-250,vehicle.truck,74,32,5,73,0,0,73,0,1,98.64864864864865,0.0,98.64864864864865,200.18618301257388,229.4177589511211,85.13513513513513,66.21621621621621,3.25,7.0,21.75,34.7,98.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,100-150,RoadObstruction,7,3,1,3,0,0,3,0,4,42.857142857142854,0.0,42.857142857142854,118.42076124826906,148.14163056552863,0.0,0.0,0.0,0.0,1.0,1.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,100-150,RoadObstruction-Barrel,818,33,1,247,23,6,241,17,554,30.195599022004888,2.8117359413202934,27.383863080684595,100.01457537159469,149.97922295360033,9.168704156479219,3.4229828850855744,0.0,0.0,1.0,2.0,30.789161079345362,0.0,0.0,0.0,0.0,0.0,0.0,2.9651875612182073
TruckDrive scene_28_1,0,100-150,TrafficSign,156,6,1,19,0,0,19,0,137,12.179487179487179,0.0,12.179487179487179,100.19181652435485,149.8043785510788,0.641025641025641,0.0,0.0,0.0,0.0,1.0,8.981481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,100-150,Vehicle,2,2,1,2,0,0,2,0,0,100.0,0.0,100.0,103.24562354992077,105.19727738209124,100.0,100.0,11.75,18.5,25.25,29.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,100-150,Vehicle-Passenger,92,12,1,48,21,7,41,14,30,52.17391304347826,22.82608695652174,29.34782608695652,101.32213224682401,149.2369210404858,22.82608695652174,15.217391304347828,0.0,1.0,2.0,7.0,58.63095238095239,1.0869565217391304,0.0,0.0,0.0,0.0,1.0,24.077380952380953
TruckDrive scene_28_1,0,100-150,Vehicle-SemiTruck-Cab,56,3,1,41,51,38,3,13,2,73.21428571428571,91.07142857142857,-17.85714285714286,100.72348409572426,149.76689794980814,48.214285714285715,30.357142857142854,0.0,2.0,6.0,10.5,78.61111111111111,85.71428571428571,85.71428571428571,6.0,7.0,8.25,10.0,79.16666666666666
TruckDrive scene_28_1,0,100-150,Vehicle-SemiTruck-Trailer,82,3,1,82,77,77,5,0,0,100.0,93.90243902439023,6.0975609756097615,100.94716176235136,149.98265214178997,97.5609756097561,95.1219512195122,22.0,32.0,57.0,75.80000000000001,100.0,91.46341463414635,90.2439024390244,9.0,12.5,20.0,22.0,79.16666666666666
TruckDrive scene_28_1,0,100-150,Vehicle-Trailer,8,1,1,8,8,8,0,0,0,100.0,100.0,0.0,101.427086396625,143.95855396264096,100.0,87.5,7.5,11.5,14.25,21.9,100.0,62.5,0.0,2.0,3.0,3.25,4.0,100.0
TruckDrive scene_28_1,0,150-200,RoadObstruction,121,10,1,22,1,0,22,1,98,18.181818181818183,0.8264462809917356,17.355371900826448,150.12315334501665,199.34786625091186,9.090909090909092,4.132231404958678,0.0,0.0,0.0,2.0,17.152463549522373,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693
TruckDrive scene_28_1,0,150-200,RoadObstruction-Barrel,501,28,1,92,1,0,92,1,408,18.36327345309381,0.19960079840319359,18.163672654690618,150.18881488316208,199.9598835058869,4.990019960079841,1.3972055888223553,0.0,0.0,0.0,1.0,17.218472324827367,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571428
TruckDrive scene_28_1,0,150-200,TrafficSign,135,6,1,10,0,0,10,0,125,7.4074074074074066,0.0,7.4074074074074066,150.46351837524435,199.4582304627573,1.4814814814814816,0.0,0.0,0.0,0.0,0.0,12.321428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,150-200,Vehicle,13,2,1,5,2,2,3,0,8,38.46153846153847,15.384615384615385,23.076923076923077,153.9345667754653,177.66030580339623,23.076923076923077,7.6923076923076925,0.0,0.0,2.0,3.8000000000000007,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.8000000000000007,50.0
TruckDrive scene_28_1,0,150-200,Vehicle-Equipment,10,1,1,10,3,3,7,0,0,100.0,30.0,70.0,157.54399975837083,176.7192198830252,90.0,70.0,4.5,7.0,8.0,9.499999999999998,100.0,0.0,0.0,0.0,0.0,0.75,1.0,30.0
TruckDrive scene_28_1,0,150-200,Vehicle-Passenger,75,6,1,52,33,27,25,6,17,69.33333333333334,44.0,25.333333333333336,151.0619362964807,199.38623449739094,53.333333333333336,45.33333333333333,0.0,4.0,13.0,26.200000000000017,51.32722007722007,5.333333333333334,0.0,0.0,0.0,1.0,2.0,39.80855855855856
TruckDrive scene_28_1,0,150-200,Vehicle-SemiTruck-Cab,196,2,1,87,155,83,4,72,37,44.38775510204081,79.08163265306123,-34.693877551020414,150.28445056882035,199.9727196236663,37.244897959183675,31.63265306122449,0.0,0.0,5.0,11.0,45.38924156364851,63.775510204081634,45.40816326530612,1.0,4.0,6.0,8.0,81.66276868248134
TruckDrive scene_28_1,0,150-200,Vehicle-SemiTruck-Trailer,282,3,1,271,237,231,40,6,5,96.09929078014184,84.04255319148936,12.056737588652478,150.460035868499,199.95018127263168,95.39007092198581,92.5531914893617,16.25,46.5,69.75,91.0,97.90476190476191,57.446808510638306,42.5531914893617,1.0,3.0,10.0,17.0,58.31292517006803
TruckDrive scene_28_1,0,150-200,Vehicle-Trailer,6,1,1,4,6,4,0,2,0,66.66666666666666,100.0,-33.333333333333336,150.0086873666493,180.01756728674582,50.0,50.0,0.25,3.0,5.75,14.5,66.66666666666666,50.0,0.0,2.0,2.5,3.0,3.0,100.0
