dataset,margin_m,range_low_m,range_high_m,band_m,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
TruckDrive scene_28_1,0.5,0,50,0-50,2297,64,1,2217,1937,1903,314,34,46,96.51719634305616,84.32738354375272,12.189812799303434,3.8901120594630645,49.922227312492375,95.73356552024379,95.34175010883762,147.0,423.0,2852.0,14394.200000000006,93.90505060197155,61.25380931649978,49.62995211144972,1.0,4.0,22.0,43.0,78.96219077903662
TruckDrive scene_28_1,0.5,50,75,50-75,817,63,1,757,674,658,99,16,44,92.65605875153,82.4969400244798,10.159118727050187,50.00441486675363,74.99189064060957,89.71848225214198,87.76009791921665,26.0,65.0,149.0,337.79999999999984,91.15764921953186,31.57894736842105,21.297429620563037,1.0,2.0,3.0,25.399999999999977,77.68823832917892
TruckDrive scene_28_1,0.5,75,100,75-100,739,60,1,706,589,572,134,17,16,95.53450608930987,79.70230040595399,15.832205683355882,75.0267143445174,99.97436671938755,92.82814614343707,90.39242219215156,17.5,41.0,72.5,120.0,90.72307812013693,24.49255751014885,20.16238159675237,1.0,1.0,2.0,24.0,74.6064425770308
TruckDrive scene_28_1,0.5,100,125,100-125,604,55,1,560,339,323,237,16,28,92.71523178807946,56.12582781456954,36.589403973509924,100.01457537159469,124.89236527205044,88.41059602649007,85.43046357615894,11.0,22.0,39.0,58.700000000000045,88.11077158135981,7.9470198675496695,5.298013245033113,0.0,1.0,1.0,2.0,55.54853153382565
TruckDrive scene_28_1,0.5,125,150,125-150,617,53,1,559,274,252,307,22,36,90.59967585089142,44.40842787682334,46.19124797406808,125.02262579307614,149.98265214178997,84.44084278768233,77.63371150729336,6.0,14.0,30.0,61.0,85.65115640309868,17.3419773095624,16.207455429497568,0.0,0.0,1.0,13.0,36.42001111479469
TruckDrive scene_28_1,0.5,150,175,150-175,640,48,1,560,301,267,293,34,46,87.5,47.03125,40.46875,150.0086873666493,174.99144066658909,81.71875,74.6875,4.0,13.0,23.0,47.10000000000002,83.43278657616894,29.375,27.8125,0.0,0.0,6.0,16.100000000000023,34.89386379551821
TruckDrive scene_28_1,0.5,175,200,175-200,699,45,1,585,329,290,295,39,75,83.69098712446352,47.06723891273247,36.62374821173105,175.02032762337674,199.9727196236663,75.53648068669528,69.09871244635193,3.0,11.0,39.5,376.4000000000001,88.12330004796547,33.61945636623748,25.035765379113016,0.0,0.0,4.5,9.0,29.258368418489546
TruckDrive scene_28_1,0.5,200,225,200-225,474,40,1,377,180,136,241,44,53,79.53586497890295,37.9746835443038,41.56118143459915,200.00315051034195,224.98465046007254,69.19831223628692,60.54852320675106,1.0,8.0,22.0,275.7,80.7810616670911,17.29957805907173,12.025316455696203,0.0,0.0,1.0,5.0,20.349513474513472
TruckDrive scene_28_1,0.5,225,250,225-250,300,34,1,251,93,76,175,17,32,83.66666666666667,31.0,52.666666666666664,225.13884683240255,249.99656504791636,75.33333333333333,65.0,3.0,7.0,17.0,43.200000000000045,79.68604108309991,6.333333333333334,0.33333333333333337,0.0,0.0,1.0,2.0,23.64262371615313
TruckDrive scene_28_1,0.5,250,300,250-300,598,28,1,468,206,182,286,24,106,78.26086956521739,34.448160535117054,43.812709030100336,250.11739360716103,299.87006924638484,68.89632107023411,61.03678929765886,1.0,6.5,13.0,54.30000000000007,78.9087127604665,7.190635451505016,0.8361204013377926,0.0,0.0,1.0,2.0,19.572176696765663
TruckDrive scene_28_1,0.5,300,350,300-350,263,20,1,183,69,54,129,15,65,69.58174904942965,26.23574144486692,43.34600760456273,300.0392261284474,349.3130073064301,58.55513307984791,49.80988593155893,0.0,4.0,15.5,53.80000000000001,66.35051476731044,3.802281368821293,0.0,0.0,0.0,1.0,2.0,17.026143790849673
TruckDrive scene_28_1,0.5,350,400,350-400,65,7,1,37,0,0,37,0,28,56.92307692307692,0.0,56.92307692307692,350.36284113012255,399.0340624161176,43.07692307692308,27.692307692307693,0.0,2.0,5.0,12.600000000000001,51.54061624649861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
