dataset,margin_m,band_m,cohort,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
TruckScenes mini,0.5,100-150,vehicles,3133,440,9,3127,1668,1666,1461,2,4,99.8084902649218,53.23970635173955,46.56878391318225,100.00365658377392,149.99902983471054,87.87105011171401,75.99744653686562,5.0,11.0,26.0,52.0,99.88057693940047,17.076284711139483,6.798595595276093,0.0,1.0,2.0,4.0,51.19694443821924
TruckScenes mini,0.5,100-150,passenger_cars,2496,335,8,2491,1132,1131,1360,1,4,99.79967948717949,45.3525641025641,54.44711538461537,100.00365658377392,149.99902983471054,85.8173076923077,71.8349358974359,4.0,9.0,18.0,35.0,99.86070509336531,9.254807692307693,1.5625,0.0,0.0,1.0,2.0,41.47437331435276
TruckScenes mini,0.5,150-200,all,1878,427,9,1865,645,645,1220,0,13,99.30777422790203,34.34504792332269,64.96272630457933,150.00948473263907,199.98866853976983,83.38658146964856,68.47710330138446,4.0,8.0,16.0,40.0,99.04791021959547,8.626198083067091,2.3961661341853033,0.0,0.0,1.0,2.0,29.21440731876597
TruckScenes mini,0.5,150-200,vehicles,1370,302,9,1357,499,499,858,0,13,99.05109489051095,36.42335766423358,62.62773722627737,150.0106029512012,199.9666937233818,82.26277372262774,66.35036496350365,3.0,7.0,14.0,28.100000000000136,98.65383332373267,8.540145985401459,2.4817518248175183,0.0,0.0,1.0,2.0,32.221962883240636
TruckScenes mini,0.5,150-200,passenger_cars,926,208,7,913,260,260,653,0,13,98.59611231101512,28.077753779697623,70.51835853131749,150.05681029796702,199.9666937233818,77.10583153347731,57.45140388768899,3.0,5.0,10.0,16.0,98.04546953734258,3.6717062634989204,0.4319654427645789,0.0,0.0,1.0,2.0,22.39552146769639
TruckScenes mini,0.5,200-250,all,431,216,8,418,1,1,417,0,13,96.98375870069606,0.23201856148491878,96.75174013921114,200.00147325915378,229.4177589511211,72.38979118329466,53.596287703016245,2.0,5.0,11.0,28.0,97.80092592592592,0.0,0.0,0.0,0.0,0.0,0.0,0.23148148148148145
TruckScenes mini,0.5,200-250,vehicles,328,156,8,316,1,1,315,0,12,96.34146341463415,0.3048780487804878,96.03658536585365,200.0710707473922,229.4177589511211,72.2560975609756,52.13414634146341,2.0,5.0,10.0,21.0,97.27564102564102,0.0,0.0,0.0,0.0,0.0,0.0,0.3205128205128205
TruckScenes mini,0.5,200-250,passenger_cars,207,92,7,196,0,0,196,0,11,94.68599033816425,0.0,94.68599033816425,200.0710707473922,226.84401081084647,67.14975845410628,44.927536231884055,2.0,4.0,8.0,11.0,95.92391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,100-150,all,1221,58,1,450,180,136,314,44,727,36.85503685503686,14.742014742014742,22.11302211302211,100.01457537159469,149.98265214178997,17.526617526617528,11.957411957411958,0.0,0.0,1.0,6.0,41.75515773542486,10.565110565110565,9.99180999180999,0.0,0.0,0.0,4.0,16.406386911329296
TruckDrive scene_28_1,0,100-150,vehicles,240,19,1,181,157,130,51,27,32,75.41666666666667,65.41666666666667,9.999999999999998,100.72348409572426,149.98265214178997,57.49999999999999,49.166666666666664,1.0,4.0,24.0,53.099999999999994,71.03801169590643,53.75,50.83333333333333,0.0,5.0,10.0,19.0,45.0
TruckDrive scene_28_1,0,100-150,passenger_cars,92,12,1,48,21,7,41,14,30,52.17391304347826,22.82608695652174,29.34782608695652,101.32213224682401,149.2369210404858,22.82608695652174,15.217391304347828,0.0,1.0,2.0,7.0,58.63095238095239,1.0869565217391304,0.0,0.0,0.0,0.0,1.0,24.077380952380953
TruckDrive scene_28_1,0,100-150,forward_30deg,622,37,1,205,139,112,93,27,390,32.958199356913184,22.347266881028936,10.610932475884244,100.01457537159469,149.98265214178997,19.614147909967848,14.951768488745982,0.0,0.0,1.0,16.899999999999977,26.946189299130474,19.45337620578778,19.292604501607716,0.0,0.0,0.0,10.0,17.523847376788552
TruckDrive scene_28_1,0,150-200,all,1339,49,1,553,438,350,203,88,698,41.299477221807315,32.7109783420463,8.588498879761014,150.0086873666493,199.9727196236663,32.48693054518297,28.37938760268857,0.0,0.0,7.0,49.0,29.808466770407005,21.956684092606423,15.608663181478716,0.0,0.0,2.0,7.0,14.668959566479995
TruckDrive scene_28_1,0,150-200,vehicles,582,13,1,429,436,350,79,86,67,73.71134020618557,74.91408934707904,-1.2027491408934665,150.0086873666493,199.9727196236663,68.21305841924399,63.230240549828174,0.0,10.0,44.75,74.0,64.94724595484703,50.51546391752577,35.9106529209622,0.25,3.0,6.0,12.0,54.38571637501283
TruckDrive scene_28_1,0,150-200,passenger_cars,75,6,1,52,33,27,25,6,17,69.33333333333334,44.0,25.333333333333336,151.0619362964807,199.38623449739094,53.333333333333336,45.33333333333333,0.0,4.0,13.0,26.200000000000017,51.32722007722007,5.333333333333334,0.0,0.0,0.0,1.0,2.0,39.80855855855856
TruckDrive scene_28_1,0,150-200,forward_30deg,873,30,1,436,425,341,95,84,353,49.942726231386025,48.68270332187858,1.2600229095074467,150.26022611436477,199.9727196236663,43.6426116838488,39.97709049255441,0.0,0.0,19.0,63.80000000000007,24.817369945173546,33.33333333333333,23.940435280641466,0.0,0.0,4.0,9.0,18.844921540283334
TruckDrive scene_28_1,0,200-250,all,774,41,1,273,135,92,181,43,458,35.27131782945737,17.441860465116278,17.829457364341085,200.00315051034195,249.99656504791636,23.25581395348837,16.925064599483207,0.0,0.0,2.0,12.0,31.0123244654132,4.7803617571059425,0.12919896640826875,0.0,0.0,0.0,2.0,9.29992741336388
TruckDrive scene_28_1,0,200-250,vehicles,259,9,1,161,135,92,69,43,55,62.16216216216216,52.123552123552116,10.038610038610042,200.01251389859453,249.9157658332935,51.737451737451735,45.559845559845556,0.0,3.0,17.5,51.20000000000002,63.24973335842902,14.285714285714285,0.3861003861003861,0.0,1.0,2.0,3.0,42.36633599421323
TruckDrive scene_28_1,0,200-250,passenger_cars,115,5,1,75,36,27,48,9,31,65.21739130434783,31.30434782608696,33.91304347826087,200.01251389859453,249.9157658332935,53.04347826086957,43.47826086956522,0.0,3.0,8.0,12.600000000000009,48.91445511010728,0.8695652173913043,0.0,0.0,0.0,1.0,2.0,27.39553924336533
TruckDrive scene_28_1,0,200-250,forward_30deg,468,22,1,165,133,91,74,42,261,35.256410256410255,28.418803418803417,6.837606837606841,200.0094819682491,249.99656504791636,25.64102564102564,21.794871794871796,0.0,0.0,3.0,33.0,24.401119592644818,7.905982905982905,0.2136752136752137,0.0,0.0,1.0,2.0,16.89878247382316
TruckDrive scene_28_1,0,250-300,all,598,28,1,235,95,85,150,10,353,39.297658862876254,15.88628762541806,23.411371237458194,250.11739360716103,299.87006924638484,33.27759197324415,27.926421404682273,0.0,0.0,5.75,13.0,26.099019311442568,0.8361204013377926,0.0,0.0,0.0,0.0,1.0,6.248076289547279
TruckDrive scene_28_1,0,250-300,vehicles,265,5,1,193,95,85,108,10,62,72.83018867924528,35.84905660377358,36.9811320754717,250.11750228053708,299.5495255467652,69.0566037735849,62.264150943396224,0.0,6.0,12.0,19.0,60.7037654227474,1.8867924528301887,0.0,0.0,0.0,1.0,1.0,34.989227221464766
TruckDrive scene_28_1,0,250-300,passenger_cars,246,4,1,176,90,80,96,10,60,71.54471544715447,36.58536585365854,34.959349593495936,250.11750228053708,299.51983694674055,67.88617886178862,60.97560975609756,0.0,6.0,12.0,19.0,50.59382795814713,2.0325203252032518,0.0,0.0,0.0,1.0,1.0,40.676990793086745
TruckDrive scene_28_1,0,250-300,forward_30deg,297,16,1,95,57,54,41,3,199,31.986531986531986,19.19191919191919,12.794612794612794,250.11739360716103,299.75624299711956,26.936026936026934,25.589225589225588,0.0,0.0,5.0,18.0,16.3284567337652,1.6835016835016834,0.0,0.0,0.0,0.0,1.0,8.803353658536587
TruckDrive scene_28_1,0,300-400,all,328,20,1,94,25,24,70,1,233,28.65853658536585,7.621951219512195,21.036585365853654,300.0392261284474,399.0340624161176,23.47560975609756,19.817073170731707,0.0,0.0,2.0,14.300000000000011,25.981004301033924,0.0,0.0,0.0,0.0,0.0,0.0,6.578947368421054
TruckDrive scene_28_1,0,300-400,vehicles,90,4,1,76,25,24,52,1,13,84.44444444444444,27.77777777777778,56.666666666666664,300.11902983962705,360.39229981232,77.77777777777779,67.77777777777779,3.25,8.0,22.0,42.10000000000001,80.87719298245614,0.0,0.0,0.0,0.0,1.0,1.1000000000000085,32.89473684210527
TruckDrive scene_28_1,0,300-400,passenger_cars,4,2,1,3,1,1,2,0,1,75.0,25.0,50.0,300.11902983962705,317.31857064731463,50.0,25.0,0.75,2.5,4.25,4.7,83.33333333333333,0.0,0.0,0.0,0.0,0.25,0.7000000000000002,50.0
TruckDrive scene_28_1,0,300-400,forward_30deg,251,14,1,74,25,24,50,1,176,29.482071713147413,9.9601593625498,19.52191235059761,300.0392261284474,399.0340624161176,25.49800796812749,22.31075697211155,0.0,0.0,3.0,20.0,26.391082748889026,0.0,0.0,0.0,0.0,0.0,0.0,9.398496240601505
TruckDrive scene_28_1,0.5,100-150,all,1221,58,1,1119,613,575,544,38,64,91.64619164619164,50.204750204750205,41.44144144144144,100.01457537159469,149.98265214178997,86.4045864045864,81.49058149058149,7.0,18.0,35.0,59.0,87.00614406033375,12.694512694512694,10.81081081081081,0.0,1.0,1.0,7.0,47.090282493627036
TruckDrive scene_28_1,0.5,100-150,vehicles,240,19,1,198,175,154,44,21,21,82.5,72.91666666666666,9.583333333333332,100.72348409572426,149.98265214178997,64.58333333333334,56.666666666666664,1.75,6.0,135.5,288.0999999999999,78.2123870281765,60.0,55.00000000000001,0.0,8.0,16.0,28.099999999999994,60.79944178628388
TruckDrive scene_28_1,0.5,100-150,passenger_cars,92,12,1,57,34,20,37,14,21,61.95652173913043,36.95652173913043,25.0,101.32213224682401,149.2369210404858,30.434782608695656,25.0,0.0,1.0,4.25,8.0,67.0935545935546,8.695652173913043,0.0,0.0,0.0,1.0,2.0,44.182449494949495
TruckDrive scene_28_1,0.5,100-150,forward_30deg,622,37,1,568,330,312,256,18,36,91.31832797427653,53.054662379421224,38.2636655948553,100.01457537159469,149.98265214178997,88.10289389067523,83.44051446945338,9.0,26.0,47.75,125.79999999999995,87.36309839251014,21.382636655948552,19.292604501607716,0.0,1.0,2.0,16.0,50.852254969902035
TruckDrive scene_28_1,0.5,150-200,all,1339,49,1,1145,630,557,588,73,121,85.51157580283794,47.05003734129948,38.46153846153846,150.0086873666493,199.9727196236663,78.49141150112024,71.76997759522031,4.0,12.0,27.0,313.60000000000014,83.2406465811744,31.590739357729646,26.362957430918595,0.0,0.0,5.0,12.0,31.106360049518756
TruckDrive scene_28_1,0.5,150-200,vehicles,582,13,1,472,489,425,47,64,46,81.09965635738831,84.02061855670104,-2.9209621993127155,150.0086873666493,199.9727196236663,76.97594501718214,71.8213058419244,4.0,16.0,286.5,492.69999999999993,80.62151369067506,72.16494845360825,60.65292096219931,2.0,6.0,11.0,21.0,62.897611418911126
TruckDrive scene_28_1,0.5,150-200,passenger_cars,75,6,1,59,36,33,26,3,13,78.66666666666666,48.0,30.666666666666664,151.0619362964807,199.38623449739094,62.66666666666667,54.666666666666664,1.0,7.0,70.0,97.40000000000003,78.26576576576576,21.333333333333336,4.0,0.0,0.0,2.0,3.0,41.15990990990991
TruckDrive scene_28_1,0.5,150-200,forward_30deg,873,30,1,740,546,481,259,65,68,84.7651775486827,62.54295532646048,22.22222222222222,150.26022611436477,199.9727196236663,80.29782359679267,75.48682703321879,5.0,16.0,52.0,402.2000000000003,82.46672378198781,47.30813287514318,39.86254295532646,0.0,2.0,8.0,15.0,36.009196677250074
TruckDrive scene_28_1,0.5,200-250,all,774,41,1,628,273,212,416,61,85,81.13695090439276,35.27131782945737,45.8656330749354,200.00315051034195,249.99656504791636,71.57622739018088,62.273901808785524,2.0,7.0,20.0,64.40000000000009,78.56589287129042,13.049095607235142,7.493540051679587,0.0,0.0,1.0,3.7000000000000455,23.875548328327316
TruckDrive scene_28_1,0.5,200-250,vehicles,259,9,1,193,191,143,50,48,18,74.5173745173745,73.74517374517374,0.7722007722007707,200.01251389859453,249.9157658332935,66.40926640926641,62.16216216216216,0.0,13.0,77.5,320.40000000000003,75.7094757094757,38.61003861003861,22.393822393822393,0.0,2.0,4.0,7.0,55.9291151682456
TruckDrive scene_28_1,0.5,200-250,passenger_cars,115,5,1,99,71,64,35,7,9,86.08695652173914,61.73913043478261,24.347826086956527,200.01251389859453,249.9157658332935,79.13043478260869,75.65217391304347,5.0,15.0,48.5,72.0,69.26406926406928,17.391304347826086,0.8695652173913043,0.0,1.0,2.0,3.0,44.82825145868624
TruckDrive scene_28_1,0.5,200-250,forward_30deg,468,22,1,383,254,197,186,57,28,81.83760683760684,54.27350427350427,27.564102564102566,200.0094819682491,249.99656504791636,74.57264957264957,67.52136752136752,2.0,13.0,28.25,277.50000000000006,81.21291216211003,21.367521367521366,12.393162393162394,0.0,1.0,2.0,5.0,40.684183902330844
TruckDrive scene_28_1,0.5,250-300,all,598,28,1,468,206,182,286,24,106,78.26086956521739,34.448160535117054,43.812709030100336,250.11739360716103,299.87006924638484,68.89632107023411,61.03678929765886,1.0,6.5,13.0,54.30000000000007,78.9087127604665,7.190635451505016,0.8361204013377926,0.0,0.0,1.0,2.0,19.572176696765663
TruckDrive scene_28_1,0.5,250-300,vehicles,265,5,1,205,161,145,60,16,44,77.35849056603774,60.75471698113207,16.603773584905667,250.11750228053708,299.5495255467652,74.33962264150942,70.56603773584905,2.0,9.0,49.0,76.0,69.5272601794341,15.849056603773585,1.8867924528301887,0.0,1.0,2.0,3.0,57.7087646652864
TruckDrive scene_28_1,0.5,250-300,passenger_cars,246,4,1,188,150,136,52,14,44,76.42276422764228,60.97560975609756,15.44715447154472,250.11750228053708,299.51983694674055,73.17073170731707,69.10569105691057,1.25,9.0,51.5,76.0,61.69518027961737,17.073170731707318,2.0325203252032518,0.0,1.0,2.0,3.0,63.20824135393672
TruckDrive scene_28_1,0.5,250-300,forward_30deg,297,16,1,249,132,121,128,11,37,83.83838383838383,44.44444444444444,39.39393939393939,250.11739360716103,299.75624299711956,73.06397306397307,66.32996632996633,2.0,9.0,36.0,74.0,77.72671568627452,12.457912457912458,1.6835016835016834,0.0,0.0,2.0,3.0,29.411764705882355
TruckDrive scene_28_1,0.5,300-400,all,328,20,1,220,69,54,166,15,93,67.07317073170732,21.036585365853657,46.03658536585367,300.0392261284474,399.0340624161176,55.487804878048784,45.426829268292686,0.0,4.0,12.25,46.0,66.61773252397832,3.048780487804878,0.0,0.0,0.0,0.0,2.0,14.28546056103601
TruckDrive scene_28_1,0.5,300-400,vehicles,90,4,1,79,39,39,40,0,11,87.77777777777777,43.333333333333336,44.44444444444444,300.11902983962705,360.39229981232,86.66666666666667,82.22222222222221,6.25,34.0,62.75,76.40000000000003,81.8640350877193,10.0,0.0,0.0,0.0,1.75,2.1000000000000085,37.5
TruckDrive scene_28_1,0.5,300-400,passenger_cars,4,2,1,3,1,1,2,0,1,75.0,25.0,50.0,300.11902983962705,317.31857064731463,75.0,50.0,3.0,4.5,6.0,7.800000000000001,83.33333333333333,0.0,0.0,0.0,0.0,0.25,0.7000000000000002,50.0
TruckDrive scene_28_1,0.5,300-400,forward_30deg,251,14,1,175,68,53,122,15,61,69.7211155378486,27.091633466135455,42.629482071713156,300.0392261284474,399.0340624161176,57.76892430278885,48.60557768924303,0.0,4.0,17.5,59.0,68.38247503425472,3.9840637450199203,0.0,0.0,0.0,1.0,2.0,20.097241795268836
