sample_token,source,region,band_m,count,denominator
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,forward_30deg,50-100,0,13298
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,forward_30deg,100-150,0,13298
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,forward_30deg,150-400,0,13298
32d2bcf46e734dffb14fe2e0a823d059,LIDAR_TOP_FRONT,forward_30deg,>=400,0,13298
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,all_azimuth,0-50,31,36
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,all_azimuth,50-100,5,36
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,all_azimuth,100-150,0,36
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,all_azimuth,150-400,0,36
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,all_azimuth,>=400,0,36
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,forward_30deg,0-50,17,22
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,forward_30deg,50-100,5,22
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,forward_30deg,100-150,0,22
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,forward_30deg,150-400,0,22
32d2bcf46e734dffb14fe2e0a823d059,ground_truth,forward_30deg,>=400,0,22
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,all_azimuth,0-50,162,800
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,all_azimuth,50-100,354,800
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,all_azimuth,100-150,284,800
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,all_azimuth,150-400,0,800
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,all_azimuth,>=400,0,800
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,forward_30deg,0-50,79,465
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,forward_30deg,50-100,216,465
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,forward_30deg,100-150,170,465
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,forward_30deg,150-400,0,465
deb7b3f332f042d49e7636d6e4959354,RADAR_LEFT_FRONT,forward_30deg,>=400,0,465
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,all_azimuth,0-50,68996,79982
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,all_azimuth,50-100,8027,79982
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,all_azimuth,100-150,2189,79982
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,all_azimuth,150-400,770,79982
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,all_azimuth,>=400,0,79982
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,forward_30deg,0-50,22706,25699
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,forward_30deg,50-100,2513,25699
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,forward_30deg,100-150,64,25699
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,forward_30deg,150-400,416,25699
deb7b3f332f042d49e7636d6e4959354,LIDAR_LEFT,forward_30deg,>=400,0,25699
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,all_azimuth,0-50,17315,17323
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,all_azimuth,50-100,8,17323
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,all_azimuth,100-150,0,17323
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,all_azimuth,150-400,0,17323
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,all_azimuth,>=400,0,17323
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,forward_30deg,0-50,13653,13653
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,forward_30deg,50-100,0,13653
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,forward_30deg,100-150,0,13653
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,forward_30deg,150-400,0,13653
deb7b3f332f042d49e7636d6e4959354,LIDAR_TOP_FRONT,forward_30deg,>=400,0,13653
deb7b3f332f042d49e7636d6e4959354,ground_truth,all_azimuth,0-50,31,36
deb7b3f332f042d49e7636d6e4959354,ground_truth,all_azimuth,50-100,5,36
deb7b3f332f042d49e7636d6e4959354,ground_truth,all_azimuth,100-150,0,36
deb7b3f332f042d49e7636d6e4959354,ground_truth,all_azimuth,150-400,0,36
deb7b3f332f042d49e7636d6e4959354,ground_truth,all_azimuth,>=400,0,36
deb7b3f332f042d49e7636d6e4959354,ground_truth,forward_30deg,0-50,16,21
deb7b3f332f042d49e7636d6e4959354,ground_truth,forward_30deg,50-100,5,21
deb7b3f332f042d49e7636d6e4959354,ground_truth,forward_30deg,100-150,0,21
deb7b3f332f042d49e7636d6e4959354,ground_truth,forward_30deg,150-400,0,21
deb7b3f332f042d49e7636d6e4959354,ground_truth,forward_30deg,>=400,0,21
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,all_azimuth,0-50,163,800
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,all_azimuth,50-100,346,800
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,all_azimuth,100-150,275,800
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,all_azimuth,150-400,16,800
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,all_azimuth,>=400,0,800
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,forward_30deg,0-50,75,452
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,forward_30deg,50-100,215,452
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,forward_30deg,100-150,150,452
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,forward_30deg,150-400,12,452
a574551be31547e4b7c78ff87c75abb3,RADAR_LEFT_FRONT,forward_30deg,>=400,0,452
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,all_azimuth,0-50,69261,80220
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,all_azimuth,50-100,8013,80220
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,all_azimuth,100-150,2234,80220
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,all_azimuth,150-400,712,80220
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,all_azimuth,>=400,0,80220
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,forward_30deg,0-50,22713,25939
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,forward_30deg,50-100,2756,25939
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,forward_30deg,100-150,64,25939
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,forward_30deg,150-400,406,25939
a574551be31547e4b7c78ff87c75abb3,LIDAR_LEFT,forward_30deg,>=400,0,25939
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,all_azimuth,0-50,17747,17760
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,all_azimuth,50-100,13,17760
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,all_azimuth,100-150,0,17760
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,all_azimuth,150-400,0,17760
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,all_azimuth,>=400,0,17760
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,forward_30deg,0-50,13567,13567
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,forward_30deg,50-100,0,13567
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,forward_30deg,100-150,0,13567
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,forward_30deg,150-400,0,13567
a574551be31547e4b7c78ff87c75abb3,LIDAR_TOP_FRONT,forward_30deg,>=400,0,13567
a574551be31547e4b7c78ff87c75abb3,ground_truth,all_azimuth,0-50,31,35
a574551be31547e4b7c78ff87c75abb3,ground_truth,all_azimuth,50-100,4,35
a574551be31547e4b7c78ff87c75abb3,ground_truth,all_azimuth,100-150,0,35
a574551be31547e4b7c78ff87c75abb3,ground_truth,all_azimuth,150-400,0,35
a574551be31547e4b7c78ff87c75abb3,ground_truth,all_azimuth,>=400,0,35
a574551be31547e4b7c78ff87c75abb3,ground_truth,forward_30deg,0-50,16,20
a574551be31547e4b7c78ff87c75abb3,ground_truth,forward_30deg,50-100,4,20
a574551be31547e4b7c78ff87c75abb3,ground_truth,forward_30deg,100-150,0,20
a574551be31547e4b7c78ff87c75abb3,ground_truth,forward_30deg,150-400,0,20
a574551be31547e4b7c78ff87c75abb3,ground_truth,forward_30deg,>=400,0,20
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,all_azimuth,0-50,176,800
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,all_azimuth,50-100,340,800
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,all_azimuth,100-150,284,800
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,all_azimuth,150-400,0,800
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,all_azimuth,>=400,0,800
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,forward_30deg,0-50,92,458
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,forward_30deg,50-100,201,458
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,forward_30deg,100-150,165,458
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,forward_30deg,150-400,0,458
1393759bf6ff4f8e88deff0da0dc2aca,RADAR_LEFT_FRONT,forward_30deg,>=400,0,458
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,all_azimuth,0-50,69514,80342
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,all_azimuth,50-100,7876,80342
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,all_azimuth,100-150,2322,80342
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,all_azimuth,150-400,630,80342
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,all_azimuth,>=400,0,80342
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,forward_30deg,0-50,22515,25285
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,forward_30deg,50-100,2401,25285
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,forward_30deg,100-150,17,25285
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,forward_30deg,150-400,352,25285
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_LEFT,forward_30deg,>=400,0,25285
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,all_azimuth,0-50,17696,17718
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,all_azimuth,50-100,22,17718
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,all_azimuth,100-150,0,17718
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,all_azimuth,150-400,0,17718
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,all_azimuth,>=400,0,17718
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,forward_30deg,0-50,13411,13411
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,forward_30deg,50-100,0,13411
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,forward_30deg,100-150,0,13411
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,forward_30deg,150-400,0,13411
1393759bf6ff4f8e88deff0da0dc2aca,LIDAR_TOP_FRONT,forward_30deg,>=400,0,13411
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,all_azimuth,0-50,33,36
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,all_azimuth,50-100,3,36
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,all_azimuth,100-150,0,36
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,all_azimuth,150-400,0,36
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,all_azimuth,>=400,0,36
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,forward_30deg,0-50,16,19
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,forward_30deg,50-100,3,19
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,forward_30deg,100-150,0,19
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,forward_30deg,150-400,0,19
1393759bf6ff4f8e88deff0da0dc2aca,ground_truth,forward_30deg,>=400,0,19
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,all_azimuth,0-50,164,800
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,all_azimuth,50-100,343,800
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,all_azimuth,100-150,293,800
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,all_azimuth,150-400,0,800
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,all_azimuth,>=400,0,800
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,forward_30deg,0-50,89,445
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,forward_30deg,50-100,190,445
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,forward_30deg,100-150,166,445
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,forward_30deg,150-400,0,445
368662645c194921b716c026347db664,RADAR_LEFT_FRONT,forward_30deg,>=400,0,445
368662645c194921b716c026347db664,LIDAR_LEFT,all_azimuth,0-50,69088,80187
368662645c194921b716c026347db664,LIDAR_LEFT,all_azimuth,50-100,8224,80187
368662645c194921b716c026347db664,LIDAR_LEFT,all_azimuth,100-150,2348,80187
368662645c194921b716c026347db664,LIDAR_LEFT,all_azimuth,150-400,527,80187
368662645c194921b716c026347db664,LIDAR_LEFT,all_azimuth,>=400,0,80187
368662645c194921b716c026347db664,LIDAR_LEFT,forward_30deg,0-50,22781,24986
368662645c194921b716c026347db664,LIDAR_LEFT,forward_30deg,50-100,1927,24986
368662645c194921b716c026347db664,LIDAR_LEFT,forward_30deg,100-150,7,24986
368662645c194921b716c026347db664,LIDAR_LEFT,forward_30deg,150-400,271,24986
368662645c194921b716c026347db664,LIDAR_LEFT,forward_30deg,>=400,0,24986
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,all_azimuth,0-50,17815,17834
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,all_azimuth,50-100,19,17834
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,all_azimuth,100-150,0,17834
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,all_azimuth,150-400,0,17834
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,all_azimuth,>=400,0,17834
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,forward_30deg,0-50,13411,13411
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,forward_30deg,50-100,0,13411
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,forward_30deg,100-150,0,13411
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,forward_30deg,150-400,0,13411
368662645c194921b716c026347db664,LIDAR_TOP_FRONT,forward_30deg,>=400,0,13411
368662645c194921b716c026347db664,ground_truth,all_azimuth,0-50,34,36
368662645c194921b716c026347db664,ground_truth,all_azimuth,50-100,2,36
368662645c194921b716c026347db664,ground_truth,all_azimuth,100-150,0,36
368662645c194921b716c026347db664,ground_truth,all_azimuth,150-400,0,36
368662645c194921b716c026347db664,ground_truth,all_azimuth,>=400,0,36
368662645c194921b716c026347db664,ground_truth,forward_30deg,0-50,16,18
368662645c194921b716c026347db664,ground_truth,forward_30deg,50-100,2,18
368662645c194921b716c026347db664,ground_truth,forward_30deg,100-150,0,18
368662645c194921b716c026347db664,ground_truth,forward_30deg,150-400,0,18
368662645c194921b716c026347db664,ground_truth,forward_30deg,>=400,0,18
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,all_azimuth,0-50,151,800
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,all_azimuth,50-100,354,800
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,all_azimuth,100-150,295,800
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,all_azimuth,150-400,0,800
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,all_azimuth,>=400,0,800
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,forward_30deg,0-50,92,471
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,forward_30deg,50-100,212,471
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,forward_30deg,100-150,167,471
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,forward_30deg,150-400,0,471
a42b482121464aa795d24f55400c574f,RADAR_LEFT_FRONT,forward_30deg,>=400,0,471
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,all_azimuth,0-50,69775,80089
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,all_azimuth,50-100,7511,80089
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,all_azimuth,100-150,2275,80089
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,all_azimuth,150-400,528,80089
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,all_azimuth,>=400,0,80089
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,forward_30deg,0-50,23614,25209
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,forward_30deg,50-100,1313,25209
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,forward_30deg,100-150,1,25209
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,forward_30deg,150-400,281,25209
a42b482121464aa795d24f55400c574f,LIDAR_LEFT,forward_30deg,>=400,0,25209
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,all_azimuth,0-50,18075,18085
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,all_azimuth,50-100,10,18085
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,all_azimuth,100-150,0,18085
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,all_azimuth,150-400,0,18085
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,all_azimuth,>=400,0,18085
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,forward_30deg,0-50,13518,13518
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,forward_30deg,50-100,0,13518
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,forward_30deg,100-150,0,13518
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,forward_30deg,150-400,0,13518
a42b482121464aa795d24f55400c574f,LIDAR_TOP_FRONT,forward_30deg,>=400,0,13518
a42b482121464aa795d24f55400c574f,ground_truth,all_azimuth,0-50,34,36
a42b482121464aa795d24f55400c574f,ground_truth,all_azimuth,50-100,2,36
a42b482121464aa795d24f55400c574f,ground_truth,all_azimuth,100-150,0,36
a42b482121464aa795d24f55400c574f,ground_truth,all_azimuth,150-400,0,36
a42b482121464aa795d24f55400c574f,ground_truth,all_azimuth,>=400,0,36
a42b482121464aa795d24f55400c574f,ground_truth,forward_30deg,0-50,15,17
a42b482121464aa795d24f55400c574f,ground_truth,forward_30deg,50-100,2,17
a42b482121464aa795d24f55400c574f,ground_truth,forward_30deg,100-150,0,17
a42b482121464aa795d24f55400c574f,ground_truth,forward_30deg,150-400,0,17
a42b482121464aa795d24f55400c574f,ground_truth,forward_30deg,>=400,0,17
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,all_azimuth,0-50,173,800
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,all_azimuth,50-100,376,800
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,all_azimuth,100-150,251,800
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,all_azimuth,150-400,0,800
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,all_azimuth,>=400,0,800
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,forward_30deg,0-50,96,439
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,forward_30deg,50-100,217,439
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,forward_30deg,100-150,126,439
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,forward_30deg,150-400,0,439
814d7dd86f1a47e28385ee434cdb6b1a,RADAR_LEFT_FRONT,forward_30deg,>=400,0,439
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,all_azimuth,0-50,70956,80201
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,all_azimuth,50-100,6451,80201
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,all_azimuth,100-150,2241,80201
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,all_azimuth,150-400,553,80201
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,all_azimuth,>=400,0,80201
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,forward_30deg,0-50,23688,25254
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,forward_30deg,50-100,1309,25254
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,forward_30deg,100-150,2,25254
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,forward_30deg,150-400,255,25254
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_LEFT,forward_30deg,>=400,0,25254
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,all_azimuth,0-50,18572,18573
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,all_azimuth,50-100,1,18573
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,all_azimuth,100-150,0,18573
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,all_azimuth,150-400,0,18573
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,all_azimuth,>=400,0,18573
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,forward_30deg,0-50,13605,13605
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,forward_30deg,50-100,0,13605
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,forward_30deg,100-150,0,13605
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,forward_30deg,150-400,0,13605
814d7dd86f1a47e28385ee434cdb6b1a,LIDAR_TOP_FRONT,forward_30deg,>=400,0,13605
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,all_azimuth,0-50,35,36
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,all_azimuth,50-100,1,36
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,all_azimuth,100-150,0,36
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,all_azimuth,150-400,0,36
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,all_azimuth,>=400,0,36
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,forward_30deg,0-50,15,16
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,forward_30deg,50-100,1,16
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,forward_30deg,100-150,0,16
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,forward_30deg,150-400,0,16
814d7dd86f1a47e28385ee434cdb6b1a,ground_truth,forward_30deg,>=400,0,16
a1bcff3507ba48d991ec098093d75394,RADAR_LEFT_FRONT,all_azimuth,0-50,185,800
a1bcff3507ba48d991ec098093d75394,RADAR_LEFT_FRONT,all_azimuth,50-100,372,800
a1bcff3507ba48d991ec098093d75394,RADAR_LEFT_FRONT,all_azimuth,100-150,243,800
a1bcff3507ba48d991ec098093d75394,RADAR_LEFT_FRONT,all_azimuth,150-400,0,800
a1bcff3507ba48d991ec098093d75394,RADAR_LEFT_FRONT,all_azimuth,>=400,0,800
a1bcff3507ba48d991ec098093d75394,RADAR_LEFT_FRONT,forward_30deg,0-50,116,466
a1bcff3507ba48d991ec098093d75394,RADAR_LEFT_FRONT,forward_30deg,50-100,217,466
a1bcff3507ba48d991ec098093d75394,RADAR_LEFT_FRONT,forward_30deg,100-150,133,466
a1bcff3507ba48d991ec098093d75394,RADAR_LEFT_FRONT,forward_30deg,150-400,0,466
